,Symbol,Date,Open,High,Low,Close,Vol
25024,BOKL,2016-09-28,464.0,510.0,473.0,510.0,"4,437.00"
25046,BOKL,2016-09-29,510.0,561.0,520.0,561.0,50.00
25069,BOKL,2016-10-02,561.0,617.0,572.0,617.0,469.00
25092,BOKL,2016-10-03,617.0,678.0,629.0,678.0,420.00
25115,BOKL,2016-10-04,678.0,745.0,691.0,745.0,"3,322.00"
25139,BOKL,2016-10-05,745.0,819.0,755.0,787.0,"381,177.00"
25162,BOKL,2016-10-06,787.0,794.0,775.0,780.0,"178,136.00"
25185,BOKL,2016-10-16,780.0,780.0,755.0,764.0,"58,598.00"
25208,BOKL,2016-10-17,764.0,770.0,736.0,752.0,"75,678.00"
25231,BOKL,2016-10-18,752.0,753.0,715.0,740.0,"51,936.00"
25254,BOKL,2016-10-19,740.0,751.0,735.0,738.0,"34,634.00"
25277,BOKL,2016-10-20,738.0,744.0,739.0,741.0,"40,919.00"
25300,BOKL,2016-10-23,741.0,750.0,723.0,730.0,"48,414.00"
25323,BOKL,2016-10-24,730.0,728.0,713.0,719.0,"35,840.00"
25346,BOKL,2016-10-25,719.0,730.0,706.0,720.0,"39,244.00"
25370,BOKL,2016-10-26,720.0,720.0,707.0,718.0,"36,563.00"
25393,BOKL,2016-10-27,718.0,729.0,714.0,719.0,"45,651.00"
25417,BOKL,2016-11-03,719.0,720.0,710.0,713.0,"22,970.00"
25441,BOKL,2016-11-07,713.0,714.0,705.0,706.0,"49,484.00"
25465,BOKL,2016-11-08,706.0,707.0,691.0,700.0,"53,317.00"
25489,BOKL,2016-11-09,700.0,700.0,666.0,688.0,"42,648.00"
25513,BOKL,2016-11-10,688.0,693.0,670.0,688.0,"63,495.00"
25537,BOKL,2016-11-13,688.0,688.0,666.0,676.0,"42,870.00"
25561,BOKL,2016-11-14,676.0,705.0,666.0,698.0,"60,427.00"
25585,BOKL,2016-11-15,698.0,710.0,692.0,698.0,"66,240.00"
25609,BOKL,2016-11-16,698.0,700.0,690.0,691.0,"19,983.00"
25633,BOKL,2016-11-17,691.0,690.0,660.0,675.0,"53,578.00"
25657,BOKL,2016-11-20,675.0,688.0,638.0,655.0,"77,691.00"
25681,BOKL,2016-11-21,655.0,669.0,631.0,658.0,"67,806.00"
25705,BOKL,2016-11-22,658.0,659.0,615.0,644.0,"58,544.00"
25729,BOKL,2016-11-23,644.0,650.0,620.0,630.0,"77,629.00"
25753,BOKL,2016-11-24,630.0,654.0,620.0,629.0,"63,443.00"
25777,BOKL,2016-11-27,629.0,635.0,611.0,617.0,"73,178.00"
25801,BOKL,2016-11-28,617.0,650.0,595.0,646.0,"109,608.00"
