,Symbol,Date,Open,High,Low,Close,Vol
7402,CBL,2013-03-04,171.0,174.0,166.0,168.0,"130,359.00"
7423,CBL,2013-03-05,168.0,170.0,162.0,167.0,"43,648.00"
7444,CBL,2013-03-06,167.0,171.0,164.0,170.0,"34,344.00"
7465,CBL,2013-03-07,170.0,169.0,166.0,168.0,"30,932.00"
7486,CBL,2013-03-11,168.0,173.0,166.0,170.0,"37,709.00"
7507,CBL,2013-03-13,170.0,173.0,169.0,170.0,"54,094.00"
7528,CBL,2013-03-14,170.0,179.0,170.0,170.0,"52,081.00"
7549,CBL,2013-03-17,170.0,171.0,164.0,170.0,"30,551.00"
7570,CBL,2013-03-18,170.0,169.0,163.0,166.0,"40,598.00"
7591,CBL,2013-03-19,166.0,167.0,163.0,164.0,"35,073.00"
7612,CBL,2013-03-20,164.0,166.0,162.0,162.0,"32,124.00"
7633,CBL,2013-03-21,162.0,165.0,160.0,162.0,"20,623.00"
7654,CBL,2013-03-24,162.0,162.0,158.0,158.0,"29,316.00"
7675,CBL,2013-03-25,162.0,162.0,158.0,158.0,"29,316.00"
7696,CBL,2013-03-26,158.0,164.0,156.0,160.0,"36,554.00"
7717,CBL,2013-03-27,160.0,161.0,157.0,160.0,"17,897.00"
7738,CBL,2013-03-28,160.0,160.0,156.0,159.0,"26,692.00"
7758,CBL,2013-03-31,159.0,158.0,154.0,156.0,"43,059.00"
7779,CBL,2013-04-01,159.0,158.0,154.0,156.0,"43,059.00"
7800,CBL,2013-04-02,158.0,160.0,152.0,158.0,"26,882.00"
7821,CBL,2013-04-03,158.0,160.0,155.0,157.0,"36,884.00"
7841,CBL,2013-04-04,157.0,160.0,156.0,158.0,"16,222.00"
7862,CBL,2013-04-07,158.0,159.0,156.0,159.0,"39,573.00"
7883,CBL,2013-04-08,159.0,160.0,158.0,159.0,"20,470.00"
7904,CBL,2013-04-09,159.0,161.0,158.0,160.0,"57,708.00"
7924,CBL,2013-04-11,160.0,164.0,159.0,161.0,"39,806.00"
7945,CBL,2013-04-15,161.0,164.0,161.0,164.0,"27,472.00"
7966,CBL,2013-04-16,164.0,163.0,159.0,161.0,"31,011.00"
7987,CBL,2013-04-17,161.0,160.0,158.0,160.0,"22,719.00"
8007,CBL,2013-04-18,160.0,161.0,157.0,157.0,"37,775.00"
8028,CBL,2013-04-21,157.0,158.0,154.0,155.0,"22,749.00"
8049,CBL,2013-04-22,155.0,157.0,152.0,157.0,"18,922.00"
8069,CBL,2013-04-23,157.0,159.0,155.0,156.0,"12,834.00"
8090,CBL,2013-04-25,156.0,157.0,155.0,156.0,"9,675.00"
8111,CBL,2013-04-28,156.0,156.0,153.0,154.0,"14,562.00"
8132,CBL,2013-04-29,154.0,156.0,151.0,155.0,"12,805.00"
8152,CBL,2013-04-30,155.0,154.0,151.0,153.0,"13,591.00"
8173,CBL,2013-05-02,153.0,153.0,149.0,151.0,"11,957.00"
8194,CBL,2013-05-05,151.0,155.0,148.0,151.0,"15,382.00"
8215,CBL,2013-05-06,151.0,151.0,147.0,148.0,"16,674.00"
8235,CBL,2013-05-07,148.0,154.0,148.0,152.0,"13,748.00"
8256,CBL,2013-05-08,152.0,154.0,150.0,152.0,"19,052.00"
8277,CBL,2013-05-09,152.0,154.0,151.0,151.0,"7,733.00"
8297,CBL,2013-05-12,151.0,154.0,149.0,149.0,"8,393.00"
8317,CBL,2013-05-13,149.0,153.0,148.0,152.0,"10,293.00"
8337,CBL,2013-05-14,152.0,153.0,150.0,153.0,"5,946.00"
8357,CBL,2013-05-15,153.0,155.0,150.0,153.0,"10,634.00"
8376,CBL,2013-05-16,153.0,153.0,150.0,153.0,"3,589.00"
8395,CBL,2013-05-19,153.0,154.0,150.0,150.0,"16,083.00"
8414,CBL,2013-05-20,150.0,152.0,151.0,152.0,"6,540.00"
8433,CBL,2013-05-21,152.0,152.0,150.0,152.0,"19,123.00"
8452,CBL,2013-05-22,152.0,152.0,150.0,151.0,"5,816.00"
8472,CBL,2013-05-23,151.0,150.0,149.0,150.0,"3,517.00"
8492,CBL,2013-05-26,150.0,152.0,150.0,151.0,"17,544.00"
8511,CBL,2013-05-27,151.0,153.0,150.0,153.0,"13,694.00"
8531,CBL,2013-05-28,153.0,153.0,150.0,150.0,"10,156.00"
8551,CBL,2013-05-30,150.0,151.0,150.0,150.0,"14,056.00"
8571,CBL,2013-06-02,150.0,152.0,148.0,149.0,"8,389.00"
8591,CBL,2013-06-03,149.0,150.0,148.0,149.0,"21,090.00"
8611,CBL,2013-06-04,149.0,150.0,148.0,149.0,"3,457.00"
8631,CBL,2013-06-05,149.0,150.0,147.0,150.0,"67,545.00"
8651,CBL,2013-06-06,150.0,155.0,150.0,155.0,"6,722.00"
8670,CBL,2013-06-09,155.0,153.0,150.0,150.0,"10,202.00"
8690,CBL,2013-06-10,150.0,151.0,149.0,151.0,"5,359.00"
8710,CBL,2013-06-11,151.0,153.0,149.0,149.0,"5,966.00"
8728,CBL,2013-06-12,149.0,150.0,148.0,149.0,"5,222.00"
8748,CBL,2013-06-13,149.0,149.0,148.0,149.0,"17,988.00"
8768,CBL,2013-06-16,149.0,150.0,149.0,149.0,"1,853.00"
8788,CBL,2013-06-17,149.0,149.0,145.0,148.0,"11,738.00"
8807,CBL,2013-06-18,148.0,150.0,147.0,147.0,"10,374.00"
8827,CBL,2013-06-19,147.0,149.0,145.0,145.0,"11,256.00"
8846,CBL,2013-06-20,145.0,148.0,145.0,147.0,"5,263.00"
8866,CBL,2013-06-23,147.0,147.0,143.0,145.0,"10,805.00"
8886,CBL,2013-06-24,145.0,146.0,142.0,145.0,"8,305.00"
8906,CBL,2013-06-25,145.0,149.0,145.0,148.0,"7,523.00"
8926,CBL,2013-06-26,148.0,151.0,147.0,149.0,"3,406.00"
8946,CBL,2013-06-27,149.0,149.0,146.0,147.0,"2,875.00"
8966,CBL,2013-06-30,147.0,147.0,145.0,146.0,"8,262.00"
8986,CBL,2013-07-01,146.0,146.0,144.0,144.0,"6,760.00"
9006,CBL,2013-07-02,144.0,144.0,143.0,143.0,"14,191.00"
9026,CBL,2013-07-03,143.0,144.0,141.0,144.0,"60,310.00"
9045,CBL,2013-07-04,144.0,146.0,142.0,144.0,"3,009.00"
9064,CBL,2013-07-07,144.0,148.0,143.0,148.0,"5,469.00"
9084,CBL,2013-07-08,148.0,150.0,147.0,149.0,"16,983.00"
9104,CBL,2013-07-09,149.0,151.0,147.0,149.0,"12,422.00"
9124,CBL,2013-07-10,149.0,152.0,148.0,151.0,"4,115.00"
9144,CBL,2013-07-11,151.0,151.0,149.0,149.0,482.00
9165,CBL,2013-07-14,149.0,150.0,148.0,148.0,"1,238.00"
9185,CBL,2013-07-15,148.0,150.0,145.0,149.0,"6,940.00"
9206,CBL,2013-07-16,149.0,150.0,147.0,147.0,"2,228.00"
9225,CBL,2013-07-17,147.0,149.0,146.0,147.0,"2,430.00"
9244,CBL,2013-07-18,147.0,150.0,148.0,149.0,"7,412.00"
9265,CBL,2013-07-21,149.0,156.0,150.0,152.0,"8,121.00"
9286,CBL,2013-07-22,152.0,153.0,148.0,149.0,"5,976.00"
9307,CBL,2013-07-23,149.0,150.0,147.0,149.0,"5,226.00"
9328,CBL,2013-07-24,149.0,151.0,147.0,149.0,"5,372.00"
9349,CBL,2013-07-25,149.0,149.0,145.0,147.0,"5,653.00"
9370,CBL,2013-07-28,147.0,147.0,145.0,147.0,"8,012.00"
9391,CBL,2013-07-29,147.0,148.0,144.0,146.0,"8,532.00"
9412,CBL,2013-07-30,146.0,148.0,144.0,147.0,"12,040.00"
9433,CBL,2013-07-31,147.0,148.0,146.0,147.0,"12,269.00"
9454,CBL,2013-08-01,147.0,148.0,145.0,146.0,"10,142.00"
9475,CBL,2013-08-04,146.0,148.0,144.0,146.0,"12,972.00"
9496,CBL,2013-08-05,146.0,147.0,144.0,144.0,"8,364.00"
9518,CBL,2013-08-06,144.0,147.0,141.0,144.0,"17,615.00"
9540,CBL,2013-08-07,144.0,146.0,143.0,143.0,"9,288.00"
9562,CBL,2013-08-08,143.0,148.0,141.0,148.0,"18,922.00"
9584,CBL,2013-08-11,148.0,150.0,145.0,147.0,"8,583.00"
9606,CBL,2013-08-12,147.0,146.0,140.0,140.0,"5,847.00"
