,Symbol,Date,Open,High,Low,Close,Vol
13548,CCBL,2014-06-08,0.0,284.0,260.0,280.0,"98,049.00"
13572,CCBL,2014-06-09,280.0,280.0,270.0,274.0,"119,894.00"
13596,CCBL,2014-06-10,274.0,278.0,269.0,276.0,"75,947.00"
13620,CCBL,2014-06-11,276.0,286.0,274.0,282.0,"50,258.00"
13644,CCBL,2014-06-12,282.0,296.0,280.0,296.0,"69,819.00"
13668,CCBL,2014-06-15,296.0,325.0,292.0,325.0,"103,028.00"
13692,CCBL,2014-06-16,325.0,352.0,319.0,334.0,"86,587.00"
13718,CCBL,2014-06-17,334.0,348.0,322.0,336.0,"71,650.00"
13719,CCBL,2014-06-17,334.0,348.0,322.0,336.0,"71,650.00"
13764,CCBL,2014-06-18,336.0,338.0,320.0,323.0,"34,780.00"
13788,CCBL,2014-06-19,323.0,320.0,308.0,308.0,"38,719.00"
13812,CCBL,2014-06-23,308.0,314.0,303.0,310.0,"19,638.00"
13836,CCBL,2014-06-24,310.0,325.0,298.0,314.0,"28,200.00"
13860,CCBL,2014-06-25,314.0,320.0,310.0,311.0,"27,323.00"
13884,CCBL,2014-06-26,311.0,326.0,307.0,320.0,"34,601.00"
13908,CCBL,2014-06-29,320.0,326.0,315.0,320.0,"28,891.00"
13931,CCBL,2014-06-30,320.0,319.0,314.0,318.0,"26,483.00"
13955,CCBL,2014-07-01,318.0,320.0,310.0,317.0,"18,947.00"
13979,CCBL,2014-07-02,317.0,317.0,312.0,316.0,"28,593.00"
14003,CCBL,2014-07-03,316.0,320.0,312.0,316.0,"23,235.00"
14027,CCBL,2014-07-06,316.0,320.0,310.0,319.0,"35,908.00"
14051,CCBL,2014-07-07,319.0,329.0,314.0,327.0,"40,097.00"
14123,CCBL,2014-07-10,326.0,340.0,320.0,335.0,"17,900.00"
14147,CCBL,2014-07-13,335.0,358.0,335.0,340.0,"48,036.00"
14171,CCBL,2014-07-14,340.0,342.0,328.0,332.0,"18,449.00"
14195,CCBL,2014-07-15,332.0,334.0,324.0,329.0,"22,616.00"
14219,CCBL,2014-07-16,329.0,340.0,328.0,331.0,"22,560.00"
14243,CCBL,2014-07-17,331.0,340.0,328.0,340.0,"20,556.00"
14267,CCBL,2014-07-20,340.0,351.0,340.0,349.0,"40,194.00"
14291,CCBL,2014-07-21,349.0,382.0,349.0,360.0,"39,296.00"
14315,CCBL,2014-07-22,360.0,364.0,351.0,364.0,"29,289.00"
14339,CCBL,2014-07-23,364.0,372.0,354.0,370.0,"31,024.00"
14363,CCBL,2014-07-24,370.0,375.0,366.0,370.0,"29,450.00"
14387,CCBL,2014-07-27,370.0,371.0,357.0,364.0,"16,924.00"
14410,CCBL,2014-07-28,364.0,365.0,350.0,355.0,"8,857.00"
14434,CCBL,2014-07-30,355.0,360.0,345.0,352.0,"26,602.00"
14458,CCBL,2014-07-31,352.0,358.0,348.0,354.0,"21,923.00"
14482,CCBL,2014-08-03,354.0,352.0,340.0,343.0,"11,652.00"
14506,CCBL,2014-08-04,343.0,347.0,335.0,339.0,"20,964.00"
14530,CCBL,2014-08-05,339.0,346.0,335.0,346.0,"18,455.00"
14554,CCBL,2014-08-06,346.0,346.0,331.0,336.0,"16,391.00"
14578,CCBL,2014-08-07,336.0,349.0,326.0,338.0,"23,218.00"
14602,CCBL,2014-08-12,338.0,334.0,326.0,329.0,"4,335.00"
14626,CCBL,2014-08-13,329.0,340.0,315.0,330.0,"19,453.00"
14650,CCBL,2014-08-14,330.0,335.0,324.0,330.0,"10,462.00"
14674,CCBL,2014-08-18,330.0,330.0,311.0,318.0,"13,306.00"
14698,CCBL,2014-08-19,318.0,332.0,318.0,325.0,"18,825.00"
14722,CCBL,2014-08-20,325.0,325.0,312.0,315.0,"10,831.00"
14746,CCBL,2014-08-21,315.0,325.0,300.0,325.0,"20,477.00"
14770,CCBL,2014-08-24,325.0,326.0,310.0,315.0,"10,161.00"
14794,CCBL,2014-08-25,315.0,310.0,296.0,304.0,"18,445.00"
14818,CCBL,2014-08-26,304.0,327.0,300.0,300.0,"13,485.00"
14842,CCBL,2014-08-27,300.0,320.0,306.0,315.0,"20,282.00"
14866,CCBL,2014-08-28,315.0,322.0,311.0,322.0,"27,336.00"
14890,CCBL,2014-08-31,322.0,320.0,298.0,306.0,"22,503.00"
14914,CCBL,2014-09-01,306.0,309.0,297.0,302.0,"9,771.00"
14938,CCBL,2014-09-03,302.0,310.0,297.0,301.0,"19,163.00"
14962,CCBL,2014-09-04,301.0,305.0,288.0,295.0,"21,562.00"
14986,CCBL,2014-09-07,295.0,296.0,270.0,275.0,"18,002.00"
15010,CCBL,2014-09-09,275.0,302.0,275.0,302.0,"10,197.00"
15034,CCBL,2014-09-10,302.0,314.0,287.0,292.0,"24,239.00"
15058,CCBL,2014-09-11,292.0,300.0,282.0,294.0,"18,762.00"
15082,CCBL,2014-09-14,294.0,295.0,281.0,295.0,"8,866.00"
15106,CCBL,2014-09-15,295.0,295.0,285.0,289.0,"8,593.00"
15130,CCBL,2014-09-16,289.0,292.0,284.0,285.0,"14,342.00"
15154,CCBL,2014-09-17,285.0,290.0,281.0,285.0,"8,288.00"
15178,CCBL,2014-09-18,285.0,288.0,280.0,282.0,"6,925.00"
15202,CCBL,2014-09-21,282.0,286.0,265.0,270.0,"9,109.00"
15226,CCBL,2014-09-22,270.0,277.0,269.0,276.0,"12,823.00"
15250,CCBL,2014-09-23,276.0,286.0,266.0,285.0,"9,922.00"
15274,CCBL,2014-09-24,285.0,290.0,278.0,287.0,"9,516.00"
15298,CCBL,2014-09-28,287.0,297.0,287.0,293.0,"10,129.00"
15322,CCBL,2014-09-29,293.0,304.0,288.0,301.0,"7,995.00"
15346,CCBL,2014-09-30,301.0,299.0,286.0,295.0,"8,806.00"
15369,CCBL,2014-10-08,295.0,298.0,279.0,286.0,"2,554.00"
15390,CCBL,2014-10-09,286.0,285.0,281.0,283.0,"2,441.00"
15413,CCBL,2014-10-12,283.0,288.0,277.0,280.0,"7,010.00"
15436,CCBL,2014-10-13,280.0,285.0,276.0,279.0,"12,047.00"
15459,CCBL,2014-10-14,279.0,283.0,276.0,278.0,"17,504.00"
15482,CCBL,2014-10-15,278.0,282.0,261.0,280.0,"19,231.00"
15505,CCBL,2014-10-16,280.0,289.0,279.0,282.0,"10,377.00"
15528,CCBL,2014-10-19,282.0,283.0,276.0,280.0,"5,854.00"
15551,CCBL,2014-10-20,280.0,290.0,264.0,285.0,"9,488.00"
15574,CCBL,2014-10-21,285.0,285.0,277.0,281.0,"6,821.00"
15597,CCBL,2014-10-22,281.0,290.0,280.0,287.0,"5,623.00"
15620,CCBL,2014-10-26,287.0,289.0,284.0,284.0,"1,452.00"
15643,CCBL,2014-10-27,284.0,289.0,280.0,282.0,"12,057.00"
15666,CCBL,2014-10-28,282.0,285.0,280.0,285.0,"7,558.00"
15688,CCBL,2014-10-30,285.0,286.0,280.0,281.0,"4,238.00"
15710,CCBL,2014-11-02,281.0,282.0,277.0,278.0,"10,725.00"
15732,CCBL,2014-11-03,278.0,279.0,270.0,275.0,"10,222.00"
15755,CCBL,2014-11-04,275.0,276.0,265.0,270.0,"9,489.00"
15778,CCBL,2014-11-05,270.0,277.0,261.0,272.0,"15,837.00"
15801,CCBL,2014-11-06,272.0,275.0,269.0,272.0,"16,386.00"
15824,CCBL,2014-11-09,272.0,275.0,266.0,269.0,"8,400.00"
