,Symbol,Date,Open,High,Low,Close,Vol
1,CZBIL,2011-03-20,207.0,217.0,211.0,217.0,"1,650.00"
16,CZBIL,2011-03-24,216.0,220.0,209.0,218.0,"3,350.00"
32,CZBIL,2011-03-25,218.0,216.0,212.0,215.0,"2,710.00"
48,CZBIL,2011-03-27,215.0,211.0,205.0,208.0,"1,538.00"
62,CZBIL,2011-03-28,208.0,206.0,196.0,200.0,"1,520.00"
77,CZBIL,2011-03-29,200.0,202.0,193.0,200.0,"2,900.00"
92,CZBIL,2011-03-30,200.0,204.0,194.0,200.0,"3,060.00"
106,CZBIL,2011-03-31,200.0,210.0,193.0,206.0,"4,080.00"
121,CZBIL,2011-04-04,206.0,210.0,204.0,208.0,"2,930.00"
136,CZBIL,2011-04-05,208.0,212.0,208.0,209.0,"1,910.00"
149,CZBIL,2011-04-06,209.0,211.0,206.0,208.0,"1,160.00"
163,CZBIL,2011-04-07,208.0,208.0,207.0,208.0,230.00
179,CZBIL,2011-04-10,208.0,206.0,201.0,206.0,"1,830.00"
195,CZBIL,2011-04-11,206.0,210.0,200.0,201.0,"2,940.00"
211,CZBIL,2011-04-13,201.0,200.0,196.0,196.0,520.0
224,CZBIL,2011-04-17,196.0,199.0,193.0,193.0,270.00
238,CZBIL,2011-04-18,193.0,196.0,188.0,190.0,"1,130.00"
250,CZBIL,2011-04-19,190.0,197.0,190.0,197.0,770.00
264,CZBIL,2011-04-20,197.0,200.0,192.0,192.0,830.00
278,CZBIL,2011-04-21,192.0,193.0,185.0,186.0,"2,300.00"
292,CZBIL,2011-04-25,186.0,184.0,181.0,181.0,210.00
313,CZBIL,2011-04-27,181.0,186.0,180.0,184.0,880.00
328,CZBIL,2011-04-28,184.0,181.0,175.0,175.0,700.00
343,CZBIL,2011-05-02,175.0,176.0,174.0,176.0,680.00
356,CZBIL,2011-05-03,176.0,174.0,167.0,167.0,550.00
368,CZBIL,2011-05-04,167.0,170.0,168.0,170.0,300.00
382,CZBIL,2011-05-05,170.0,181.0,171.0,181.0,570.00
396,CZBIL,2011-05-08,181.0,188.0,181.0,188.0,890.00
410,CZBIL,2011-05-09,188.0,185.0,181.0,185.0,850.00
423,CZBIL,2011-05-10,185.0,201.0,188.0,201.0,510.00
438,CZBIL,2011-05-11,201.0,200.0,191.0,200.0,"2,620.00"
451,CZBIL,2011-05-12,200.0,208.0,197.0,208.0,"2,460.00"
465,CZBIL,2011-05-15,208.0,206.0,201.0,205.0,"1,700.00"
478,CZBIL,2011-05-16,205.0,206.0,202.0,204.0,"1,820.00"
494,CZBIL,2011-05-18,204.0,205.0,204.0,204.0,790.00
510,CZBIL,2011-05-19,204.0,207.0,202.0,204.0,"2,920.00"
525,CZBIL,2011-05-22,204.0,200.0,196.0,199.0,770.00
539,CZBIL,2011-05-23,199.0,200.0,193.0,193.0,"1,000.00"
555,CZBIL,2011-05-24,193.0,199.0,196.0,197.0,400.00
568,CZBIL,2011-05-25,197.0,199.0,194.0,198.0,660.00
583,CZBIL,2011-05-26,198.0,199.0,193.0,193.0,660.00
597,CZBIL,2011-05-30,193.0,196.0,196.0,196.0,250.00
611,CZBIL,2011-05-31,196.0,194.0,190.0,193.0,420.00
627,CZBIL,2011-06-01,193.0,195.0,193.0,194.0,80.00
644,CZBIL,2011-06-02,194.0,191.0,186.0,189.0,560.00
659,CZBIL,2011-06-05,189.0,188.0,175.0,175.0,"1,820.00"
674,CZBIL,2011-06-06,175.0,174.0,167.0,173.0,"1,960.00"
689,CZBIL,2011-06-07,173.0,173.0,167.0,167.0,270.00
704,CZBIL,2011-06-08,167.0,165.0,160.0,165.0,"3,680.00"
720,CZBIL,2011-06-09,165.0,167.0,153.0,159.0,"1,630.00"
736,CZBIL,2011-06-12,159.0,157.0,150.0,150.0,"2,330.00"
750,CZBIL,2011-06-13,150.0,159.0,148.0,159.0,810.00
765,CZBIL,2011-06-14,159.0,162.0,157.0,158.0,160.00
780,CZBIL,2011-06-15,158.0,155.0,152.0,153.0,590.00
795,CZBIL,2011-06-16,153.0,151.0,149.0,151.0,"3,170.00"
811,CZBIL,2011-06-19,151.0,154.0,154.0,154.0,120.00
826,CZBIL,2011-06-20,151.0,154.0,154.0,154.0,120.00
841,CZBIL,2011-06-21,154.0,169.0,157.0,169.0,160.00
856,CZBIL,2011-06-23,169.0,184.0,172.0,184.0,50.00
873,CZBIL,2011-06-26,184.0,202.0,187.0,198.0,"7,640.00"
888,CZBIL,2011-06-27,198.0,195.0,179.0,179.0,"2,950.00"
902,CZBIL,2011-06-29,179.0,181.0,164.0,181.0,"7,100.00"
918,CZBIL,2011-06-30,181.0,190.0,181.0,186.0,"4,036.00"
933,CZBIL,2011-07-03,186.0,198.0,185.0,192.0,"2,480.00"
949,CZBIL,2011-07-04,192.0,197.0,183.0,197.0,"2,160.00"
965,CZBIL,2011-07-05,197.0,204.0,197.0,203.0,"1,410.00"
981,CZBIL,2011-07-06,203.0,215.0,199.0,212.0,"8,290.00"
997,CZBIL,2011-07-07,212.0,213.0,204.0,204.0,"2,860.00"
1011,CZBIL,2011-07-10,204.0,216.0,204.0,216.0,"2,680.00"
1027,CZBIL,2011-07-11,216.0,216.0,212.0,212.0,"1,340.00"
1043,CZBIL,2011-07-12,212.0,218.0,210.0,213.0,"2,390.00"
1059,CZBIL,2011-07-13,213.0,223.0,210.0,218.0,"2,800.00"
1075,CZBIL,2011-07-14,218.0,227.0,219.0,222.0,"3,420.00"
1090,CZBIL,2011-07-17,222.0,226.0,226.0,226.0,90.00
1105,CZBIL,2011-07-18,226.0,240.0,230.0,233.0,"4,910.00"
1122,CZBIL,2011-07-19,233.0,239.0,226.0,230.0,"5,640.00"
1139,CZBIL,2011-07-20,230.0,237.0,229.0,234.0,"2,890.00"
1156,CZBIL,2011-07-21,234.0,240.0,234.0,236.0,"2,140.00"
1173,CZBIL,2011-07-24,236.0,234.0,226.0,226.0,"1,300.00"
1189,CZBIL,2011-07-25,226.0,222.0,214.0,218.0,"1,310.00"
1204,CZBIL,2011-07-26,218.0,219.0,215.0,215.0,"1,000.00"
1220,CZBIL,2011-07-27,215.0,221.0,211.0,221.0,"1,520.00"
1237,CZBIL,2011-07-28,221.0,228.0,224.0,225.0,700.00
1254,CZBIL,2011-07-31,225.0,225.0,213.0,214.0,"2,370.00"
1270,CZBIL,2011-08-01,214.0,219.0,214.0,219.0,870.00
1286,CZBIL,2011-08-02,219.0,222.0,211.0,217.0,"1,840.00"
1303,CZBIL,2011-08-03,217.0,217.0,211.0,211.0,"2,730.00"
1320,CZBIL,2011-08-04,211.0,218.0,211.0,213.0,"1,480.00"
1337,CZBIL,2011-08-07,213.0,210.0,206.0,207.0,"1,780.00"
1351,CZBIL,2011-08-08,207.0,203.0,200.0,200.0,"2,300.00"
1366,CZBIL,2011-08-09,200.0,206.0,200.0,203.0,"1,490.00"
1383,CZBIL,2011-08-10,203.0,208.0,204.0,208.0,420.00
1400,CZBIL,2011-08-11,208.0,210.0,205.0,210.0,"1,650.00"
1417,CZBIL,2011-08-15,210.0,213.0,210.0,211.0,"1,110.00"
1434,CZBIL,2011-08-16,211.0,210.0,207.0,208.0,410.00
1449,CZBIL,2011-08-17,208.0,204.0,199.0,199.0,"2,940.00"
1465,CZBIL,2011-08-18,199.0,202.0,195.0,199.0,"1,920.00"
