,Symbol,Date,Open,High,Low,Close,Vol
2,EBL,2011-03-20,,984.0,965.0,984.0,417.00
17,EBL,2011-03-24,,,,,27.00
33,EBL,2011-03-25,,,,,333.00
63,EBL,2011-03-28,,,960.0,998.0,324.00
78,EBL,2011-03-29,998.0,979.0,899.0,959.0,"1,637.00"
93,EBL,2011-03-30,959.0,989.0,951.0,989.0,97.00
107,EBL,2011-03-31,989.0,,955.0,,"1,474.00"
122,EBL,2011-04-04,,,,,79.00
137,EBL,2011-04-05,,998.0,960.0,998.0,647.00
150,EBL,2011-04-06,998.0,,960.0,,"1,165.00"
164,EBL,2011-04-07,,,980.0,,"1,478.00"
180,EBL,2011-04-10,,,,,"1,209.00"
196,EBL,2011-04-11,,,988.0,,"4,953.00"
212,EBL,2011-04-13,,,,,40.0
225,EBL,2011-04-17,,,,,234.00
239,EBL,2011-04-18,,,941.0,,452.00
251,EBL,2011-04-19,,,,,157.00
265,EBL,2011-04-20,,,930.0,932.0,772.00
279,EBL,2011-04-21,932.0,975.0,922.0,975.0,721.00
293,EBL,2011-04-25,975.0,975.0,956.0,956.0,120.00
304,EBL,2011-04-26,956.0,994.0,975.0,994.0,20.0
329,EBL,2011-04-28,994.0,,998.0,,483.00
357,EBL,2011-05-03,,,,,10.00
369,EBL,2011-05-04,,,927.0,950.0,428.00
383,EBL,2011-05-05,950.0,955.0,940.0,940.0,471.00
397,EBL,2011-05-08,940.0,977.0,958.0,958.0,101.00
411,EBL,2011-05-09,958.0,976.0,926.0,976.0,194.00
424,EBL,2011-05-10,976.0,,955.0,,576.00
439,EBL,2011-05-11,,990.0,951.0,990.0,285.00
452,EBL,2011-05-12,990.0,990.0,971.0,971.0,336.00
466,EBL,2011-05-15,971.0,,972.0,991.0,365.00
479,EBL,2011-05-16,991.0,,972.0,999.0,370.00
495,EBL,2011-05-18,999.0,984.0,950.0,984.0,423.00
511,EBL,2011-05-19,984.0,984.0,956.0,956.0,615.00
526,EBL,2011-05-22,956.0,998.0,936.0,998.0,475.00
540,EBL,2011-05-23,998.0,980.0,942.0,960.0,690.00
556,EBL,2011-05-24,960.0,959.0,930.0,944.0,792.00
569,EBL,2011-05-25,944.0,992.0,904.0,992.0,"2,304.00"
584,EBL,2011-05-26,992.0,973.0,973.0,973.0,91.00
598,EBL,2011-05-30,973.0,990.0,950.0,990.0,138.00
612,EBL,2011-05-31,990.0,,971.0,,32.00
628,EBL,2011-06-01,,999.0,980.0,980.0,166.00
645,EBL,2011-06-02,980.0,,,,103.00
660,EBL,2011-06-05,,,973.0,973.0,592.00
675,EBL,2011-06-06,973.0,954.0,876.0,895.0,"2,984.00"
690,EBL,2011-06-07,895.0,899.0,856.0,899.0,"1,046.00"
705,EBL,2011-06-08,899.0,901.0,855.0,901.0,"1,194.00"
721,EBL,2011-06-09,901.0,905.0,851.0,905.0,940.00
737,EBL,2011-06-12,905.0,920.0,910.0,920.0,20.00
766,EBL,2011-06-14,920.0,938.0,902.0,920.0,220.00
781,EBL,2011-06-15,920.0,902.0,828.0,828.0,402.00
796,EBL,2011-06-16,828.0,876.0,781.0,876.0,887.00
812,EBL,2011-06-19,876.0,946.0,893.0,925.0,941.00
827,EBL,2011-06-20,876.0,946.0,893.0,925.0,941.00
842,EBL,2011-06-21,,,975.0,,"2,336.00"
857,EBL,2011-06-23,,,,,"2,004.00"
874,EBL,2011-06-26,,,,,570.00
889,EBL,2011-06-27,,,977.0,977.0,222.00
903,EBL,2011-06-29,977.0,,927.0,,"1,286.00"
919,EBL,2011-06-30,,,948.0,,"1,395.00"
934,EBL,2011-07-03,,,,,12.00
950,EBL,2011-07-04,,,967.0,967.0,"1,136.00"
966,EBL,2011-07-05,967.0,986.0,930.0,980.0,"5,548.00"
982,EBL,2011-07-06,980.0,,950.0,988.0,"2,431.00"
998,EBL,2011-07-07,988.0,,970.0,970.0,119.00
1012,EBL,2011-07-10,970.0,,969.0,,534.00
1028,EBL,2011-07-11,,,980.0,980.0,342.00
1044,EBL,2011-07-12,980.0,,977.0,,"1,061.00"
1060,EBL,2011-07-13,,,,,447.00
1076,EBL,2011-07-14,,,995.0,,688.00
1091,EBL,2011-07-17,,,,,505.00
1106,EBL,2011-07-18,,,,,290.00
1123,EBL,2011-07-19,,,,,"1,097.00"
1140,EBL,2011-07-20,,,,,"2,734.00"
1157,EBL,2011-07-21,,,,,"1,522.00"
1174,EBL,2011-07-24,,,,,903.00
1190,EBL,2011-07-25,,,,,40.00
1205,EBL,2011-07-26,,,,,252.00
1221,EBL,2011-07-27,,,980.0,,"2,318.00"
1238,EBL,2011-07-28,,,,,490.00
1255,EBL,2011-07-31,,,,,347.00
1271,EBL,2011-08-01,,,,,116.00
1287,EBL,2011-08-02,,,981.0,,"1,032.00"
1304,EBL,2011-08-03,,,980.0,,453.00
1321,EBL,2011-08-04,,,990.0,,297.00
1338,EBL,2011-08-07,,,985.0,,218.00
1352,EBL,2011-08-08,,,962.0,970.0,"1,463.00"
1367,EBL,2011-08-09,970.0,972.0,951.0,972.0,"1,025.00"
1384,EBL,2011-08-10,972.0,,950.0,998.0,559.00
1401,EBL,2011-08-11,998.0,,983.0,995.0,221.00
1418,EBL,2011-08-15,995.0,,965.0,991.0,"1,352.00"
1435,EBL,2011-08-16,991.0,995.0,975.0,994.0,"1,000.00"
1450,EBL,2011-08-17,994.0,,960.0,975.0,"5,607.00"
1466,EBL,2011-08-18,975.0,,980.0,,638.00
1483,EBL,2011-08-22,,991.0,965.0,972.0,730.00
1498,EBL,2011-08-23,972.0,975.0,970.0,970.0,310.00
1514,EBL,2011-08-24,970.0,971.0,943.0,963.0,"1,217.00"
1529,EBL,2011-08-25,963.0,982.0,944.0,950.0,740.00
1545,EBL,2011-08-28,950.0,950.0,931.0,931.0,485.00
1562,EBL,2011-08-29,931.0,949.0,933.0,946.0,497.00
1578,EBL,2011-08-30,946.0,983.0,931.0,983.0,534.00
1595,EBL,2011-09-01,983.0,983.0,948.0,948.0,"1,177.00"
1610,EBL,2011-09-04,948.0,965.0,940.0,964.0,"1,168.00"
1626,EBL,2011-09-05,964.0,975.0,940.0,940.0,803.00
1641,EBL,2011-09-06,940.0,960.0,921.0,922.0,995.00
1655,EBL,2011-09-07,922.0,940.0,922.0,939.0,806.00
1670,EBL,2011-09-08,939.0,935.0,920.0,920.0,518.00
1684,EBL,2011-09-12,920.0,960.0,910.0,960.0,874.00
1701,EBL,2011-09-13,960.0,941.0,892.0,940.0,"1,650.00"
1718,EBL,2011-09-14,940.0,938.0,908.0,915.0,"1,689.00"
1735,EBL,2011-09-15,915.0,980.0,900.0,980.0,"3,778.00"
1779,EBL,2011-09-20,980.0,888.0,874.0,888.0,59.00
1796,EBL,2011-09-21,888.0,900.0,849.0,865.0,68.00
1812,EBL,2011-09-22,865.0,865.0,840.0,865.0,799.00
1829,EBL,2011-09-25,865.0,879.0,879.0,879.0,10.00
1846,EBL,2011-09-26,879.0,894.0,860.0,894.0,192.00
1863,EBL,2011-09-27,894.0,900.0,855.0,897.0,"1,161.00"
1879,EBL,2011-09-29,897.0,895.0,865.0,878.0,146.00
1895,EBL,2011-10-02,878.0,870.0,861.0,870.0,100.00
1906,EBL,2011-10-09,870.0,884.0,867.0,867.0,92.00
1914,EBL,2011-10-10,867.0,900.0,870.0,882.0,75.00
1927,EBL,2011-10-12,882.0,915.0,898.0,915.0,20.00
1942,EBL,2011-10-13,915.0,930.0,930.0,930.0,10.00
1958,EBL,2011-10-16,930.0,945.0,945.0,945.0,33.00
1988,EBL,2011-10-18,945.0,927.0,909.0,909.0,30.00
2004,EBL,2011-10-19,909.0,891.0,840.0,867.0,611.00
2020,EBL,2011-10-20,867.0,859.0,803.0,811.0,404.00
2036,EBL,2011-10-23,811.0,810.0,797.0,800.0,442.00
2050,EBL,2011-10-24,800.0,854.0,816.0,836.0,115.00
2065,EBL,2011-10-25,836.0,820.0,820.0,820.0,18.00
2081,EBL,2011-10-30,820.0,810.0,800.0,800.0,61.00
2093,EBL,2011-10-31,800.0,848.0,816.0,848.0,30.00
2108,EBL,2011-11-02,848.0,932.0,864.0,932.0,253.00
2123,EBL,2011-11-03,932.0,925.0,839.0,900.0,271.00
2140,EBL,2011-11-06,900.0,882.0,810.0,847.0,"2,635.00"
2155,EBL,2011-11-08,847.0,831.0,794.0,831.0,883.00
2171,EBL,2011-11-09,831.0,840.0,815.0,840.0,183.00
2187,EBL,2011-11-10,840.0,840.0,815.0,840.0,115.00
2203,EBL,2011-11-13,840.0,824.0,794.0,824.0,310.00
2219,EBL,2011-11-14,824.0,824.0,808.0,824.0,88.00
2236,EBL,2011-11-15,824.0,840.0,796.0,800.0,556.00
2250,EBL,2011-11-16,800.0,816.0,780.0,780.0,"2,053.00"
2265,EBL,2011-11-17,780.0,799.0,793.0,799.0,220.00
2282,EBL,2011-11-20,799.0,810.0,779.0,790.0,"1,442.00"
2299,EBL,2011-11-21,790.0,795.0,778.0,795.0,262.00
2316,EBL,2011-11-22,795.0,780.0,772.0,780.0,246.00
2332,EBL,2011-11-23,780.0,809.0,765.0,809.0,397.00
2347,EBL,2011-11-24,809.0,824.0,824.0,824.0,10.00
2362,EBL,2011-11-27,824.0,808.0,808.0,808.0,10.00
2378,EBL,2011-11-28,808.0,792.0,750.0,770.0,"2,606.00"
2393,EBL,2011-12-01,775.0,789.0,740.0,750.0,"6,000.00"
2407,EBL,2011-12-04,750.0,765.0,745.0,757.0,865.00
2423,EBL,2011-12-05,757.0,760.0,750.0,755.0,709.00
2439,EBL,2011-12-06,755.0,750.0,740.0,740.0,448.00
2452,EBL,2011-12-07,740.0,754.0,738.0,740.0,"1,336.00"
2467,EBL,2011-12-08,740.0,750.0,731.0,750.0,"1,593.00"
2481,EBL,2011-12-11,750.0,750.0,718.0,750.0,234.00
2497,EBL,2011-12-12,750.0,735.0,701.0,706.0,"1,687.00"
2510,EBL,2011-12-13,706.0,765.0,700.0,765.0,"1,505.00"
2550,EBL,2011-12-18,765.0,750.0,721.0,721.0,97.00
2560,EBL,2011-12-19,721.0,714.0,696.0,714.0,"1,627.00"
2573,EBL,2011-12-20,714.0,710.0,700.0,700.0,929.00
2587,EBL,2011-12-21,700.0,713.0,700.0,701.0,"1,564.00"
2601,EBL,2011-12-22,701.0,709.0,697.0,709.0,467.00
2616,EBL,2011-12-26,709.0,712.0,697.0,699.0,407.00
2631,EBL,2011-12-27,699.0,712.0,700.0,709.0,344.00
2647,EBL,2011-12-28,709.0,703.0,690.0,703.0,"4,771.00"
2663,EBL,2011-12-29,703.0,700.0,680.0,696.0,"6,854.00"
2679,EBL,2012-01-01,696.0,695.0,681.0,685.0,"6,914.00"
2694,EBL,2012-01-02,685.0,714.0,680.0,714.0,"9,126.00"
2710,EBL,2012-01-03,714.0,714.0,700.0,700.0,"4,018.00"
2726,EBL,2012-01-04,700.0,700.0,680.0,681.0,"18,324.00"
2742,EBL,2012-01-05,681.0,702.0,680.0,702.0,"5,733.00"
2758,EBL,2012-01-08,702.0,700.0,675.0,700.0,"9,151.00"
2774,EBL,2012-01-09,700.0,686.0,670.0,670.0,"12,252.00"
2790,EBL,2012-01-10,702.0,709.0,661.0,690.0,389.00
2803,EBL,2012-01-11,690.0,740.0,670.0,714.0,"1,369.00"
2819,EBL,2012-01-12,714.0,728.0,711.0,728.0,110.00
2835,EBL,2012-01-16,728.0,714.0,686.0,693.0,429.00
2845,EBL,2012-01-17,693.0,711.0,685.0,697.0,283.00
2857,EBL,2012-01-18,697.0,703.0,690.0,693.0,821.00
2870,EBL,2012-01-19,693.0,700.0,687.0,687.0,780.00
2881,EBL,2012-01-22,687.0,692.0,685.0,685.0,183.00
2894,EBL,2012-01-23,685.0,685.0,670.0,670.0,"3,838.00"
2909,EBL,2012-01-25,670.0,683.0,670.0,682.0,"1,151.00"
2922,EBL,2012-01-26,682.0,691.0,670.0,690.0,330.00
2936,EBL,2012-01-29,690.0,680.0,670.0,680.0,"3,345.00"
2950,EBL,2012-01-31,680.0,680.0,670.0,675.0,453.00
2964,EBL,2012-02-01,675.0,687.0,670.0,687.0,"1,427.00"
2979,EBL,2012-02-02,687.0,682.0,670.0,680.0,"2,007.00"
2993,EBL,2012-02-05,680.0,684.0,671.0,672.0,67.00
3008,EBL,2012-02-06,672.0,673.0,670.0,672.0,"1,677.00"
3023,EBL,2012-02-07,672.0,683.0,665.0,683.0,"1,337.00"
3038,EBL,2012-02-08,683.0,696.0,696.0,696.0,210.00
3052,EBL,2012-02-09,696.0,709.0,665.0,696.0,"1,552.00"
3064,EBL,2012-02-12,696.0,683.0,670.0,683.0,968.00
3079,EBL,2012-02-13,683.0,684.0,670.0,671.0,800.00
3094,EBL,2012-02-14,671.0,672.0,667.0,667.0,"6,670.00"
3109,EBL,2012-02-15,667.0,679.0,668.0,679.0,"1,229.00"
3124,EBL,2012-02-16,679.0,688.0,665.0,670.0,"2,457.00"
3139,EBL,2012-02-21,670.0,680.0,665.0,680.0,"1,290.00"
3154,EBL,2012-02-23,680.0,694.0,665.0,694.0,"3,286.00"
3170,EBL,2012-02-26,694.0,681.0,665.0,680.0,"4,064.00"
3185,EBL,2012-02-27,680.0,688.0,671.0,688.0,573.00
3200,EBL,2012-02-28,688.0,698.0,670.0,698.0,"3,642.00"
3214,EBL,2012-02-29,698.0,685.0,670.0,676.0,"2,794.00"
3230,EBL,2012-03-01,676.0,690.0,655.0,690.0,"33,581.00"
3245,EBL,2012-03-04,690.0,683.0,668.0,683.0,"1,949.00"
3260,EBL,2012-03-05,683.0,686.0,665.0,686.0,"6,761.00"
3276,EBL,2012-03-06,686.0,690.0,665.0,690.0,"3,519.00"
3293,EBL,2012-03-11,690.0,683.0,670.0,683.0,770.00
3308,EBL,2012-03-12,683.0,683.0,665.0,683.0,"1,930.00"
3324,EBL,2012-03-13,683.0,670.0,650.0,670.0,"152,797.00"
3341,EBL,2012-03-14,670.0,692.0,669.0,692.0,828.00
3357,EBL,2012-03-15,692.0,683.0,670.0,683.0,564.00
3373,EBL,2012-03-18,683.0,684.0,665.0,678.0,"4,530.00"
3390,EBL,2012-03-19,678.0,678.0,665.0,665.0,"4,922.00"
3406,EBL,2012-03-20,665.0,695.0,667.0,695.0,416.00
3423,EBL,2012-03-21,695.0,700.0,671.0,700.0,582.00
3439,EBL,2012-03-25,700.0,686.0,670.0,683.0,880.00
3456,EBL,2012-03-26,683.0,678.0,665.0,678.0,"8,350.00"
3473,EBL,2012-03-27,678.0,678.0,662.0,678.0,"5,611.00"
3490,EBL,2012-03-28,678.0,678.0,665.0,678.0,"4,252.00"
3505,EBL,2012-03-29,678.0,670.0,665.0,670.0,"4,310.00"
3521,EBL,2012-04-01,670.0,705.0,666.0,705.0,328.00
3538,EBL,2012-04-02,705.0,691.0,673.0,680.0,289.00
3555,EBL,2012-04-03,680.0,688.0,666.0,688.0,"3,949.00"
3572,EBL,2012-04-04,688.0,689.0,675.0,689.0,"2,384.00"
3588,EBL,2012-04-05,689.0,680.0,675.0,678.0,"10,316.00"
3603,EBL,2012-04-08,678.0,690.0,680.0,685.0,529.00
3619,EBL,2012-04-09,685.0,694.0,690.0,694.0,"3,029.00"
3636,EBL,2012-04-10,694.0,702.0,691.0,700.0,"3,405.00"
3653,EBL,2012-04-11,700.0,725.0,705.0,715.0,"3,502.00"
3670,EBL,2012-04-12,715.0,751.0,718.0,751.0,"4,129.00"
3687,EBL,2012-04-15,751.0,804.0,751.0,804.0,"6,854.00"
3704,EBL,2012-04-16,804.0,883.0,820.0,883.0,415.00
3719,EBL,2012-04-17,883.0,971.0,795.0,796.0,"15,765.00"
3736,EBL,2012-04-18,796.0,873.0,760.0,830.0,"11,617.00"
3753,EBL,2012-04-19,830.0,881.0,830.0,881.0,"3,226.00"
3770,EBL,2012-04-22,881.0,915.0,875.0,899.0,"10,422.00"
3787,EBL,2012-04-24,899.0,988.0,911.0,988.0,"1,848.00"
3803,EBL,2012-04-25,988.0,,,,"1,310.00"
3820,EBL,2012-04-26,,,978.0,,"15,702.00"
3837,EBL,2012-04-29,,,,,"9,521.00"
3854,EBL,2012-04-30,,,,,"14,923.00"
3869,EBL,2012-05-02,,983.0,904.0,909.0,"2,436.00"
3882,EBL,2012-05-03,909.0,999.0,927.0,999.0,"11,750.00"
3899,EBL,2012-05-07,999.0,,,,"3,386.00"
3915,EBL,2012-05-08,,,,,"13,100.00"
3932,EBL,2012-05-09,,,,,"8,023.00"
3949,EBL,2012-05-10,,,,,"7,737.00"
3965,EBL,2012-05-13,,,965.0,980.0,"3,325.00"
3981,EBL,2012-05-14,980.0,961.0,890.0,905.0,"9,168.00"
3998,EBL,2012-05-15,905.0,995.0,923.0,995.0,860.00
