,Symbol,Date,Open,High,Low,Close,Vol
5286,GBIME,2012-09-09,163.0,175.0,163.0,175.0,50.00
5304,GBIME,2012-09-10,175.0,192.0,178.0,192.0,254.00
5321,GBIME,2012-09-11,192.0,211.0,195.0,211.0,376.00
5339,GBIME,2012-09-12,211.0,232.0,215.0,232.0,"1,131.00"
5357,GBIME,2012-09-13,232.0,255.0,236.0,255.0,"27,430.00"
5375,GBIME,2012-09-16,255.0,260.0,243.0,260.0,"9,406.00"
5393,GBIME,2012-09-17,260.0,270.0,253.0,270.0,"6,296.00"
5410,GBIME,2012-09-18,270.0,277.0,260.0,275.0,"8,686.00"
5428,GBIME,2012-09-19,275.0,271.0,261.0,270.0,"4,336.00"
5446,GBIME,2012-09-20,270.0,267.0,260.0,260.0,"11,416.00"
5465,GBIME,2012-09-23,260.0,255.0,245.0,247.0,"5,384.00"
5484,GBIME,2012-09-24,247.0,250.0,245.0,248.0,"9,768.00"
5503,GBIME,2012-09-25,248.0,249.0,244.0,248.0,"4,830.00"
5522,GBIME,2012-09-26,248.0,249.0,244.0,247.0,"7,227.00"
5541,GBIME,2012-09-30,245.0,247.0,238.0,244.0,"7,236.00"
5563,GBIME,2012-10-01,244.0,245.0,240.0,243.0,"5,064.00"
5564,GBIME,2012-10-01,244.0,245.0,240.0,243.0,"5,064.00"
5598,GBIME,2012-10-02,243.0,248.0,242.0,248.0,"2,854.00"
5617,GBIME,2012-10-03,248.0,251.0,244.0,248.0,"3,424.00"
5636,GBIME,2012-10-04,248.0,250.0,244.0,250.0,"3,162.00"
5655,GBIME,2012-10-07,250.0,255.0,248.0,252.0,"6,485.00"
5674,GBIME,2012-10-08,252.0,253.0,245.0,252.0,"7,223.00"
5693,GBIME,2012-10-09,252.0,256.0,250.0,256.0,"3,945.00"
5712,GBIME,2012-10-10,256.0,256.0,251.0,253.0,"1,964.00"
5730,GBIME,2012-10-11,253.0,252.0,250.0,251.0,"3,846.00"
5749,GBIME,2012-10-12,253.0,252.0,250.0,251.0,"3,846.00"
