,Symbol,Date,Open,High,Low,Close,Vol
3,HBL,2011-03-20,580.0,585.0,580.0,585.0,377.00
18,HBL,2011-03-24,575.0,580.0,576.0,580.0,92.00
34,HBL,2011-03-25,580.0,580.0,580.0,580.0,45.00
49,HBL,2011-03-27,580.0,580.0,569.0,570.0,515.00
64,HBL,2011-03-28,570.0,559.0,539.0,539.0,517.00
79,HBL,2011-03-29,539.0,530.0,529.0,529.0,161.00
94,HBL,2011-03-30,529.0,539.0,529.0,529.0,71.00
108,HBL,2011-03-31,529.0,559.0,538.0,551.0,634.00
123,HBL,2011-04-04,551.0,562.0,552.0,552.0,124.00
138,HBL,2011-04-05,552.0,560.0,549.0,553.0,341.00
151,HBL,2011-04-06,553.0,555.0,555.0,555.0,83.00
165,HBL,2011-04-07,555.0,555.0,550.0,555.0,177.00
181,HBL,2011-04-10,555.0,560.0,551.0,560.0,322.00
197,HBL,2011-04-11,560.0,555.0,550.0,550.0,155.00
213,HBL,2011-04-13,550.0,545.0,545.0,545.0,50.0
226,HBL,2011-04-17,545.0,544.0,540.0,540.0,249.00
240,HBL,2011-04-18,540.0,535.0,535.0,535.0,216.00
252,HBL,2011-04-19,535.0,530.0,506.0,506.0,828.00
266,HBL,2011-04-20,506.0,506.0,487.0,495.0,"1,911.00"
280,HBL,2011-04-21,495.0,500.0,490.0,490.0,556.00
294,HBL,2011-04-25,490.0,499.0,498.0,499.0,104.00
314,HBL,2011-04-27,499.0,495.0,490.0,495.0,515.00
330,HBL,2011-04-28,495.0,490.0,486.0,490.0,337.00
344,HBL,2011-05-02,490.0,490.0,482.0,482.0,289.00
358,HBL,2011-05-03,482.0,490.0,464.0,464.0,"1,699.00"
384,HBL,2011-05-05,464.0,474.0,473.0,474.0,91.00
398,HBL,2011-05-08,474.0,481.0,465.0,481.0,462.00
412,HBL,2011-05-09,481.0,494.0,485.0,494.0,324.00
425,HBL,2011-05-10,494.0,508.0,500.0,505.0,454.00
440,HBL,2011-05-11,505.0,525.0,508.0,520.0,"1,099.00"
453,HBL,2011-05-12,520.0,529.0,521.0,521.0,580.00
467,HBL,2011-05-15,521.0,555.0,530.0,555.0,401.00
480,HBL,2011-05-16,555.0,566.0,550.0,560.0,913.00
496,HBL,2011-05-18,560.0,565.0,549.0,550.0,544.00
512,HBL,2011-05-19,550.0,551.0,549.0,549.0,403.00
527,HBL,2011-05-22,549.0,559.0,545.0,558.0,354.00
541,HBL,2011-05-23,558.0,565.0,554.0,554.0,266.00
570,HBL,2011-05-25,554.0,550.0,540.0,540.0,223.00
585,HBL,2011-05-26,540.0,550.0,550.0,550.0,100.00
613,HBL,2011-05-31,550.0,540.0,540.0,540.0,100.00
629,HBL,2011-06-01,540.0,530.0,520.0,520.0,238.00
646,HBL,2011-06-02,520.0,510.0,490.0,495.0,"1,017.00"
661,HBL,2011-06-05,495.0,491.0,488.0,488.0,200.00
676,HBL,2011-06-06,488.0,479.0,470.0,470.0,200.00
691,HBL,2011-06-07,470.0,478.0,466.0,466.0,596.00
706,HBL,2011-06-08,466.0,460.0,451.0,451.0,600.00
722,HBL,2011-06-09,451.0,442.0,435.0,435.0,73.00
738,HBL,2011-06-12,435.0,428.0,427.0,427.0,232.00
751,HBL,2011-06-13,427.0,420.0,402.0,402.0,"1,615.00"
767,HBL,2011-06-14,402.0,395.0,385.0,385.0,929.00
782,HBL,2011-06-15,385.0,385.0,380.0,385.0,677.00
