,Symbol,Date,Open,High,Low,Close,Vol
4,KBL,2011-03-20,260.0,270.0,260.0,270.0,90.00
19,KBL,2011-03-24,260.0,261.0,256.0,261.0,33.00
35,KBL,2011-03-25,261.0,266.0,260.0,260.0,80.00
50,KBL,2011-03-27,260.0,256.0,255.0,255.0,28.00
65,KBL,2011-03-28,255.0,260.0,260.0,260.0,77.00
80,KBL,2011-03-29,260.0,255.0,245.0,249.0,338.00
95,KBL,2011-03-30,249.0,258.0,234.0,234.0,809.00
109,KBL,2011-03-31,234.0,246.0,238.0,243.0,"1,868.00"
124,KBL,2011-04-04,243.0,249.0,237.0,249.0,"1,301.00"
139,KBL,2011-04-05,249.0,256.0,237.0,256.0,733.00
152,KBL,2011-04-06,256.0,257.0,243.0,243.0,577.00
166,KBL,2011-04-07,243.0,267.0,243.0,266.0,505.00
182,KBL,2011-04-10,266.0,279.0,261.0,279.0,420.00
198,KBL,2011-04-11,279.0,274.0,264.0,264.0,50.00
214,KBL,2011-04-13,264.0,290.0,268.0,290.0,160.0
253,KBL,2011-04-19,290.0,285.0,284.0,284.0,171.00
281,KBL,2011-04-21,284.0,279.0,279.0,279.0,10.00
295,KBL,2011-04-25,279.0,274.0,274.0,274.0,34.00
315,KBL,2011-04-27,274.0,269.0,264.0,269.0,102.00
331,KBL,2011-04-28,269.0,284.0,274.0,284.0,39.00
345,KBL,2011-05-02,284.0,279.0,274.0,274.0,150.00
385,KBL,2011-05-05,274.0,269.0,269.0,269.0,100.00
399,KBL,2011-05-08,269.0,264.0,243.0,243.0,492.00
413,KBL,2011-05-09,243.0,239.0,230.0,234.0,"1,048.00"
426,KBL,2011-05-10,234.0,244.0,232.0,244.0,"2,005.00"
441,KBL,2011-05-11,244.0,244.0,238.0,243.0,731.00
454,KBL,2011-05-12,243.0,240.0,236.0,236.0,461.00
468,KBL,2011-05-15,236.0,240.0,240.0,240.0,80.00
481,KBL,2011-05-16,240.0,244.0,233.0,244.0,563.00
497,KBL,2011-05-18,244.0,247.0,237.0,237.0,645.00
513,KBL,2011-05-19,237.0,235.0,235.0,235.0,101.00
528,KBL,2011-05-22,235.0,239.0,232.0,235.0,332.00
542,KBL,2011-05-23,235.0,239.0,239.0,239.0,241.00
571,KBL,2011-05-25,239.0,262.0,243.0,245.0,"2,217.00"
586,KBL,2011-05-26,245.0,242.0,238.0,240.0,206.00
599,KBL,2011-05-30,240.0,248.0,240.0,248.0,293.00
614,KBL,2011-05-31,248.0,244.0,233.0,237.0,"1,095.00"
630,KBL,2011-06-01,237.0,237.0,237.0,237.0,100.00
647,KBL,2011-06-02,237.0,241.0,237.0,238.0,783.00
662,KBL,2011-06-05,238.0,235.0,228.0,228.0,597.00
677,KBL,2011-06-06,228.0,225.0,221.0,225.0,601.00
692,KBL,2011-06-07,225.0,221.0,213.0,213.0,279.00
707,KBL,2011-06-08,213.0,214.0,214.0,214.0,191.00
723,KBL,2011-06-09,214.0,215.0,200.0,200.0,454.00
739,KBL,2011-06-12,200.0,200.0,196.0,196.0,968.00
752,KBL,2011-06-13,196.0,194.0,188.0,190.0,"2,329.00"
768,KBL,2011-06-14,190.0,190.0,184.0,184.0,"2,282.00"
783,KBL,2011-06-15,184.0,187.0,176.0,177.0,"1,124.00"
798,KBL,2011-06-16,177.0,194.0,178.0,194.0,"7,523.00"
814,KBL,2011-06-19,194.0,213.0,197.0,213.0,266.00
829,KBL,2011-06-20,194.0,213.0,197.0,213.0,266.00
843,KBL,2011-06-21,234.0,257.0,238.0,257.0,"1,767.00"
859,KBL,2011-06-23,257.0,282.0,262.0,282.0,"2,468.00"
876,KBL,2011-06-26,282.0,297.0,255.0,255.0,"4,433.00"
891,KBL,2011-06-27,255.0,250.0,230.0,230.0,124.00
905,KBL,2011-06-29,230.0,230.0,212.0,230.0,"1,206.00"
921,KBL,2011-06-30,230.0,227.0,220.0,220.0,"1,505.00"
936,KBL,2011-07-03,220.0,242.0,224.0,238.0,"3,128.00"
952,KBL,2011-07-04,238.0,261.0,242.0,245.0,"10,648.00"
968,KBL,2011-07-05,245.0,260.0,245.0,260.0,"8,658.00"
984,KBL,2011-07-06,260.0,279.0,258.0,260.0,"4,890.00"
1000,KBL,2011-07-07,260.0,267.0,255.0,265.0,"1,308.00"
1014,KBL,2011-07-10,265.0,275.0,246.0,256.0,"1,763.00"
1030,KBL,2011-07-11,256.0,264.0,256.0,259.0,"1,499.00"
1046,KBL,2011-07-12,259.0,269.0,259.0,264.0,"1,881.00"
1062,KBL,2011-07-13,264.0,289.0,269.0,270.0,"2,166.00"
1078,KBL,2011-07-14,270.0,275.0,265.0,266.0,"5,049.00"
1108,KBL,2011-07-18,266.0,276.0,268.0,268.0,"3,013.00"
1125,KBL,2011-07-19,268.0,277.0,263.0,276.0,"2,553.00"
1142,KBL,2011-07-20,276.0,284.0,267.0,275.0,"5,706.00"
1159,KBL,2011-07-21,275.0,277.0,270.0,273.0,"3,397.00"
