,Symbol,Date,Open,High,Low,Close,Vol
125,LBL,2011-04-04,454.0,444.0,444.0,444.0,110.00
183,LBL,2011-04-10,444.0,458.0,436.0,458.0,"1,001.00"
199,LBL,2011-04-11,458.0,464.0,460.0,464.0,157.00
296,LBL,2011-04-25,464.0,455.0,455.0,455.0,10.00
316,LBL,2011-04-27,455.0,450.0,438.0,446.0,410.00
370,LBL,2011-05-04,446.0,438.0,415.0,421.0,58.00
482,LBL,2011-05-16,421.0,413.0,379.0,379.0,382.00
498,LBL,2011-05-18,379.0,372.0,342.0,342.0,220.00
514,LBL,2011-05-19,342.0,336.0,324.0,324.0,114.00
543,LBL,2011-05-23,324.0,324.0,306.0,324.0,"1,427.00"
572,LBL,2011-05-25,324.0,336.0,318.0,324.0,"1,399.00"
587,LBL,2011-05-26,324.0,342.0,301.0,342.0,"1,700.00"
600,LBL,2011-05-30,342.0,360.0,347.0,360.0,118.00
615,LBL,2011-05-31,360.0,394.0,365.0,394.0,836.00
631,LBL,2011-06-01,394.0,430.0,392.0,430.0,"1,208.00"
663,LBL,2011-06-05,430.0,422.0,406.0,406.0,87.00
708,LBL,2011-06-08,406.0,398.0,366.0,366.0,60.00
724,LBL,2011-06-09,366.0,359.0,330.0,330.0,99.00
753,LBL,2011-06-13,330.0,324.0,297.0,297.0,89.00
769,LBL,2011-06-14,297.0,292.0,268.0,268.0,273.00
784,LBL,2011-06-15,268.0,263.0,242.0,242.0,"3,021.00"
799,LBL,2011-06-16,242.0,260.0,243.0,259.0,"2,116.00"
815,LBL,2011-06-19,259.0,284.0,263.0,280.0,936.00
830,LBL,2011-06-20,259.0,284.0,263.0,280.0,936.00
844,LBL,2011-06-21,308.0,338.0,305.0,338.0,"1,610.00"
860,LBL,2011-06-23,338.0,359.0,323.0,359.0,"2,686.00"
877,LBL,2011-06-26,359.0,366.0,329.0,334.0,"2,036.00"
906,LBL,2011-06-29,334.0,328.0,301.0,301.0,237.00
922,LBL,2011-06-30,301.0,295.0,271.0,271.0,"1,694.00"
937,LBL,2011-07-03,271.0,266.0,245.0,245.0,"753,223.00"
953,LBL,2011-07-04,245.0,263.0,245.0,263.0,"55,715.00"
969,LBL,2011-07-05,263.0,289.0,265.0,285.0,"18,148.00"
985,LBL,2011-07-06,285.0,306.0,286.0,306.0,"5,430.00"
1001,LBL,2011-07-07,306.0,310.0,276.0,310.0,"4,521.00"
1015,LBL,2011-07-10,310.0,309.0,282.0,300.0,"8,165.00"
1031,LBL,2011-07-11,300.0,310.0,294.0,310.0,"10,444.00"
1047,LBL,2011-07-12,310.0,316.0,298.0,302.0,640.00
1063,LBL,2011-07-13,302.0,330.0,302.0,330.0,"13,820.00"
1079,LBL,2011-07-14,330.0,340.0,245.0,340.0,"201,180.00"
1092,LBL,2011-07-17,340.0,373.0,346.0,353.0,"1,674.00"
1109,LBL,2011-07-18,353.0,388.0,346.0,354.0,"3,305.00"
1126,LBL,2011-07-19,354.0,360.0,337.0,357.0,"4,168.00"
1143,LBL,2011-07-20,357.0,355.0,335.0,347.0,"2,305.00"
1160,LBL,2011-07-21,347.0,341.0,332.0,332.0,"3,683.00"
1176,LBL,2011-07-24,332.0,330.0,300.0,300.0,"2,685.00"
1193,LBL,2011-07-25,300.0,299.0,294.0,299.0,539.00
1208,LBL,2011-07-26,299.0,300.0,291.0,296.0,"1,300.00"
1224,LBL,2011-07-27,296.0,310.0,299.0,307.0,"3,285.00"
1241,LBL,2011-07-28,307.0,311.0,295.0,310.0,"7,072.00"
1257,LBL,2011-07-31,310.0,304.0,294.0,297.0,"3,923.00"
1274,LBL,2011-08-01,297.0,296.0,289.0,293.0,"1,167.00"
1290,LBL,2011-08-02,293.0,295.0,289.0,291.0,"1,102.00"
1307,LBL,2011-08-03,291.0,286.0,280.0,283.0,"1,447.00"
1324,LBL,2011-08-04,283.0,289.0,281.0,289.0,"3,034.00"
1341,LBL,2011-08-07,289.0,284.0,268.0,280.0,"25,410.00"
1355,LBL,2011-08-08,280.0,285.0,280.0,280.0,"1,300.00"
1370,LBL,2011-08-09,280.0,284.0,279.0,282.0,424.00
1387,LBL,2011-08-10,282.0,295.0,274.0,295.0,"1,076.00"
1404,LBL,2011-08-11,295.0,290.0,280.0,284.0,"1,019.00"
1421,LBL,2011-08-15,284.0,281.0,277.0,280.0,"3,770.00"
1438,LBL,2011-08-16,280.0,290.0,270.0,290.0,"5,683.00"
1453,LBL,2011-08-17,290.0,295.0,290.0,295.0,208.00
1469,LBL,2011-08-18,295.0,295.0,280.0,280.0,"2,464.00"
1486,LBL,2011-08-22,280.0,290.0,285.0,290.0,80.00
1501,LBL,2011-08-23,290.0,294.0,294.0,294.0,34.00
1517,LBL,2011-08-24,294.0,299.0,295.0,295.0,162.00
1532,LBL,2011-08-25,295.0,300.0,280.0,280.0,748.00
1548,LBL,2011-08-28,280.0,281.0,271.0,271.0,"1,623.00"
1565,LBL,2011-08-29,271.0,291.0,276.0,291.0,180.00
1581,LBL,2011-08-30,291.0,301.0,296.0,301.0,54.00
1598,LBL,2011-09-01,301.0,295.0,275.0,275.0,"11,056.00"
1613,LBL,2011-09-04,275.0,290.0,275.0,290.0,"2,606.00"
1629,LBL,2011-09-05,290.0,285.0,270.0,270.0,"2,846.00"
1657,LBL,2011-09-07,270.0,265.0,260.0,265.0,591.00
1672,LBL,2011-09-08,265.0,270.0,260.0,265.0,"1,071.00"
1687,LBL,2011-09-12,265.0,260.0,260.0,260.0,50.00
1704,LBL,2011-09-13,260.0,275.0,265.0,270.0,183.00
1721,LBL,2011-09-14,270.0,269.0,260.0,269.0,"4,588.00"
1738,LBL,2011-09-15,269.0,274.0,252.0,268.0,"28,551.00"
1752,LBL,2011-09-18,268.0,273.0,273.0,273.0,50.00
1782,LBL,2011-09-20,273.0,268.0,250.0,268.0,"4,528.00"
1798,LBL,2011-09-21,268.0,263.0,255.0,255.0,"7,974.00"
1815,LBL,2011-09-22,255.0,266.0,255.0,266.0,"3,724.00"
1832,LBL,2011-09-25,266.0,264.0,245.0,262.0,"166,384.00"
1849,LBL,2011-09-26,262.0,265.0,250.0,265.0,"13,850.00"
1866,LBL,2011-09-27,265.0,270.0,265.0,270.0,145.00
1881,LBL,2011-09-29,270.0,265.0,260.0,260.0,"2,026.00"
1930,LBL,2011-10-12,260.0,260.0,260.0,260.0,"3,965.00"
1945,LBL,2011-10-13,260.0,274.0,260.0,274.0,"1,024.00"
1975,LBL,2011-10-17,274.0,269.0,259.0,264.0,363.00
1991,LBL,2011-10-18,264.0,260.0,260.0,260.0,176.00
2007,LBL,2011-10-19,260.0,269.0,260.0,269.0,"1,833.00"
2023,LBL,2011-10-20,269.0,266.0,259.0,259.0,626.00
2038,LBL,2011-10-23,259.0,260.0,258.0,260.0,315.00
2068,LBL,2011-10-25,260.0,265.0,260.0,260.0,120.00
2096,LBL,2011-10-31,260.0,265.0,265.0,265.0,275.00
2109,LBL,2011-11-02,265.0,291.0,270.0,289.0,"4,501.00"
2126,LBL,2011-11-03,289.0,294.0,274.0,274.0,270.00
2143,LBL,2011-11-06,274.0,270.0,265.0,269.0,628.00
2158,LBL,2011-11-08,269.0,265.0,265.0,265.0,705.00
2174,LBL,2011-11-09,265.0,265.0,259.0,259.0,518.00
2190,LBL,2011-11-10,259.0,264.0,260.0,264.0,360.00
2206,LBL,2011-11-13,264.0,265.0,264.0,265.0,337.00
2222,LBL,2011-11-14,265.0,262.0,262.0,262.0,23.00
2252,LBL,2011-11-16,262.0,259.0,255.0,255.0,"1,484.00"
2268,LBL,2011-11-17,255.0,270.0,258.0,270.0,"1,040.00"
2285,LBL,2011-11-20,270.0,266.0,264.0,264.0,773.00
2302,LBL,2011-11-21,264.0,270.0,260.0,270.0,"1,295.00"
2318,LBL,2011-11-22,270.0,270.0,259.0,259.0,969.00
2335,LBL,2011-11-23,259.0,264.0,260.0,261.0,423.00
2350,LBL,2011-11-24,261.0,260.0,255.0,257.0,603.00
2381,LBL,2011-11-28,257.0,265.0,260.0,260.0,383.00
2396,LBL,2011-12-01,264.0,259.0,259.0,259.0,26.00
2410,LBL,2011-12-04,259.0,261.0,261.0,261.0,100.00
2426,LBL,2011-12-05,261.0,258.0,252.0,258.0,"1,353.00"
2442,LBL,2011-12-06,258.0,255.0,255.0,255.0,175.00
2455,LBL,2011-12-07,255.0,253.0,253.0,253.0,106.00
2469,LBL,2011-12-08,253.0,255.0,250.0,250.0,"3,372.00"
2484,LBL,2011-12-11,250.0,252.0,246.0,250.0,"1,418.00"
2500,LBL,2011-12-12,250.0,247.0,246.0,246.0,199.00
2513,LBL,2011-12-13,246.0,250.0,249.0,249.0,130.00
2526,LBL,2011-12-14,249.0,257.0,247.0,257.0,500.00
2538,LBL,2011-12-15,257.0,260.0,246.0,250.0,"5,829.00"
2604,LBL,2011-12-22,250.0,240.0,240.0,240.0,42.00
2634,LBL,2011-12-27,240.0,242.0,236.0,240.0,"2,986.00"
2650,LBL,2011-12-28,240.0,244.0,236.0,236.0,"2,427.00"
2666,LBL,2011-12-29,236.0,234.0,232.0,232.0,940.00
2682,LBL,2012-01-01,232.0,236.0,236.0,236.0,863.00
2697,LBL,2012-01-02,236.0,248.0,236.0,236.0,"1,583.00"
2713,LBL,2012-01-03,236.0,246.0,238.0,243.0,"2,036.00"
2729,LBL,2012-01-04,243.0,239.0,235.0,236.0,850.00
2745,LBL,2012-01-05,236.0,234.0,230.0,234.0,"1,211.00"
2761,LBL,2012-01-08,234.0,235.0,235.0,235.0,212.00
2777,LBL,2012-01-09,235.0,232.0,231.0,231.0,264.00
2806,LBL,2012-01-11,231.0,234.0,230.0,234.0,"1,880.00"
2822,LBL,2012-01-12,234.0,240.0,231.0,240.0,"1,550.00"
2848,LBL,2012-01-17,240.0,240.0,236.0,236.0,230.00
2860,LBL,2012-01-18,236.0,233.0,231.0,232.0,710.00
2884,LBL,2012-01-22,232.0,234.0,230.0,230.0,884.00
2897,LBL,2012-01-23,230.0,232.0,230.0,230.0,240.00
2911,LBL,2012-01-25,230.0,232.0,230.0,232.0,615.00
2924,LBL,2012-01-26,232.0,231.0,230.0,230.0,"1,798.00"
2953,LBL,2012-01-31,230.0,232.0,228.0,230.0,"142,548.00"
2967,LBL,2012-02-01,230.0,232.0,230.0,231.0,"2,361.00"
2982,LBL,2012-02-02,231.0,230.0,230.0,230.0,"1,607.00"
2996,LBL,2012-02-05,230.0,232.0,230.0,232.0,343.00
3011,LBL,2012-02-06,232.0,234.0,230.0,234.0,"18,126.00"
3026,LBL,2012-02-07,234.0,232.0,230.0,230.0,"8,632.00"
3040,LBL,2012-02-08,230.0,235.0,234.0,235.0,230.00
3054,LBL,2012-02-09,235.0,235.0,232.0,235.0,55.00
3067,LBL,2012-02-12,235.0,232.0,232.0,232.0,260.00
3082,LBL,2012-02-13,232.0,236.0,236.0,236.0,50.00
3097,LBL,2012-02-14,236.0,232.0,230.0,230.0,793.00
3112,LBL,2012-02-15,230.0,231.0,230.0,230.0,95.00
3127,LBL,2012-02-16,230.0,229.0,227.0,229.0,"1,929.00"
3142,LBL,2012-02-21,229.0,228.0,228.0,228.0,60.00
3157,LBL,2012-02-23,228.0,229.0,229.0,229.0,188.00
3173,LBL,2012-02-26,229.0,228.0,225.0,226.0,"1,465.00"
3187,LBL,2012-02-27,226.0,226.0,226.0,226.0,490.00
3217,LBL,2012-02-29,226.0,234.0,230.0,234.0,20.00
3233,LBL,2012-03-01,234.0,234.0,230.0,234.0,536.00
3248,LBL,2012-03-04,234.0,238.0,234.0,235.0,138.00
