,Symbol,Date,Open,High,Low,Close,Vol
5,MBL,2011-03-20,153.0,153.0,153.0,153.0,500.00
20,MBL,2011-03-24,147.0,148.0,140.0,143.0,"1,822.00"
36,MBL,2011-03-25,143.0,145.0,141.0,141.0,906.00
51,MBL,2011-03-27,141.0,143.0,137.0,139.0,"1,031.00"
66,MBL,2011-03-28,139.0,137.0,129.0,129.0,"1,942.00"
81,MBL,2011-03-29,129.0,128.0,125.0,128.0,"1,636.00"
110,MBL,2011-03-31,128.0,139.0,130.0,139.0,995.00
126,MBL,2011-04-04,139.0,141.0,138.0,140.0,978.00
140,MBL,2011-04-05,140.0,138.0,136.0,138.0,854.00
153,MBL,2011-04-06,138.0,139.0,132.0,135.0,"1,572.00"
167,MBL,2011-04-07,135.0,137.0,135.0,136.0,673.00
184,MBL,2011-04-10,136.0,135.0,131.0,131.0,"1,714.00"
200,MBL,2011-04-11,131.0,130.0,129.0,130.0,"1,115.00"
215,MBL,2011-04-13,130.0,130.0,128.0,130.0,156.0
227,MBL,2011-04-17,130.0,128.0,128.0,128.0,110.00
241,MBL,2011-04-18,128.0,129.0,127.0,127.0,115.00
254,MBL,2011-04-19,127.0,127.0,124.0,124.0,"1,726.00"
267,MBL,2011-04-20,124.0,125.0,125.0,125.0,900.00
282,MBL,2011-04-21,125.0,127.0,124.0,126.0,"1,969.00"
305,MBL,2011-04-26,126.0,126.0,124.0,124.0,187.0
317,MBL,2011-04-27,124.0,123.0,112.0,112.0,"2,330.00"
332,MBL,2011-04-28,112.0,115.0,114.0,115.0,279.00
346,MBL,2011-05-02,115.0,117.0,115.0,117.0,"1,056.00"
359,MBL,2011-05-03,117.0,118.0,115.0,118.0,"1,462.00"
371,MBL,2011-05-04,118.0,120.0,120.0,120.0,91.00
386,MBL,2011-05-05,120.0,122.0,122.0,122.0,99.00
400,MBL,2011-05-08,122.0,122.0,120.0,120.0,"1,700.00"
427,MBL,2011-05-10,120.0,128.0,122.0,128.0,848.00
442,MBL,2011-05-11,128.0,130.0,126.0,126.0,973.00
455,MBL,2011-05-12,126.0,125.0,123.0,123.0,"1,098.00"
469,MBL,2011-05-15,123.0,126.0,125.0,126.0,238.00
483,MBL,2011-05-16,126.0,126.0,124.0,126.0,359.00
