,Symbol,Date,Open,High,Low,Close,Vol
9966,MEGA,2013-09-08,188.0,188.0,178.0,181.0,"44,339.00"
9989,MEGA,2013-09-09,181.0,183.0,175.0,181.0,"63,530.00"
10012,MEGA,2013-09-10,181.0,182.0,179.0,181.0,"35,018.00"
10035,MEGA,2013-09-11,181.0,181.0,179.0,180.0,"39,660.00"
10058,MEGA,2013-09-12,180.0,183.0,179.0,182.0,"31,083.00"
10081,MEGA,2013-09-15,182.0,182.0,180.0,181.0,"23,167.00"
10104,MEGA,2013-09-16,181.0,182.0,179.0,180.0,"29,516.00"
10127,MEGA,2013-09-17,180.0,181.0,177.0,179.0,"18,344.00"
10150,MEGA,2013-09-19,179.0,180.0,176.0,178.0,"16,703.00"
10173,MEGA,2013-09-22,178.0,178.0,170.0,172.0,"25,713.00"
10196,MEGA,2013-09-23,172.0,174.0,171.0,173.0,"14,340.00"
10219,MEGA,2013-09-24,173.0,179.0,172.0,176.0,"13,037.00"
10242,MEGA,2013-09-25,176.0,179.0,175.0,178.0,"11,867.00"
10265,MEGA,2013-09-26,178.0,179.0,175.0,177.0,"16,191.00"
10288,MEGA,2013-09-29,177.0,178.0,176.0,177.0,"14,539.00"
10311,MEGA,2013-09-30,177.0,179.0,176.0,176.0,"11,224.00"
10334,MEGA,2013-10-01,176.0,177.0,174.0,177.0,"13,501.00"
10357,MEGA,2013-10-02,177.0,178.0,175.0,177.0,"22,389.00"
10380,MEGA,2013-10-03,177.0,177.0,173.0,176.0,"12,343.00"
10403,MEGA,2013-10-06,176.0,179.0,175.0,178.0,"31,043.00"
10426,MEGA,2013-10-07,178.0,180.0,177.0,180.0,"23,385.00"
10447,MEGA,2013-10-08,180.0,180.0,178.0,180.0,"12,717.00"
10468,MEGA,2013-10-09,180.0,184.0,180.0,183.0,"9,847.00"
10490,MEGA,2013-10-10,183.0,186.0,180.0,182.0,"12,824.00"
10512,MEGA,2013-10-17,182.0,188.0,180.0,185.0,"7,117.00"
10533,MEGA,2013-10-20,185.0,199.0,184.0,195.0,"15,767.00"
10555,MEGA,2013-10-21,195.0,209.0,195.0,204.0,"42,569.00"
10577,MEGA,2013-10-22,204.0,204.0,199.0,202.0,"28,193.00"
10599,MEGA,2013-10-23,202.0,204.0,200.0,203.0,"29,883.00"
10621,MEGA,2013-10-24,203.0,204.0,200.0,201.0,"32,429.00"
10643,MEGA,2013-10-27,201.0,201.0,198.0,200.0,"18,437.00"
10665,MEGA,2013-10-28,200.0,204.0,198.0,204.0,"22,167.00"
10687,MEGA,2013-10-29,201.0,204.0,198.0,200.0,"23,127.00"
10709,MEGA,2013-10-30,200.0,206.0,198.0,204.0,"17,704.00"
10731,MEGA,2013-10-31,204.0,205.0,200.0,202.0,"31,586.00"
10752,MEGA,2013-11-06,202.0,202.0,199.0,201.0,"9,339.00"
10774,MEGA,2013-11-07,201.0,221.0,202.0,218.0,"23,282.00"
10805,MEGA,2013-11-11,235.0,251.0,234.0,251.0,"47,417.00"
10826,MEGA,2013-11-12,251.0,270.0,252.0,260.0,"39,464.00"
10847,MEGA,2013-11-13,260.0,265.0,250.0,261.0,"28,781.00"
10868,MEGA,2013-11-14,261.0,260.0,250.0,259.0,"65,668.00"
10889,MEGA,2013-11-21,259.0,274.0,264.0,274.0,"1,437.00"
10908,MEGA,2013-11-24,274.0,301.0,279.0,301.0,"24,087.00"
10929,MEGA,2013-11-25,301.0,307.0,295.0,304.0,"61,999.00"
10950,MEGA,2013-11-26,304.0,310.0,298.0,306.0,"38,528.00"
10971,MEGA,2013-11-27,306.0,305.0,295.0,300.0,"26,979.00"
10992,MEGA,2013-11-28,300.0,301.0,298.0,300.0,"19,902.00"
11013,MEGA,2013-12-01,300.0,303.0,297.0,302.0,"15,636.00"
11034,MEGA,2013-12-02,302.0,308.0,300.0,308.0,"16,796.00"
11055,MEGA,2013-12-03,308.0,314.0,300.0,307.0,"30,335.00"
11076,MEGA,2013-12-04,307.0,337.0,307.0,336.0,"28,739.00"
11097,MEGA,2013-12-05,336.0,369.0,336.0,355.0,"37,078.00"
11118,MEGA,2013-12-08,355.0,365.0,350.0,360.0,"54,814.00"
11139,MEGA,2013-12-09,360.0,361.0,352.0,361.0,"18,088.00"
11160,MEGA,2013-12-10,361.0,360.0,351.0,355.0,"23,291.00"
11181,MEGA,2013-12-11,355.0,370.0,351.0,365.0,"25,732.00"
11202,MEGA,2013-12-12,365.0,372.0,358.0,370.0,"24,316.00"
11223,MEGA,2013-12-15,370.0,397.0,363.0,387.0,"44,716.00"
11244,MEGA,2013-12-16,387.0,425.0,390.0,425.0,"4,060.00"
11265,MEGA,2013-12-18,425.0,466.0,417.0,466.0,"19,071.00"
11286,MEGA,2013-12-19,466.0,475.0,436.0,458.0,"30,840.00"
11307,MEGA,2013-12-22,460.0,459.0,439.0,446.0,"29,438.00"
11328,MEGA,2013-12-23,445.0,440.0,401.0,407.0,"24,224.00"
11349,MEGA,2013-12-24,407.0,420.0,367.0,402.0,"26,733.00"
11370,MEGA,2013-12-26,401.0,435.0,401.0,411.0,"38,063.00"
11391,MEGA,2013-12-29,411.0,413.0,386.0,400.0,"50,394.00"
11412,MEGA,2013-12-31,400.0,399.0,390.0,399.0,"10,016.00"
11433,MEGA,2014-01-01,399.0,397.0,378.0,395.0,"10,235.00"
