,Symbol,Date,Open,High,Low,Close,Vol
6,NABIL,2011-03-20,,,,,853.00
21,NABIL,2011-03-24,,,,,356.00
37,NABIL,2011-03-25,,,,,702.00
52,NABIL,2011-03-27,,,,,"1,426.00"
67,NABIL,2011-03-28,,,,,352.00
82,NABIL,2011-03-29,,,,,"1,456.00"
96,NABIL,2011-03-30,,,,,"1,340.00"
111,NABIL,2011-03-31,,,,,"1,828.00"
127,NABIL,2011-04-04,,,,,"1,151.00"
141,NABIL,2011-04-05,,,,,115.00
154,NABIL,2011-04-06,,,,,248.00
168,NABIL,2011-04-07,,,,,640.00
185,NABIL,2011-04-10,,,,,"1,711.00"
201,NABIL,2011-04-11,,,,,536.00
216,NABIL,2011-04-13,,,,,389.0
228,NABIL,2011-04-17,,,,,481.00
242,NABIL,2011-04-18,,,,,760.00
255,NABIL,2011-04-19,,,,,"1,303.00"
268,NABIL,2011-04-20,,,,,"1,240.00"
283,NABIL,2011-04-21,,,,,451.00
297,NABIL,2011-04-25,,,,,381.00
318,NABIL,2011-04-27,,,,,751.00
333,NABIL,2011-04-28,,,,,"1,023.00"
347,NABIL,2011-05-02,,,,,754.00
360,NABIL,2011-05-03,,,,,783.00
372,NABIL,2011-05-04,,,,,596.00
387,NABIL,2011-05-05,,,,,126.00
401,NABIL,2011-05-08,,,,,445.00
414,NABIL,2011-05-09,,,,,172.00
428,NABIL,2011-05-10,,,,,"1,060.00"
443,NABIL,2011-05-11,,,,,804.00
456,NABIL,2011-05-12,,,,,919.00
470,NABIL,2011-05-15,,,,,38.00
484,NABIL,2011-05-16,,,,,156.00
500,NABIL,2011-05-18,,,,,939.00
515,NABIL,2011-05-19,,,,,490.00
530,NABIL,2011-05-22,,,,,115.00
545,NABIL,2011-05-23,,,,,239.00
558,NABIL,2011-05-24,,,,,282.00
574,NABIL,2011-05-25,,,,,597.00
589,NABIL,2011-05-26,,,,,127.00
602,NABIL,2011-05-30,,,,,320.00
617,NABIL,2011-05-31,,,,,873.00
633,NABIL,2011-06-01,,,,,338.00
649,NABIL,2011-06-02,,,,,"1,912.00"
665,NABIL,2011-06-05,,,,,665.00
679,NABIL,2011-06-06,,,,,"1,052.00"
694,NABIL,2011-06-07,,,,,236.00
710,NABIL,2011-06-08,,,985.0,,"1,212.00"
726,NABIL,2011-06-09,,,966.0,,338.00
741,NABIL,2011-06-12,,,932.0,965.0,632.00
755,NABIL,2011-06-13,965.0,955.0,903.0,933.0,"2,673.00"
771,NABIL,2011-06-14,933.0,915.0,855.0,868.0,"1,716.00"
786,NABIL,2011-06-15,868.0,860.0,790.0,817.0,"1,931.00"
801,NABIL,2011-06-16,817.0,898.0,803.0,898.0,"1,980.00"
817,NABIL,2011-06-19,898.0,987.0,915.0,987.0,"1,362.00"
832,NABIL,2011-06-20,898.0,987.0,915.0,987.0,"1,362.00"
846,NABIL,2011-06-21,,,,,"3,475.00"
862,NABIL,2011-06-23,,,,,"3,749.00"
879,NABIL,2011-06-26,,,,,"3,966.00"
892,NABIL,2011-06-27,,,,,552.00
908,NABIL,2011-06-29,,,,,"1,583.00"
924,NABIL,2011-06-30,,,,,"1,898.00"
939,NABIL,2011-07-03,,,,,863.00
955,NABIL,2011-07-04,,,,,"3,785.00"
971,NABIL,2011-07-05,,,,,"1,168.00"
987,NABIL,2011-07-06,,,,,"1,170.00"
1003,NABIL,2011-07-07,,,,,344.00
1017,NABIL,2011-07-10,,,,,"2,034.00"
1033,NABIL,2011-07-11,,,,,"1,784.00"
1049,NABIL,2011-07-12,,,,,"1,022.00"
1065,NABIL,2011-07-13,,,,,"1,603.00"
1081,NABIL,2011-07-14,,,,,883.00
1094,NABIL,2011-07-17,,,,,177.00
1111,NABIL,2011-07-18,,,,,"1,584.00"
1128,NABIL,2011-07-19,,,,,"1,301.00"
1145,NABIL,2011-07-20,,,,,814.00
1162,NABIL,2011-07-21,,,,,"1,285.00"
1178,NABIL,2011-07-24,,,,,808.00
1194,NABIL,2011-07-25,,,,,59.00
1210,NABIL,2011-07-26,,,,,652.00
1226,NABIL,2011-07-27,,,,,"2,033.00"
1243,NABIL,2011-07-28,,,,,578.00
