,Symbol,Date,Open,High,Low,Close,Vol
6418,NBL,2012-12-17,0.0,395.0,380.0,395.0,30.00
6438,NBL,2012-12-18,395.0,414.0,414.0,414.0,10.00
6458,NBL,2012-12-19,395.0,414.0,414.0,414.0,10.00
6478,NBL,2012-12-20,414.0,450.0,434.0,450.0,40.00
6498,NBL,2012-12-21,450.0,490.0,472.0,490.0,31.00
6518,NBL,2012-12-23,490.0,534.0,514.0,534.0,40.00
6538,NBL,2012-12-24,534.0,609.0,544.0,609.0,"1,292.00"
6558,NBL,2012-12-25,534.0,609.0,544.0,609.0,"1,292.00"
6578,NBL,2012-12-26,609.0,645.0,598.0,645.0,91.00
6598,NBL,2012-12-27,645.0,709.0,677.0,709.0,"1,260.00"
6618,NBL,2012-12-31,709.0,779.0,744.0,779.0,"6,361.00"
6638,NBL,2013-01-01,779.0,856.0,817.0,856.0,40.00
6658,NBL,2013-01-02,856.0,941.0,260.0,941.0,"26,591.00"
6678,NBL,2013-01-03,941.0,,959.0,,"1,573.00"
6698,NBL,2013-01-06,,,,,"4,983.00"
6718,NBL,2013-01-07,,,,,"11,538.00"
6737,NBL,2013-01-08,,,,,"8,462.00"
6757,NBL,2013-01-09,,,,,"5,575.00"
6777,NBL,2013-01-10,,,,,"2,609.00"
6797,NBL,2013-01-13,,,990.0,,"8,816.00"
6817,NBL,2013-01-15,,999.0,948.0,950.0,"4,209.00"
6837,NBL,2013-01-16,950.0,940.0,919.0,931.0,"1,956.00"
6857,NBL,2013-01-17,931.0,932.0,915.0,926.0,"3,713.00"
6877,NBL,2013-01-20,926.0,935.0,884.0,903.0,"1,931.00"
6896,NBL,2013-01-21,903.0,935.0,895.0,917.0,"1,308.00"
6916,NBL,2013-01-22,903.0,935.0,895.0,917.0,"1,308.00"
6936,NBL,2013-01-23,950.0,975.0,935.0,970.0,"1,882.00"
6955,NBL,2013-01-24,970.0,989.0,925.0,950.0,"1,717.00"
6975,NBL,2013-01-27,950.0,965.0,920.0,930.0,"1,613.00"
6995,NBL,2013-01-28,930.0,932.0,915.0,924.0,"2,067.00"
7015,NBL,2013-01-30,924.0,936.0,921.0,930.0,855.00
7035,NBL,2013-01-31,930.0,940.0,925.0,930.0,"1,442.00"
7055,NBL,2013-02-03,930.0,940.0,919.0,919.0,"2,609.00"
7075,NBL,2013-02-04,919.0,930.0,902.0,920.0,"1,557.00"
7095,NBL,2013-02-05,920.0,930.0,910.0,921.0,"1,868.00"
7114,NBL,2013-02-06,921.0,917.0,905.0,907.0,"1,037.00"
7134,NBL,2013-02-07,907.0,920.0,892.0,920.0,"1,392.00"
7154,NBL,2013-02-10,920.0,905.0,900.0,900.0,618.00
7174,NBL,2013-02-12,900.0,912.0,880.0,880.0,"4,393.00"
7194,NBL,2013-02-13,880.0,905.0,840.0,897.0,"21,258.00"
7214,NBL,2013-02-14,897.0,880.0,808.0,808.0,"13,260.00"
7253,NBL,2013-02-20,800.0,816.0,784.0,791.0,"3,091.00"
7273,NBL,2013-02-21,791.0,805.0,780.0,780.0,"2,252.00"
7293,NBL,2013-02-24,780.0,779.0,736.0,762.0,"3,195.00"
7312,NBL,2013-02-25,780.0,779.0,736.0,762.0,"3,195.00"
7331,NBL,2013-02-26,725.0,714.0,695.0,700.0,"1,765.00"
7351,NBL,2013-02-27,700.0,700.0,685.0,687.0,"1,607.00"
7370,NBL,2013-02-28,687.0,702.0,685.0,686.0,"1,121.00"
7391,NBL,2013-03-03,686.0,714.0,680.0,680.0,"1,388.00"
7412,NBL,2013-03-04,680.0,683.0,667.0,683.0,"1,069.00"
7433,NBL,2013-03-05,683.0,696.0,670.0,670.0,"1,618.00"
7454,NBL,2013-03-06,670.0,683.0,657.0,660.0,"3,071.00"
7475,NBL,2013-03-07,660.0,673.0,632.0,632.0,"4,218.00"
7496,NBL,2013-03-11,632.0,652.0,630.0,645.0,"3,483.00"
7517,NBL,2013-03-13,645.0,660.0,650.0,660.0,523.00
7538,NBL,2013-03-14,660.0,680.0,653.0,680.0,"2,852.00"
7559,NBL,2013-03-17,680.0,688.0,673.0,680.0,"1,952.00"
7580,NBL,2013-03-18,680.0,680.0,670.0,680.0,819.00
7601,NBL,2013-03-19,680.0,694.0,680.0,686.0,474.00
7622,NBL,2013-03-20,686.0,673.0,673.0,673.0,781.00
7643,NBL,2013-03-21,673.0,693.0,666.0,666.0,924.00
7664,NBL,2013-03-24,666.0,670.0,640.0,652.0,"1,488.00"
7685,NBL,2013-03-25,666.0,670.0,640.0,652.0,"1,488.00"
7706,NBL,2013-03-26,652.0,665.0,647.0,665.0,520.00
7727,NBL,2013-03-27,665.0,675.0,656.0,665.0,596.00
7747,NBL,2013-03-28,665.0,675.0,652.0,652.0,"1,635.00"
7768,NBL,2013-03-31,652.0,659.0,648.0,650.0,597.00
7789,NBL,2013-04-01,652.0,659.0,648.0,650.0,597.00
7810,NBL,2013-04-02,640.0,645.0,635.0,641.0,"1,725.00"
7830,NBL,2013-04-03,641.0,652.0,636.0,640.0,"2,128.00"
7851,NBL,2013-04-04,640.0,641.0,631.0,638.0,926.00
7872,NBL,2013-04-07,638.0,645.0,636.0,639.0,"1,254.00"
7893,NBL,2013-04-08,639.0,650.0,638.0,641.0,963.00
7914,NBL,2013-04-09,641.0,703.0,640.0,685.0,"5,896.00"
7934,NBL,2013-04-11,685.0,744.0,685.0,727.0,"6,685.00"
7955,NBL,2013-04-15,727.0,760.0,720.0,758.0,"3,605.00"
7976,NBL,2013-04-16,758.0,753.0,739.0,753.0,"2,554.00"
7996,NBL,2013-04-17,753.0,751.0,738.0,738.0,738.00
8017,NBL,2013-04-18,738.0,733.0,701.0,710.0,"1,677.00"
8038,NBL,2013-04-21,710.0,710.0,697.0,705.0,741.00
8059,NBL,2013-04-22,705.0,703.0,689.0,702.0,560.00
8079,NBL,2013-04-23,702.0,715.0,686.0,700.0,"7,895.00"
8100,NBL,2013-04-25,700.0,706.0,686.0,705.0,"2,462.00"
8121,NBL,2013-04-28,705.0,719.0,695.0,699.0,"1,420.00"
8142,NBL,2013-04-29,699.0,708.0,678.0,695.0,"2,872.00"
8162,NBL,2013-04-30,695.0,695.0,626.0,626.0,"13,940.00"
8183,NBL,2013-05-02,626.0,615.0,564.0,564.0,"8,316.00"
8204,NBL,2013-05-05,564.0,555.0,508.0,508.0,"11,463.00"
8224,NBL,2013-05-06,508.0,521.0,458.0,521.0,"293,777.00"
8245,NBL,2013-05-07,521.0,558.0,496.0,530.0,"29,919.00"
8266,NBL,2013-05-08,530.0,543.0,490.0,532.0,"140,540.00"
8286,NBL,2013-05-09,532.0,145.0,143.0,145.0,135.00
8461,NBL,2013-05-22,145.0,159.0,152.0,159.0,40.00
8481,NBL,2013-05-23,159.0,174.0,162.0,174.0,60.00
8501,NBL,2013-05-26,174.0,191.0,177.0,191.0,120.00
8520,NBL,2013-05-27,191.0,204.0,185.0,185.0,"3,065.00"
8540,NBL,2013-05-28,185.0,182.0,170.0,170.0,"3,812.00"
8560,NBL,2013-05-30,170.0,177.0,170.0,177.0,"1,153.00"
8580,NBL,2013-06-02,177.0,176.0,173.0,176.0,"1,170.00"
8600,NBL,2013-06-03,176.0,174.0,172.0,173.0,"2,302.00"
8620,NBL,2013-06-04,173.0,170.0,170.0,170.0,20.00
8640,NBL,2013-06-05,170.0,173.0,168.0,168.0,937.00
8660,NBL,2013-06-06,168.0,168.0,165.0,166.0,"1,250.00"
8679,NBL,2013-06-09,166.0,166.0,164.0,164.0,425.00
8699,NBL,2013-06-10,164.0,168.0,163.0,168.0,"3,093.00"
8718,NBL,2013-06-11,168.0,165.0,165.0,165.0,240.00
8737,NBL,2013-06-12,165.0,165.0,161.0,162.0,"3,937.00"
8757,NBL,2013-06-13,162.0,162.0,162.0,162.0,602.00
8777,NBL,2013-06-16,162.0,162.0,159.0,162.0,252.00
8816,NBL,2013-06-18,162.0,163.0,161.0,163.0,696.00
8835,NBL,2013-06-19,163.0,165.0,162.0,162.0,271.00
8855,NBL,2013-06-20,162.0,162.0,159.0,162.0,200.00
8875,NBL,2013-06-23,162.0,159.0,156.0,156.0,200.00
8895,NBL,2013-06-24,156.0,155.0,150.0,150.0,"1,088.00"
8915,NBL,2013-06-25,150.0,152.0,146.0,149.0,"4,291.00"
8935,NBL,2013-06-26,149.0,156.0,150.0,153.0,"2,618.00"
8955,NBL,2013-06-27,153.0,160.0,153.0,157.0,"1,660.00"
8975,NBL,2013-06-30,157.0,161.0,157.0,161.0,"1,507.00"
