,Symbol,Date,Open,High,Low,Close,Vol
23,NCCB,2011-03-24,202.0,210.0,206.0,210.0,40.00
39,NCCB,2011-03-25,210.0,206.0,206.0,206.0,20.00
170,NCCB,2011-04-07,206.0,202.0,198.0,198.0,20.00
374,NCCB,2011-05-04,198.0,189.0,189.0,189.0,"2,710.00"
590,NCCB,2011-05-26,189.0,195.0,186.0,195.0,260.00
635,NCCB,2011-06-01,195.0,186.0,186.0,186.0,100.00
848,NCCB,2011-06-21,180.0,177.0,177.0,177.0,200.00
864,NCCB,2011-06-23,177.0,174.0,171.0,171.0,30.00
910,NCCB,2011-06-29,171.0,167.0,167.0,167.0,40.00
1096,NCCB,2011-07-17,167.0,170.0,170.0,170.0,30.00
1113,NCCB,2011-07-18,170.0,167.0,167.0,167.0,70.00
1130,NCCB,2011-07-19,167.0,164.0,152.0,152.0,300.00
1147,NCCB,2011-07-20,152.0,150.0,137.0,141.0,"10,510.00"
1164,NCCB,2011-07-21,141.0,144.0,140.0,142.0,"3,270.00"
1180,NCCB,2011-07-24,142.0,144.0,139.0,139.0,"4,900.00"
1196,NCCB,2011-07-25,139.0,137.0,130.0,130.0,"2,660.00"
1211,NCCB,2011-07-26,130.0,136.0,128.0,133.0,"4,780.00"
1228,NCCB,2011-07-27,133.0,135.0,133.0,133.0,"1,260.00"
1245,NCCB,2011-07-28,133.0,135.0,130.0,133.0,"3,780.00"
1261,NCCB,2011-07-31,133.0,132.0,125.0,125.0,"2,330.00"
1277,NCCB,2011-08-01,125.0,127.0,127.0,127.0,30.00
1294,NCCB,2011-08-02,127.0,132.0,125.0,132.0,"5,900.00"
1311,NCCB,2011-08-03,132.0,132.0,128.0,130.0,"5,370.00"
1328,NCCB,2011-08-04,130.0,134.0,130.0,134.0,"3,580.00"
1343,NCCB,2011-08-07,134.0,136.0,130.0,132.0,"5,580.00"
1357,NCCB,2011-08-08,132.0,133.0,130.0,133.0,"1,390.00"
1374,NCCB,2011-08-09,133.0,131.0,131.0,131.0,380.00
1391,NCCB,2011-08-10,131.0,133.0,130.0,133.0,"2,570.00"
