,Symbol,Date,Open,High,Low,Close,Vol
8,NIB,2011-03-20,608.0,610.0,605.0,605.0,168.00
24,NIB,2011-03-24,600.0,601.0,591.0,598.0,"1,158.00"
40,NIB,2011-03-25,598.0,600.0,590.0,590.0,"2,418.00"
54,NIB,2011-03-27,590.0,585.0,567.0,567.0,"2,004.00"
69,NIB,2011-03-28,567.0,560.0,544.0,555.0,"1,916.00"
84,NIB,2011-03-29,555.0,545.0,535.0,545.0,"1,173.00"
98,NIB,2011-03-30,545.0,555.0,547.0,555.0,344.00
113,NIB,2011-03-31,555.0,569.0,550.0,550.0,"2,765.00"
129,NIB,2011-04-04,550.0,561.0,546.0,547.0,"1,165.00"
143,NIB,2011-04-05,547.0,555.0,530.0,539.0,"1,550.00"
156,NIB,2011-04-06,539.0,545.0,536.0,536.0,694.00
171,NIB,2011-04-07,536.0,540.0,529.0,536.0,"1,176.00"
187,NIB,2011-04-10,536.0,546.0,529.0,529.0,410.00
203,NIB,2011-04-11,529.0,535.0,530.0,531.0,983.00
217,NIB,2011-04-13,531.0,535.0,535.0,535.0,50.0
230,NIB,2011-04-17,535.0,530.0,525.0,530.0,394.00
244,NIB,2011-04-18,530.0,525.0,525.0,525.0,183.00
257,NIB,2011-04-19,525.0,520.0,520.0,520.0,92.00
270,NIB,2011-04-20,520.0,530.0,530.0,530.0,50.00
284,NIB,2011-04-21,530.0,540.0,530.0,540.0,112.00
306,NIB,2011-04-26,540.0,535.0,535.0,535.0,115.0
320,NIB,2011-04-27,535.0,540.0,528.0,532.0,"1,654.00"
335,NIB,2011-04-28,532.0,535.0,525.0,525.0,551.00
349,NIB,2011-05-02,525.0,531.0,525.0,525.0,468.00
361,NIB,2011-05-03,525.0,525.0,505.0,507.0,"1,442.00"
375,NIB,2011-05-04,507.0,510.0,500.0,500.0,"1,256.00"
388,NIB,2011-05-05,500.0,503.0,502.0,503.0,508.00
402,NIB,2011-05-08,503.0,513.0,510.0,510.0,330.00
416,NIB,2011-05-09,510.0,510.0,510.0,510.0,135.00
430,NIB,2011-05-10,510.0,529.0,520.0,520.0,703.00
458,NIB,2011-05-12,520.0,521.0,521.0,521.0,86.00
472,NIB,2011-05-15,521.0,550.0,530.0,550.0,455.00
486,NIB,2011-05-16,550.0,561.0,549.0,549.0,"1,087.00"
502,NIB,2011-05-18,549.0,549.0,511.0,511.0,"1,467.00"
517,NIB,2011-05-19,511.0,520.0,502.0,510.0,"1,034.00"
532,NIB,2011-05-22,510.0,511.0,500.0,507.0,"1,782.00"
547,NIB,2011-05-23,507.0,510.0,500.0,500.0,"2,127.00"
560,NIB,2011-05-24,500.0,510.0,505.0,505.0,300.00
576,NIB,2011-05-25,505.0,500.0,500.0,500.0,200.00
591,NIB,2011-05-26,500.0,510.0,510.0,510.0,300.00
603,NIB,2011-05-30,510.0,519.0,519.0,519.0,100.00
619,NIB,2011-05-31,519.0,515.0,490.0,490.0,"2,772.00"
636,NIB,2011-06-01,490.0,498.0,492.0,497.0,304.00
651,NIB,2011-06-02,497.0,500.0,490.0,497.0,245.00
666,NIB,2011-06-05,497.0,489.0,480.0,485.0,778.00
681,NIB,2011-06-06,485.0,490.0,472.0,478.0,579.00
696,NIB,2011-06-07,478.0,473.0,460.0,460.0,897.00
712,NIB,2011-06-08,460.0,453.0,440.0,440.0,"1,378.00"
728,NIB,2011-06-09,440.0,432.0,430.0,430.0,522.00
743,NIB,2011-06-12,430.0,425.0,422.0,425.0,134.00
757,NIB,2011-06-13,425.0,425.0,401.0,401.0,"1,025.00"
773,NIB,2011-06-14,401.0,401.0,380.0,384.0,"2,634.00"
787,NIB,2011-06-15,384.0,378.0,365.0,378.0,"1,398.00"
803,NIB,2011-06-16,378.0,415.0,380.0,415.0,"1,200.00"
819,NIB,2011-06-19,415.0,448.0,423.0,448.0,820.00
834,NIB,2011-06-20,415.0,448.0,423.0,448.0,820.00
849,NIB,2011-06-21,448.0,492.0,457.0,492.0,820.00
865,NIB,2011-06-23,492.0,541.0,501.0,541.0,"7,166.00"
881,NIB,2011-06-26,541.0,595.0,494.0,494.0,"4,703.00"
894,NIB,2011-06-27,494.0,485.0,446.0,446.0,419.00
911,NIB,2011-06-29,446.0,481.0,432.0,475.0,"2,604.00"
