,Symbol,Date,Open,High,Low,Close,Vol
9197,NICA,2013-07-15,504.0,554.0,529.0,554.0,40.00
9217,NICA,2013-07-16,554.0,0.0,0.0,554.0,"8,958.00"
9236,NICA,2013-07-17,554.0,609.0,565.0,609.0,150.00
9256,NICA,2013-07-18,609.0,669.0,621.0,669.0,"1,706.00"
9277,NICA,2013-07-21,669.0,735.0,682.0,735.0,"12,269.00"
9298,NICA,2013-07-22,735.0,808.0,736.0,748.0,"50,250.00"
9319,NICA,2013-07-23,748.0,750.0,736.0,737.0,"23,541.00"
9340,NICA,2013-07-24,737.0,739.0,697.0,710.0,"25,879.00"
9361,NICA,2013-07-25,710.0,705.0,690.0,697.0,"12,985.00"
9382,NICA,2013-07-28,697.0,705.0,690.0,700.0,"12,444.00"
9403,NICA,2013-07-29,700.0,714.0,700.0,713.0,"12,604.00"
9424,NICA,2013-07-30,713.0,739.0,710.0,733.0,"11,888.00"
9445,NICA,2013-07-31,733.0,743.0,720.0,732.0,"16,045.00"
9466,NICA,2013-08-01,732.0,746.0,722.0,726.0,"16,832.00"
9487,NICA,2013-08-04,726.0,730.0,710.0,710.0,"13,593.00"
9509,NICA,2013-08-05,710.0,710.0,690.0,702.0,"10,674.00"
9531,NICA,2013-08-06,702.0,707.0,662.0,700.0,"10,700.00"
9553,NICA,2013-08-07,700.0,707.0,686.0,690.0,"9,805.00"
9575,NICA,2013-08-08,690.0,690.0,670.0,670.0,"21,368.00"
9597,NICA,2013-08-11,670.0,670.0,660.0,663.0,"6,558.00"
9619,NICA,2013-08-12,663.0,664.0,655.0,657.0,"5,132.00"
9641,NICA,2013-08-13,657.0,665.0,650.0,658.0,"4,580.00"
9663,NICA,2013-08-14,658.0,655.0,628.0,628.0,"10,225.00"
9685,NICA,2013-08-15,628.0,628.0,604.0,614.0,"10,293.00"
9707,NICA,2013-08-18,614.0,642.0,614.0,638.0,"8,933.00"
9729,NICA,2013-08-19,638.0,649.0,632.0,640.0,"4,023.00"
9751,NICA,2013-08-20,640.0,652.0,635.0,647.0,"11,568.00"
9773,NICA,2013-08-25,647.0,647.0,638.0,644.0,"6,208.00"
9795,NICA,2013-08-26,644.0,645.0,628.0,631.0,"6,237.00"
9817,NICA,2013-08-27,631.0,650.0,626.0,640.0,"11,433.00"
9839,NICA,2013-08-29,640.0,645.0,631.0,638.0,"23,136.00"
9861,NICA,2013-09-01,638.0,638.0,630.0,635.0,"7,678.00"
9883,NICA,2013-09-02,635.0,641.0,626.0,635.0,"10,758.00"
9905,NICA,2013-09-03,635.0,638.0,629.0,630.0,"20,263.00"
9927,NICA,2013-09-04,630.0,642.0,622.0,625.0,"3,978.00"
9949,NICA,2013-09-05,625.0,625.0,621.0,625.0,"4,271.00"
9972,NICA,2013-09-08,625.0,634.0,620.0,621.0,"21,774.00"
9995,NICA,2013-09-09,621.0,634.0,620.0,633.0,"8,818.00"
10018,NICA,2013-09-10,633.0,638.0,620.0,620.0,"5,479.00"
10041,NICA,2013-09-11,620.0,625.0,616.0,625.0,"8,212.00"
10064,NICA,2013-09-12,625.0,622.0,619.0,622.0,"1,797.00"
10087,NICA,2013-09-15,622.0,623.0,618.0,618.0,"4,941.00"
10110,NICA,2013-09-16,618.0,617.0,605.0,615.0,"3,632.00"
10133,NICA,2013-09-17,615.0,614.0,608.0,611.0,"6,735.00"
10156,NICA,2013-09-19,611.0,610.0,600.0,610.0,"5,987.00"
10179,NICA,2013-09-22,598.0,598.0,587.0,594.0,"2,361.00"
10202,NICA,2013-09-23,594.0,596.0,584.0,596.0,"6,184.00"
10225,NICA,2013-09-24,596.0,604.0,597.0,603.0,"5,223.00"
10248,NICA,2013-09-25,603.0,598.0,590.0,598.0,"3,376.00"
10271,NICA,2013-09-26,598.0,605.0,593.0,594.0,"2,222.00"
10294,NICA,2013-09-29,594.0,594.0,588.0,593.0,"5,097.00"
10317,NICA,2013-09-30,593.0,590.0,581.0,584.0,"2,382.00"
10340,NICA,2013-10-01,584.0,589.0,581.0,584.0,"3,171.00"
10363,NICA,2013-10-02,584.0,596.0,579.0,595.0,"1,017.00"
10386,NICA,2013-10-03,595.0,595.0,584.0,595.0,"2,064.00"
10409,NICA,2013-10-06,595.0,607.0,587.0,607.0,"2,617.00"
10432,NICA,2013-10-07,607.0,646.0,599.0,622.0,431.00
10453,NICA,2013-10-08,622.0,617.0,605.0,615.0,"1,616.00"
10474,NICA,2013-10-09,615.0,615.0,595.0,615.0,944.00
10496,NICA,2013-10-10,615.0,620.0,603.0,620.0,"2,612.00"
10518,NICA,2013-10-17,620.0,647.0,620.0,635.0,"2,059.00"
10539,NICA,2013-10-20,635.0,663.0,635.0,660.0,"7,738.00"
10561,NICA,2013-10-21,660.0,693.0,652.0,666.0,"9,821.00"
10583,NICA,2013-10-22,666.0,665.0,645.0,645.0,"9,367.00"
10605,NICA,2013-10-23,645.0,644.0,635.0,640.0,"3,207.00"
10627,NICA,2013-10-24,640.0,641.0,630.0,638.0,"4,392.00"
10649,NICA,2013-10-27,638.0,643.0,610.0,627.0,"20,010.00"
10671,NICA,2013-10-28,627.0,621.0,613.0,620.0,"4,234.00"
10693,NICA,2013-10-29,620.0,640.0,618.0,630.0,"7,580.00"
10715,NICA,2013-10-30,630.0,641.0,616.0,641.0,"4,278.00"
10737,NICA,2013-10-31,641.0,645.0,622.0,630.0,"13,446.00"
10758,NICA,2013-11-06,630.0,627.0,615.0,627.0,"1,100.00"
10780,NICA,2013-11-07,627.0,655.0,628.0,635.0,"3,833.00"
10791,NICA,2013-11-10,635.0,642.0,630.0,630.0,"5,508.00"
10811,NICA,2013-11-11,630.0,654.0,627.0,654.0,"5,107.00"
10832,NICA,2013-11-12,654.0,685.0,650.0,655.0,"6,554.00"
10853,NICA,2013-11-13,655.0,667.0,636.0,645.0,"17,494.00"
10874,NICA,2013-11-14,645.0,647.0,639.0,647.0,"6,439.00"
10895,NICA,2013-11-21,647.0,708.0,659.0,695.0,"7,277.00"
10914,NICA,2013-11-24,695.0,764.0,687.0,698.0,"18,544.00"
10935,NICA,2013-11-25,698.0,698.0,664.0,668.0,"9,430.00"
10956,NICA,2013-11-26,668.0,685.0,660.0,671.0,"7,622.00"
10977,NICA,2013-11-27,671.0,675.0,651.0,658.0,"2,173.00"
10998,NICA,2013-11-28,658.0,660.0,640.0,651.0,"7,138.00"
11019,NICA,2013-12-01,651.0,662.0,645.0,650.0,"107,794.00"
11040,NICA,2013-12-02,650.0,693.0,650.0,670.0,"31,973.00"
11061,NICA,2013-12-03,670.0,695.0,682.0,692.0,"21,886.00"
11082,NICA,2013-12-04,692.0,732.0,691.0,715.0,"31,863.00"
11103,NICA,2013-12-05,715.0,743.0,706.0,724.0,"60,375.00"
11124,NICA,2013-12-08,724.0,726.0,700.0,710.0,"15,956.00"
11145,NICA,2013-12-09,710.0,719.0,705.0,709.0,"5,129.00"
11166,NICA,2013-12-10,709.0,709.0,691.0,700.0,"7,355.00"
11187,NICA,2013-12-11,700.0,720.0,703.0,711.0,"16,483.00"
11208,NICA,2013-12-12,711.0,724.0,697.0,724.0,"30,679.00"
11229,NICA,2013-12-15,724.0,745.0,709.0,742.0,"59,921.00"
11250,NICA,2013-12-16,742.0,816.0,756.0,816.0,"36,619.00"
11271,NICA,2013-12-18,816.0,897.0,824.0,897.0,"41,249.00"
11292,NICA,2013-12-19,897.0,900.0,808.0,879.0,"60,364.00"
11313,NICA,2013-12-22,875.0,875.0,810.0,836.0,"52,786.00"
