,Symbol,Date,Open,High,Low,Close,Vol
9,NMB,2011-03-20,251.0,251.0,247.0,250.0,599.00
25,NMB,2011-03-24,260.0,255.0,254.0,254.0,344.00
41,NMB,2011-03-25,254.0,249.0,249.0,249.0,88.00
55,NMB,2011-03-27,249.0,245.0,245.0,245.0,636.00
70,NMB,2011-03-28,245.0,244.0,226.0,228.0,"1,951.00"
85,NMB,2011-03-29,228.0,233.0,225.0,232.0,"1,017.00"
99,NMB,2011-03-30,232.0,235.0,228.0,235.0,250.00
114,NMB,2011-03-31,235.0,231.0,231.0,231.0,"1,000.00"
130,NMB,2011-04-04,231.0,227.0,225.0,226.0,190.00
157,NMB,2011-04-06,226.0,225.0,225.0,225.0,100.00
172,NMB,2011-04-07,225.0,229.0,225.0,229.0,753.00
188,NMB,2011-04-10,229.0,233.0,229.0,233.0,235.00
204,NMB,2011-04-11,233.0,233.0,229.0,233.0,356.00
231,NMB,2011-04-17,233.0,229.0,229.0,229.0,100.00
258,NMB,2011-04-19,229.0,225.0,215.0,215.0,"1,430.00"
271,NMB,2011-04-20,215.0,215.0,211.0,211.0,"1,273.00"
285,NMB,2011-04-21,211.0,215.0,211.0,211.0,64.00
298,NMB,2011-04-25,211.0,210.0,206.0,206.0,837.00
307,NMB,2011-04-26,206.0,210.0,198.0,198.0,306.0
321,NMB,2011-04-27,198.0,198.0,192.0,195.0,"1,039.00"
336,NMB,2011-04-28,195.0,207.0,193.0,196.0,"1,481.00"
389,NMB,2011-05-05,196.0,182.0,176.0,176.0,"1,066.00"
403,NMB,2011-05-08,176.0,175.0,172.0,172.0,350.00
417,NMB,2011-05-09,172.0,174.0,169.0,172.0,"1,475.00"
431,NMB,2011-05-10,172.0,181.0,175.0,178.0,735.00
445,NMB,2011-05-11,178.0,182.0,181.0,182.0,294.00
487,NMB,2011-05-16,182.0,185.0,185.0,185.0,"7,236.00"
503,NMB,2011-05-18,185.0,190.0,188.0,190.0,171.00
518,NMB,2011-05-19,190.0,187.0,182.0,185.0,732.00
548,NMB,2011-05-23,185.0,194.0,188.0,192.0,196.00
561,NMB,2011-05-24,192.0,198.0,195.0,198.0,83.00
577,NMB,2011-05-25,198.0,217.0,201.0,217.0,335.00
604,NMB,2011-05-30,217.0,228.0,221.0,228.0,78.00
