,Symbol,Date,Open,High,Low,Close,Vol
10,PCBL,2011-03-20,245.0,249.0,245.0,248.0,603.00
26,PCBL,2011-03-24,246.0,250.0,245.0,246.0,998.00
42,PCBL,2011-03-25,246.0,245.0,237.0,237.0,523.00
56,PCBL,2011-03-27,237.0,235.0,223.0,223.0,577.00
71,PCBL,2011-03-28,223.0,220.0,205.0,209.0,"1,802.00"
86,PCBL,2011-03-29,209.0,208.0,201.0,206.0,"1,634.00"
100,PCBL,2011-03-30,206.0,212.0,210.0,210.0,"1,178.00"
115,PCBL,2011-03-31,210.0,227.0,214.0,227.0,473.00
131,PCBL,2011-04-04,227.0,227.0,208.0,210.0,"1,553.00"
144,PCBL,2011-04-05,210.0,211.0,205.0,206.0,"2,449.00"
158,PCBL,2011-04-06,206.0,209.0,202.0,209.0,"2,724.00"
173,PCBL,2011-04-07,209.0,210.0,205.0,209.0,"3,150.00"
189,PCBL,2011-04-10,209.0,214.0,204.0,214.0,"2,177.00"
205,PCBL,2011-04-11,214.0,214.0,210.0,211.0,"1,935.00"
218,PCBL,2011-04-13,211.0,215.0,208.0,211.0,701.0
232,PCBL,2011-04-17,211.0,215.0,200.0,200.0,"2,204.00"
245,PCBL,2011-04-18,200.0,212.0,200.0,201.0,"2,248.00"
259,PCBL,2011-04-19,201.0,204.0,200.0,204.0,"4,092.00"
272,PCBL,2011-04-20,204.0,206.0,198.0,200.0,"2,389.00"
286,PCBL,2011-04-21,200.0,204.0,198.0,200.0,"4,901.00"
299,PCBL,2011-04-25,200.0,203.0,196.0,196.0,598.00
308,PCBL,2011-04-26,196.0,196.0,196.0,196.0,69.0
322,PCBL,2011-04-27,196.0,196.0,191.0,191.0,"1,517.00"
337,PCBL,2011-04-28,191.0,194.0,188.0,190.0,"2,607.00"
350,PCBL,2011-05-02,190.0,190.0,177.0,179.0,"2,188.00"
362,PCBL,2011-05-03,179.0,180.0,174.0,177.0,"1,203.00"
376,PCBL,2011-05-04,177.0,184.0,180.0,184.0,108.00
390,PCBL,2011-05-05,184.0,191.0,184.0,189.0,"2,357.00"
404,PCBL,2011-05-08,189.0,199.0,189.0,199.0,881.00
418,PCBL,2011-05-09,199.0,204.0,196.0,200.0,751.00
432,PCBL,2011-05-10,200.0,207.0,200.0,200.0,"4,293.00"
446,PCBL,2011-05-11,200.0,204.0,193.0,193.0,"4,489.00"
459,PCBL,2011-05-12,193.0,201.0,191.0,198.0,"3,962.00"
473,PCBL,2011-05-15,198.0,204.0,196.0,200.0,"2,469.00"
488,PCBL,2011-05-16,200.0,202.0,190.0,190.0,"4,087.00"
504,PCBL,2011-05-18,190.0,202.0,193.0,198.0,"1,753.00"
519,PCBL,2011-05-19,198.0,201.0,196.0,200.0,"2,822.00"
533,PCBL,2011-05-22,200.0,202.0,196.0,202.0,"2,081.00"
549,PCBL,2011-05-23,202.0,199.0,190.0,198.0,"1,437.00"
562,PCBL,2011-05-24,198.0,200.0,197.0,199.0,829.00
578,PCBL,2011-05-25,199.0,200.0,191.0,194.0,"2,887.00"
592,PCBL,2011-05-26,194.0,200.0,194.0,200.0,"12,135.00"
605,PCBL,2011-05-30,200.0,199.0,192.0,192.0,"5,479.00"
621,PCBL,2011-05-31,192.0,196.0,190.0,196.0,"1,141.00"
638,PCBL,2011-06-01,196.0,196.0,191.0,194.0,"4,860.00"
653,PCBL,2011-06-02,194.0,198.0,186.0,195.0,"10,803.00"
668,PCBL,2011-06-05,195.0,194.0,185.0,185.0,"1,912.00"
683,PCBL,2011-06-06,185.0,190.0,182.0,182.0,"3,366.00"
698,PCBL,2011-06-07,182.0,181.0,168.0,168.0,"1,610.00"
714,PCBL,2011-06-08,168.0,172.0,165.0,170.0,774.00
730,PCBL,2011-06-09,170.0,172.0,163.0,172.0,"1,384.00"
745,PCBL,2011-06-12,172.0,170.0,164.0,168.0,"1,037.00"
759,PCBL,2011-06-13,168.0,165.0,152.0,155.0,"1,284.00"
775,PCBL,2011-06-14,155.0,163.0,154.0,163.0,"1,662.00"
789,PCBL,2011-06-15,163.0,163.0,150.0,160.0,"13,846.00"
805,PCBL,2011-06-16,160.0,175.0,150.0,169.0,"4,609.00"
821,PCBL,2011-06-19,169.0,184.0,169.0,184.0,"5,462.00"
836,PCBL,2011-06-20,169.0,184.0,169.0,184.0,"5,462.00"
851,PCBL,2011-06-21,202.0,222.0,206.0,222.0,"6,166.00"
867,PCBL,2011-06-23,222.0,244.0,226.0,244.0,"21,032.00"
883,PCBL,2011-06-26,244.0,268.0,220.0,220.0,"8,818.00"
896,PCBL,2011-06-27,220.0,216.0,198.0,198.0,913.00
913,PCBL,2011-06-29,198.0,205.0,179.0,189.0,"13,886.00"
928,PCBL,2011-06-30,189.0,196.0,181.0,190.0,"13,112.00"
943,PCBL,2011-07-03,190.0,190.0,183.0,187.0,"16,082.00"
959,PCBL,2011-07-04,187.0,192.0,184.0,190.0,"8,462.00"
975,PCBL,2011-07-05,190.0,196.0,183.0,196.0,"14,082.00"
991,PCBL,2011-07-06,196.0,214.0,198.0,209.0,"11,798.00"
1006,PCBL,2011-07-07,209.0,209.0,198.0,205.0,"7,738.00"
1021,PCBL,2011-07-10,205.0,216.0,205.0,215.0,"4,422.00"
1037,PCBL,2011-07-11,215.0,213.0,205.0,210.0,"8,104.00"
1053,PCBL,2011-07-12,210.0,218.0,209.0,210.0,"7,921.00"
1069,PCBL,2011-07-13,210.0,224.0,208.0,222.0,"11,386.00"
