,Symbol,Date,Open,High,Low,Close,Vol
16684,PRVU,2015-01-04,207.0,227.0,211.0,227.0,50.00
16708,PRVU,2015-01-05,227.0,249.0,231.0,249.0,"102,303.00"
16732,PRVU,2015-01-06,249.0,273.0,253.0,273.0,"170,924.00"
16756,PRVU,2015-01-07,273.0,288.0,268.0,271.0,"199,210.00"
16780,PRVU,2015-01-08,271.0,276.0,268.0,271.0,"52,836.00"
16804,PRVU,2015-01-11,271.0,271.0,263.0,265.0,"45,356.00"
16828,PRVU,2015-01-12,265.0,267.0,261.0,267.0,"39,542.00"
16852,PRVU,2015-01-13,267.0,268.0,257.0,265.0,"27,085.00"
16876,PRVU,2015-01-14,265.0,271.0,263.0,269.0,"17,178.00"
16900,PRVU,2015-01-18,269.0,294.0,271.0,294.0,"189,547.00"
16924,PRVU,2015-01-19,269.0,294.0,271.0,294.0,"189,547.00"
16948,PRVU,2015-01-20,269.0,294.0,271.0,294.0,"189,547.00"
16972,PRVU,2015-01-22,299.0,299.0,290.0,297.0,"31,974.00"
16996,PRVU,2015-01-25,297.0,302.0,295.0,300.0,"32,235.00"
17020,PRVU,2015-01-26,300.0,315.0,297.0,304.0,"108,179.00"
17044,PRVU,2015-01-27,304.0,306.0,300.0,302.0,"138,206.00"
17068,PRVU,2015-01-28,302.0,312.0,300.0,307.0,"70,550.00"
17091,PRVU,2015-01-29,307.0,313.0,299.0,304.0,"113,634.00"
17114,PRVU,2015-02-01,304.0,334.0,306.0,326.0,"177,083.00"
17137,PRVU,2015-02-02,326.0,328.0,314.0,317.0,"87,493.00"
17160,PRVU,2015-02-03,317.0,320.0,314.0,315.0,"27,634.00"
17183,PRVU,2015-02-04,315.0,315.0,309.0,313.0,"34,499.00"
17206,PRVU,2015-02-05,313.0,314.0,306.0,314.0,"29,629.00"
17229,PRVU,2015-02-08,314.0,319.0,310.0,313.0,"63,109.00"
17252,PRVU,2015-02-09,313.0,315.0,310.0,313.0,"63,959.00"
17275,PRVU,2015-02-10,313.0,316.0,309.0,312.0,"49,865.00"
17298,PRVU,2015-02-11,312.0,315.0,303.0,311.0,"47,362.00"
17321,PRVU,2015-02-12,311.0,312.0,308.0,311.0,"28,198.00"
17344,PRVU,2015-02-15,311.0,315.0,310.0,315.0,"44,909.00"
17384,PRVU,2015-02-16,315.0,323.0,310.0,323.0,"88,333.00"
17385,PRVU,2015-02-16,315.0,323.0,310.0,323.0,"88,333.00"
17413,PRVU,2015-02-18,323.0,335.0,321.0,335.0,"134,332.00"
17436,PRVU,2015-02-22,335.0,343.0,327.0,330.0,"94,575.00"
17459,PRVU,2015-02-23,330.0,331.0,315.0,330.0,"77,796.00"
17482,PRVU,2015-02-24,330.0,335.0,323.0,332.0,"48,684.00"
17504,PRVU,2015-02-25,332.0,335.0,328.0,335.0,"37,210.00"
17526,PRVU,2015-02-26,335.0,349.0,335.0,349.0,"88,605.00"
17549,PRVU,2015-03-01,349.0,360.0,346.0,350.0,"92,783.00"
17572,PRVU,2015-03-02,350.0,350.0,345.0,349.0,"30,148.00"
17595,PRVU,2015-03-03,349.0,348.0,342.0,343.0,"25,611.00"
17618,PRVU,2015-03-04,343.0,354.0,338.0,341.0,"42,694.00"
17641,PRVU,2015-03-09,341.0,353.0,344.0,347.0,"73,654.00"
17663,PRVU,2015-03-10,347.0,348.0,339.0,340.0,"79,413.00"
17686,PRVU,2015-03-11,340.0,345.0,341.0,342.0,"20,898.00"
17708,PRVU,2015-03-12,342.0,348.0,340.0,342.0,"26,536.00"
17730,PRVU,2015-03-15,342.0,342.0,335.0,340.0,"13,347.00"
17753,PRVU,2015-03-16,340.0,340.0,332.0,334.0,"7,644.00"
17776,PRVU,2015-03-17,334.0,341.0,329.0,340.0,"14,725.00"
17799,PRVU,2015-03-18,340.0,340.0,335.0,336.0,"5,868.00"
17822,PRVU,2015-03-19,336.0,344.0,338.0,339.0,"14,209.00"
17845,PRVU,2015-03-22,339.0,346.0,332.0,332.0,"8,570.00"
17868,PRVU,2015-03-23,332.0,340.0,329.0,330.0,"20,269.00"
17891,PRVU,2015-03-24,330.0,330.0,326.0,328.0,"67,872.00"
17914,PRVU,2015-03-25,328.0,330.0,325.0,329.0,"9,668.00"
17937,PRVU,2015-03-26,329.0,331.0,324.0,331.0,"43,881.00"
17960,PRVU,2015-03-29,331.0,333.0,325.0,330.0,"9,720.00"
17983,PRVU,2015-03-30,330.0,335.0,325.0,328.0,"13,795.00"
18006,PRVU,2015-03-31,328.0,336.0,325.0,332.0,"21,375.00"
18029,PRVU,2015-04-01,332.0,333.0,327.0,328.0,"7,796.00"
18051,PRVU,2015-04-02,328.0,336.0,328.0,331.0,"82,404.00"
18074,PRVU,2015-04-05,331.0,336.0,329.0,335.0,"9,048.00"
18097,PRVU,2015-04-06,335.0,335.0,330.0,334.0,"8,859.00"
18120,PRVU,2015-04-07,334.0,340.0,331.0,336.0,"12,508.00"
18143,PRVU,2015-04-08,336.0,343.0,332.0,342.0,"22,579.00"
18166,PRVU,2015-04-09,342.0,352.0,339.0,352.0,"35,860.00"
18189,PRVU,2015-04-12,352.0,362.0,348.0,361.0,"34,519.00"
18212,PRVU,2015-04-13,361.0,357.0,347.0,353.0,"18,412.00"
18235,PRVU,2015-04-15,353.0,360.0,347.0,348.0,"5,182.00"
18258,PRVU,2015-04-16,348.0,351.0,345.0,350.0,"5,886.00"
18281,PRVU,2015-04-19,350.0,358.0,344.0,344.0,"15,309.00"
18303,PRVU,2015-04-20,344.0,350.0,344.0,348.0,"25,947.00"
18326,PRVU,2015-04-21,348.0,357.0,346.0,350.0,"69,861.00"
18349,PRVU,2015-04-22,350.0,356.0,346.0,352.0,"10,275.00"
18372,PRVU,2015-04-23,352.0,355.0,345.0,345.0,"15,828.00"
18384,PRVU,2015-05-24,345.0,339.0,311.0,311.0,110.0
18394,PRVU,2015-05-25,311.0,305.0,280.0,280.0,"3,527.00"
18414,PRVU,2015-05-26,280.0,304.0,270.0,287.0,"33,239.00"
18434,PRVU,2015-05-27,287.0,286.0,275.0,280.0,"9,613.00"
18457,PRVU,2015-05-28,280.0,300.0,275.0,295.0,"25,968.00"
18480,PRVU,2015-05-31,295.0,311.0,297.0,310.0,"28,021.00"
18503,PRVU,2015-06-01,310.0,326.0,308.0,315.0,"25,940.00"
18526,PRVU,2015-06-02,315.0,321.0,310.0,321.0,"14,742.00"
18549,PRVU,2015-06-03,321.0,332.0,320.0,327.0,"16,535.00"
18572,PRVU,2015-06-04,327.0,337.0,321.0,321.0,"23,373.00"
18595,PRVU,2015-06-07,321.0,332.0,321.0,331.0,"40,127.00"
18652,PRVU,2015-06-08,331.0,349.0,332.0,340.0,"44,051.00"
18653,PRVU,2015-06-08,331.0,349.0,332.0,340.0,"44,051.00"
18654,PRVU,2015-06-08,331.0,349.0,332.0,340.0,"44,051.00"
18687,PRVU,2015-06-09,340.0,359.0,340.0,346.0,"40,846.00"
18710,PRVU,2015-06-10,346.0,345.0,336.0,339.0,"28,548.00"
18733,PRVU,2015-06-11,339.0,340.0,330.0,334.0,"14,059.00"
18755,PRVU,2015-06-14,334.0,339.0,325.0,329.0,"7,684.00"
18777,PRVU,2015-06-15,329.0,335.0,323.0,328.0,"14,482.00"
18799,PRVU,2015-06-16,328.0,330.0,325.0,327.0,"12,651.00"
18822,PRVU,2015-06-17,327.0,334.0,324.0,329.0,"41,105.00"
18845,PRVU,2015-06-18,329.0,335.0,324.0,324.0,"14,249.00"
18868,PRVU,2015-06-21,324.0,326.0,320.0,323.0,"5,825.00"
18891,PRVU,2015-06-22,323.0,327.0,320.0,326.0,"12,935.00"
18914,PRVU,2015-06-23,326.0,327.0,323.0,325.0,"7,229.00"
18937,PRVU,2015-06-24,325.0,329.0,321.0,327.0,"14,749.00"
18960,PRVU,2015-06-25,327.0,332.0,323.0,327.0,"15,304.00"
18983,PRVU,2015-06-28,327.0,333.0,324.0,324.0,"23,180.00"
19006,PRVU,2015-06-29,324.0,329.0,320.0,323.0,"24,960.00"
19029,PRVU,2015-06-30,323.0,324.0,316.0,320.0,"14,535.00"
19052,PRVU,2015-07-01,320.0,326.0,320.0,323.0,"7,123.00"
19075,PRVU,2015-07-02,323.0,323.0,316.0,318.0,"6,419.00"
19098,PRVU,2015-07-05,318.0,323.0,315.0,317.0,"6,756.00"
19121,PRVU,2015-07-06,317.0,318.0,310.0,315.0,"16,946.00"
19144,PRVU,2015-07-07,315.0,320.0,312.0,318.0,"20,351.00"
19167,PRVU,2015-07-08,318.0,336.0,324.0,330.0,"34,472.00"
19190,PRVU,2015-07-09,330.0,340.0,329.0,331.0,"77,704.00"
19213,PRVU,2015-07-12,331.0,336.0,326.0,331.0,"14,531.00"
19236,PRVU,2015-07-13,331.0,334.0,330.0,333.0,"14,167.00"
19259,PRVU,2015-07-14,333.0,338.0,330.0,338.0,"12,223.00"
19282,PRVU,2015-07-15,338.0,348.0,338.0,340.0,"46,656.00"
19305,PRVU,2015-07-16,340.0,348.0,341.0,348.0,"12,066.00"
19328,PRVU,2015-07-22,348.0,360.0,350.0,357.0,"41,410.00"
19351,PRVU,2015-07-23,357.0,376.0,357.0,370.0,"47,383.00"
19374,PRVU,2015-07-26,370.0,407.0,377.0,407.0,"100,052.00"
19397,PRVU,2015-07-27,407.0,431.0,385.0,386.0,"98,678.00"
19420,PRVU,2015-07-28,386.0,400.0,370.0,385.0,"43,338.00"
19443,PRVU,2015-07-29,385.0,385.0,371.0,377.0,"11,324.00"
19466,PRVU,2015-07-30,377.0,390.0,370.0,378.0,"29,557.00"
19489,PRVU,2015-08-02,378.0,390.0,373.0,388.0,"14,130.00"
19512,PRVU,2015-08-03,388.0,390.0,381.0,389.0,"32,041.00"
19535,PRVU,2015-08-04,389.0,394.0,383.0,384.0,"22,976.00"
19558,PRVU,2015-08-05,384.0,386.0,375.0,385.0,"25,304.00"
19581,PRVU,2015-08-06,385.0,395.0,378.0,388.0,"19,735.00"
19604,PRVU,2015-08-09,388.0,406.0,390.0,395.0,"54,049.00"
19627,PRVU,2015-08-10,395.0,402.0,390.0,395.0,"42,658.00"
19650,PRVU,2015-08-11,395.0,399.0,385.0,393.0,"22,817.00"
19673,PRVU,2015-08-12,393.0,395.0,375.0,382.0,"27,437.00"
19696,PRVU,2015-08-13,382.0,388.0,376.0,387.0,"38,761.00"
19719,PRVU,2015-08-16,387.0,387.0,365.0,370.0,"50,071.00"
19742,PRVU,2015-08-17,370.0,407.0,377.0,407.0,"75,252.00"
19782,PRVU,2015-08-18,407.0,438.0,408.0,436.0,"64,366.00"
19783,PRVU,2015-08-18,407.0,438.0,408.0,436.0,"64,366.00"
19811,PRVU,2015-08-19,436.0,454.0,435.0,452.0,"70,388.00"
19834,PRVU,2015-08-20,452.0,497.0,461.0,470.0,"151,985.00"
19857,PRVU,2015-08-23,470.0,474.0,447.0,457.0,"114,929.00"
19880,PRVU,2015-08-24,457.0,464.0,455.0,460.0,"61,147.00"
19903,PRVU,2015-08-25,460.0,456.0,440.0,451.0,"84,902.00"
19926,PRVU,2015-08-26,451.0,466.0,446.0,450.0,"48,053.00"
19949,PRVU,2015-08-27,450.0,459.0,445.0,449.0,"44,253.00"
19972,PRVU,2015-08-31,449.0,451.0,440.0,442.0,"43,583.00"
19995,PRVU,2015-09-01,442.0,450.0,436.0,438.0,"55,254.00"
20018,PRVU,2015-09-02,438.0,443.0,430.0,433.0,"34,816.00"
20041,PRVU,2015-09-03,433.0,436.0,430.0,433.0,"15,035.00"
20064,PRVU,2015-09-06,433.0,436.0,415.0,421.0,"122,545.00"
20087,PRVU,2015-09-07,421.0,429.0,426.0,426.0,"12,048.00"
20110,PRVU,2015-09-08,426.0,430.0,424.0,426.0,"21,942.00"
20133,PRVU,2015-09-09,426.0,428.0,424.0,428.0,"15,116.00"
20156,PRVU,2015-09-10,428.0,431.0,422.0,422.0,"18,665.00"
20179,PRVU,2015-09-13,422.0,433.0,424.0,425.0,"15,841.00"
20202,PRVU,2015-09-14,425.0,447.0,425.0,428.0,"30,202.00"
20225,PRVU,2015-09-15,428.0,437.0,430.0,433.0,"15,007.00"
20248,PRVU,2015-09-16,433.0,435.0,428.0,430.0,"16,634.00"
20271,PRVU,2015-09-17,430.0,436.0,425.0,425.0,"29,984.00"
20294,PRVU,2015-09-22,425.0,425.0,408.0,408.0,"25,981.00"
20316,PRVU,2015-09-23,408.0,432.0,413.0,421.0,"20,070.00"
20338,PRVU,2015-09-24,421.0,422.0,410.0,416.0,"31,173.00"
20360,PRVU,2015-09-28,416.0,415.0,393.0,406.0,"15,985.00"
20382,PRVU,2015-09-29,406.0,415.0,409.0,415.0,"10,714.00"
20404,PRVU,2015-09-30,415.0,430.0,410.0,415.0,"12,782.00"
25132,PRVU,2016-10-04,399.0,438.0,406.0,438.0,"5,050.00"
26586,PRVU,2017-01-15,438.0,430.0,395.0,395.0,"2,320.00"
26611,PRVU,2017-01-16,395.0,388.0,356.0,356.0,"12,265.00"
26636,PRVU,2017-01-17,356.0,360.0,331.0,344.0,"203,761.00"
26661,PRVU,2017-01-18,344.0,355.0,345.0,347.0,"104,527.00"
26686,PRVU,2017-01-19,347.0,351.0,345.0,345.0,"61,707.00"
26710,PRVU,2017-01-22,345.0,346.0,340.0,340.0,"40,325.00"
26734,PRVU,2017-01-23,340.0,344.0,328.0,330.0,"76,861.00"
26758,PRVU,2017-01-24,330.0,335.0,316.0,319.0,"99,838.00"
26782,PRVU,2017-01-25,319.0,315.0,300.0,309.0,"61,703.00"
26806,PRVU,2017-01-26,309.0,314.0,297.0,306.0,"103,153.00"
26830,PRVU,2017-01-30,306.0,312.0,291.0,291.0,"82,391.00"
26854,PRVU,2017-01-31,291.0,305.0,281.0,299.0,"77,906.00"
26878,PRVU,2017-02-01,299.0,318.0,300.0,318.0,"72,030.00"
26902,PRVU,2017-02-02,318.0,330.0,308.0,314.0,"94,581.00"
26926,PRVU,2017-02-05,314.0,310.0,300.0,306.0,"52,132.00"
26950,PRVU,2017-02-06,306.0,308.0,300.0,301.0,"44,870.00"
26974,PRVU,2017-02-07,301.0,306.0,298.0,300.0,"73,634.00"
26998,PRVU,2017-02-08,300.0,305.0,294.0,297.0,"84,502.00"
27022,PRVU,2017-02-09,297.0,300.0,295.0,297.0,"110,428.00"
27046,PRVU,2017-02-12,297.0,299.0,285.0,286.0,"87,546.00"
27070,PRVU,2017-02-13,286.0,300.0,281.0,297.0,"70,157.00"
27094,PRVU,2017-02-14,297.0,301.0,290.0,300.0,"91,776.00"
27118,PRVU,2017-02-15,300.0,309.0,297.0,306.0,"77,091.00"
27142,PRVU,2017-02-16,306.0,317.0,305.0,310.0,"106,498.00"
27166,PRVU,2017-02-19,310.0,317.0,307.0,315.0,"82,819.00"
27190,PRVU,2017-02-20,315.0,325.0,310.0,315.0,"85,791.00"
27214,PRVU,2017-02-21,315.0,327.0,311.0,315.0,"60,335.00"
27238,PRVU,2017-02-22,315.0,316.0,307.0,311.0,"37,129.00"
27262,PRVU,2017-02-23,311.0,314.0,308.0,310.0,"32,289.00"
27286,PRVU,2017-02-26,310.0,312.0,306.0,308.0,"16,542.00"
27310,PRVU,2017-02-28,308.0,309.0,300.0,305.0,"31,507.00"
27334,PRVU,2017-03-01,305.0,308.0,305.0,308.0,"16,689.00"
27358,PRVU,2017-03-02,308.0,310.0,306.0,309.0,"17,311.00"
27382,PRVU,2017-03-05,309.0,315.0,308.0,309.0,"43,334.00"
27406,PRVU,2017-03-06,309.0,317.0,310.0,314.0,"52,818.00"
27431,PRVU,2017-03-07,314.0,312.0,303.0,307.0,"17,251.00"
27456,PRVU,2017-03-09,307.0,311.0,305.0,308.0,"34,434.00"
27481,PRVU,2017-03-13,308.0,313.0,307.0,307.0,"21,332.00"
27506,PRVU,2017-03-14,307.0,313.0,306.0,307.0,"21,465.00"
27531,PRVU,2017-03-15,307.0,312.0,304.0,310.0,"10,706.00"
27556,PRVU,2017-03-16,310.0,313.0,308.0,310.0,"28,852.00"
27581,PRVU,2017-03-19,310.0,321.0,310.0,320.0,"51,135.00"
27606,PRVU,2017-03-20,320.0,335.0,314.0,335.0,"347,309.00"
27631,PRVU,2017-03-21,335.0,347.0,322.0,341.0,"79,880.00"
27656,PRVU,2017-03-22,341.0,359.0,335.0,344.0,"119,863.00"
27681,PRVU,2017-03-23,344.0,348.0,335.0,345.0,"68,352.00"
27706,PRVU,2017-03-26,345.0,375.0,351.0,370.0,"107,957.00"
27731,PRVU,2017-03-28,370.0,400.0,372.0,398.0,"128,326.00"
27756,PRVU,2017-03-29,398.0,413.0,384.0,388.0,"160,475.00"
27781,PRVU,2017-03-30,388.0,400.0,375.0,386.0,"93,263.00"
27803,PRVU,2017-04-02,386.0,424.0,392.0,424.0,"93,223.00"
27827,PRVU,2017-04-03,424.0,440.0,405.0,408.0,"160,931.00"
27852,PRVU,2017-04-04,408.0,418.0,390.0,404.0,"131,554.00"
27877,PRVU,2017-04-06,404.0,417.0,400.0,412.0,"75,831.00"
27902,PRVU,2017-04-09,412.0,424.0,410.0,415.0,"119,447.00"
27927,PRVU,2017-04-10,415.0,420.0,412.0,417.0,"95,667.00"
27952,PRVU,2017-04-11,417.0,430.0,415.0,430.0,"188,004.00"
27977,PRVU,2017-04-12,430.0,445.0,428.0,430.0,"188,380.00"
28002,PRVU,2017-04-13,430.0,439.0,416.0,429.0,"105,586.00"
28027,PRVU,2017-04-16,429.0,435.0,411.0,415.0,"82,866.00"
28052,PRVU,2017-04-18,415.0,417.0,400.0,409.0,"93,996.00"
28077,PRVU,2017-04-19,409.0,428.0,406.0,426.0,"71,030.00"
28102,PRVU,2017-04-20,426.0,440.0,426.0,430.0,"184,776.00"
28127,PRVU,2017-04-23,430.0,460.0,438.0,442.0,"171,131.00"
28152,PRVU,2017-04-24,442.0,450.0,433.0,435.0,"90,060.00"
28177,PRVU,2017-04-25,435.0,440.0,427.0,431.0,"111,712.00"
28202,PRVU,2017-04-26,431.0,437.0,425.0,430.0,"76,451.00"
28227,PRVU,2017-04-27,430.0,437.0,423.0,433.0,"97,827.00"
28253,PRVU,2017-04-30,433.0,441.0,421.0,425.0,"50,916.00"
28278,PRVU,2017-05-02,425.0,432.0,417.0,427.0,"53,112.00"
28303,PRVU,2017-05-03,427.0,436.0,424.0,425.0,"56,402.00"
28328,PRVU,2017-05-04,425.0,431.0,420.0,424.0,"95,625.00"
28353,PRVU,2017-05-07,424.0,428.0,415.0,416.0,"60,729.00"
28378,PRVU,2017-05-08,416.0,422.0,413.0,420.0,"31,734.00"
28403,PRVU,2017-05-09,420.0,422.0,415.0,421.0,"61,773.00"
28428,PRVU,2017-05-11,421.0,427.0,420.0,425.0,"48,861.00"
28453,PRVU,2017-05-15,425.0,435.0,418.0,427.0,"25,016.00"
28478,PRVU,2017-05-16,427.0,425.0,418.0,423.0,"35,079.00"
28503,PRVU,2017-05-17,423.0,427.0,418.0,419.0,"28,466.00"
28528,PRVU,2017-05-18,419.0,421.0,415.0,419.0,"28,637.00"
28553,PRVU,2017-05-21,419.0,425.0,413.0,415.0,"33,530.00"
28578,PRVU,2017-05-22,415.0,415.0,405.0,410.0,"41,474.00"
28603,PRVU,2017-05-23,410.0,418.0,409.0,414.0,"47,752.00"
28628,PRVU,2017-05-24,414.0,419.0,412.0,417.0,"41,570.00"
28653,PRVU,2017-05-28,417.0,417.0,411.0,413.0,"32,594.00"
28678,PRVU,2017-05-30,413.0,417.0,409.0,414.0,"85,599.00"
28702,PRVU,2017-05-31,414.0,418.0,408.0,410.0,"53,308.00"
28726,PRVU,2017-06-01,410.0,418.0,411.0,415.0,"30,918.00"
28750,PRVU,2017-06-04,415.0,415.0,409.0,410.0,"32,028.00"
28774,PRVU,2017-06-05,410.0,417.0,411.0,413.0,"29,263.00"
28798,PRVU,2017-06-06,413.0,421.0,415.0,420.0,"39,026.00"
28822,PRVU,2017-06-07,420.0,430.0,415.0,415.0,"32,051.00"
28846,PRVU,2017-06-08,415.0,417.0,411.0,414.0,"26,701.00"
28870,PRVU,2017-06-11,414.0,416.0,404.0,407.0,"34,482.00"
28894,PRVU,2017-06-12,407.0,410.0,400.0,406.0,"26,234.00"
28918,PRVU,2017-06-13,406.0,411.0,403.0,408.0,"21,591.00"
28942,PRVU,2017-06-14,408.0,410.0,403.0,406.0,"24,174.00"
28966,PRVU,2017-06-15,406.0,414.0,401.0,404.0,"35,098.00"
28991,PRVU,2017-06-18,404.0,405.0,396.0,402.0,"57,026.00"
29015,PRVU,2017-06-19,402.0,402.0,394.0,394.0,"20,819.00"
29040,PRVU,2017-06-20,394.0,398.0,389.0,398.0,"39,656.00"
29065,PRVU,2017-06-21,398.0,403.0,394.0,398.0,"14,798.00"
29090,PRVU,2017-06-22,398.0,403.0,399.0,400.0,"27,917.00"
29115,PRVU,2017-06-25,400.0,405.0,396.0,400.0,"33,115.00"
29140,PRVU,2017-06-27,400.0,402.0,395.0,400.0,"21,352.00"
29165,PRVU,2017-06-28,400.0,402.0,396.0,399.0,"14,065.00"
29190,PRVU,2017-07-02,399.0,400.0,388.0,393.0,"25,315.00"
29215,PRVU,2017-07-03,393.0,400.0,391.0,395.0,"17,798.00"
29240,PRVU,2017-07-04,395.0,397.0,390.0,390.0,"26,703.00"
29265,PRVU,2017-07-05,390.0,400.0,390.0,400.0,"20,010.00"
29290,PRVU,2017-07-06,400.0,405.0,399.0,402.0,"28,988.00"
29315,PRVU,2017-07-09,402.0,418.0,396.0,410.0,"54,555.00"
29340,PRVU,2017-07-10,410.0,409.0,401.0,401.0,"20,882.00"
29365,PRVU,2017-07-11,401.0,407.0,399.0,407.0,"9,267.00"
29390,PRVU,2017-07-12,407.0,411.0,404.0,410.0,"45,685.00"
29415,PRVU,2017-07-13,410.0,410.0,405.0,406.0,"14,448.00"
29440,PRVU,2017-07-16,406.0,409.0,405.0,406.0,"12,059.00"
29465,PRVU,2017-07-17,406.0,411.0,405.0,410.0,"22,881.00"
29490,PRVU,2017-07-18,410.0,418.0,406.0,413.0,"27,940.00"
29515,PRVU,2017-07-19,413.0,417.0,410.0,411.0,"31,640.00"
29540,PRVU,2017-07-20,411.0,412.0,402.0,404.0,"44,658.00"
29565,PRVU,2017-07-23,404.0,411.0,400.0,404.0,"26,471.00"
29590,PRVU,2017-07-24,404.0,406.0,398.0,399.0,"33,649.00"
29615,PRVU,2017-07-25,399.0,403.0,397.0,399.0,"27,551.00"
29640,PRVU,2017-07-26,399.0,402.0,395.0,399.0,"22,853.00"
29665,PRVU,2017-07-27,399.0,405.0,395.0,400.0,"27,102.00"
29690,PRVU,2017-07-30,400.0,403.0,394.0,399.0,"22,329.00"
29715,PRVU,2017-07-31,399.0,404.0,398.0,398.0,"16,971.00"
29740,PRVU,2017-08-01,398.0,404.0,395.0,401.0,"82,293.00"
29765,PRVU,2017-08-02,401.0,404.0,400.0,401.0,"32,162.00"
29790,PRVU,2017-08-03,401.0,405.0,393.0,397.0,"47,330.00"
29815,PRVU,2017-08-06,397.0,409.0,398.0,400.0,"48,551.00"
29840,PRVU,2017-08-07,400.0,401.0,397.0,400.0,"58,519.00"
29865,PRVU,2017-08-09,400.0,404.0,398.0,400.0,"21,527.00"
29890,PRVU,2017-08-10,400.0,400.0,396.0,397.0,"22,440.00"
29915,PRVU,2017-08-13,397.0,402.0,395.0,397.0,"29,321.00"
29940,PRVU,2017-08-15,397.0,397.0,390.0,392.0,"21,309.00"
29965,PRVU,2017-08-16,392.0,399.0,392.0,395.0,"21,526.00"
29990,PRVU,2017-08-17,395.0,400.0,392.0,395.0,"18,959.00"
30015,PRVU,2017-08-20,395.0,400.0,390.0,392.0,"20,905.00"
30040,PRVU,2017-08-21,392.0,393.0,385.0,385.0,"23,527.00"
30065,PRVU,2017-08-22,385.0,390.0,384.0,386.0,"20,417.00"
30090,PRVU,2017-08-23,386.0,391.0,386.0,390.0,"13,706.00"
30115,PRVU,2017-08-24,390.0,392.0,385.0,390.0,"27,786.00"
30140,PRVU,2017-08-27,390.0,397.0,389.0,391.0,"21,318.00"
30165,PRVU,2017-08-28,391.0,398.0,382.0,383.0,"28,991.00"
30190,PRVU,2017-08-30,383.0,384.0,376.0,380.0,"31,329.00"
30215,PRVU,2017-08-31,380.0,382.0,374.0,375.0,"26,774.00"
30240,PRVU,2017-09-04,375.0,385.0,370.0,372.0,"27,778.00"
30265,PRVU,2017-09-06,372.0,379.0,365.0,370.0,"21,844.00"
30290,PRVU,2017-09-07,370.0,378.0,360.0,361.0,"12,651.00"
30315,PRVU,2017-09-10,361.0,367.0,352.0,353.0,"29,778.00"
30340,PRVU,2017-09-11,353.0,360.0,350.0,360.0,"29,717.00"
30365,PRVU,2017-09-12,360.0,361.0,348.0,355.0,"24,245.00"
30390,PRVU,2017-09-13,355.0,357.0,347.0,350.0,"27,337.00"
30415,PRVU,2017-09-14,350.0,364.0,350.0,364.0,"15,802.00"
30440,PRVU,2017-09-17,364.0,376.0,366.0,376.0,"32,885.00"
30465,PRVU,2017-09-18,376.0,380.0,372.0,372.0,"11,857.00"
30490,PRVU,2017-09-20,372.0,377.0,366.0,370.0,"16,906.00"
30515,PRVU,2017-09-24,370.0,376.0,369.0,370.0,"14,961.00"
30540,PRVU,2017-09-25,370.0,384.0,370.0,379.0,"9,616.00"
30565,PRVU,2017-09-26,379.0,390.0,380.0,385.0,"5,625.00"
30590,PRVU,2017-10-03,385.0,392.0,380.0,383.0,"1,964.00"
30615,PRVU,2017-10-04,383.0,382.0,375.0,377.0,"4,926.00"
30640,PRVU,2017-10-08,377.0,370.0,358.0,367.0,"14,716.00"
30665,PRVU,2017-10-09,367.0,367.0,355.0,363.0,"9,837.00"
