,Symbol,Date,Open,High,Low,Close,Vol
3193,SANIMA,2012-02-27,0.0,254.0,254.0,254.0,10.00
3223,SANIMA,2012-02-29,254.0,249.0,245.0,245.0,"2,224.00"
3286,SANIMA,2012-03-06,245.0,241.0,225.0,225.0,50.00
3334,SANIMA,2012-03-13,225.0,221.0,209.0,209.0,40.00
3350,SANIMA,2012-03-14,209.0,205.0,189.0,189.0,60.00
3366,SANIMA,2012-03-15,189.0,186.0,171.0,171.0,60.00
3383,SANIMA,2012-03-18,171.0,168.0,154.0,154.0,79.00
3399,SANIMA,2012-03-19,154.0,151.0,139.0,139.0,82.00
3416,SANIMA,2012-03-20,139.0,137.0,126.0,130.0,"62,910.00"
3432,SANIMA,2012-03-21,130.0,131.0,126.0,131.0,"19,823.00"
3449,SANIMA,2012-03-25,131.0,131.0,129.0,131.0,"7,490.00"
3466,SANIMA,2012-03-26,131.0,133.0,130.0,132.0,"15,479.00"
3483,SANIMA,2012-03-27,132.0,134.0,131.0,134.0,"12,407.00"
3499,SANIMA,2012-03-28,134.0,139.0,133.0,137.0,"13,523.00"
3514,SANIMA,2012-03-29,137.0,138.0,135.0,135.0,"10,263.00"
3531,SANIMA,2012-04-01,135.0,138.0,134.0,136.0,"10,278.00"
3548,SANIMA,2012-04-02,136.0,139.0,136.0,139.0,"9,248.00"
3565,SANIMA,2012-04-03,139.0,145.0,139.0,144.0,"2,732.00"
3581,SANIMA,2012-04-04,144.0,142.0,140.0,142.0,"2,269.00"
3596,SANIMA,2012-04-05,142.0,144.0,141.0,144.0,"2,037.00"
3612,SANIMA,2012-04-08,144.0,144.0,140.0,140.0,"3,641.00"
3629,SANIMA,2012-04-09,140.0,142.0,140.0,141.0,"2,302.00"
3646,SANIMA,2012-04-10,141.0,146.0,140.0,146.0,"4,696.00"
3663,SANIMA,2012-04-11,146.0,150.0,140.0,146.0,"11,950.00"
3680,SANIMA,2012-04-12,146.0,160.0,148.0,160.0,"12,740.00"
3697,SANIMA,2012-04-15,160.0,176.0,163.0,176.0,"6,574.00"
3713,SANIMA,2012-04-16,176.0,191.0,179.0,191.0,"8,164.00"
3729,SANIMA,2012-04-17,191.0,210.0,181.0,181.0,"9,132.00"
3746,SANIMA,2012-04-18,181.0,195.0,165.0,190.0,"19,469.00"
3763,SANIMA,2012-04-19,190.0,209.0,193.0,202.0,"31,297.00"
3780,SANIMA,2012-04-22,202.0,222.0,202.0,222.0,"28,005.00"
3797,SANIMA,2012-04-24,222.0,242.0,226.0,242.0,"6,186.00"
3813,SANIMA,2012-04-25,242.0,266.0,246.0,266.0,"5,101.00"
3830,SANIMA,2012-04-26,266.0,292.0,242.0,292.0,"50,478.00"
3847,SANIMA,2012-04-29,292.0,298.0,270.0,285.0,"38,288.00"
3862,SANIMA,2012-04-30,285.0,285.0,265.0,265.0,"6,881.00"
3876,SANIMA,2012-05-02,265.0,260.0,245.0,245.0,593.00
3892,SANIMA,2012-05-03,245.0,265.0,249.0,265.0,"11,940.00"
3908,SANIMA,2012-05-07,265.0,291.0,270.0,291.0,"10,796.00"
3925,SANIMA,2012-05-08,291.0,307.0,290.0,296.0,"38,625.00"
3942,SANIMA,2012-05-09,296.0,291.0,271.0,276.0,"25,046.00"
3958,SANIMA,2012-05-10,276.0,278.0,253.0,270.0,"15,507.00"
3974,SANIMA,2012-05-13,270.0,265.0,243.0,243.0,"18,779.00"
3991,SANIMA,2012-05-14,243.0,239.0,225.0,225.0,"7,920.00"
4007,SANIMA,2012-05-15,225.0,237.0,225.0,237.0,"21,588.00"
4020,SANIMA,2012-05-16,237.0,260.0,241.0,260.0,"1,519.00"
4037,SANIMA,2012-05-17,260.0,280.0,265.0,273.0,"28,384.00"
4054,SANIMA,2012-05-20,273.0,272.0,248.0,264.0,"6,948.00"
4071,SANIMA,2012-05-21,264.0,276.0,249.0,268.0,"16,475.00"
4088,SANIMA,2012-05-22,268.0,268.0,245.0,264.0,"7,398.00"
4103,SANIMA,2012-05-23,264.0,259.0,238.0,238.0,"9,377.00"
4120,SANIMA,2012-05-24,238.0,255.0,235.0,245.0,"28,346.00"
4137,SANIMA,2012-05-27,245.0,269.0,246.0,265.0,"12,866.00"
4161,SANIMA,2012-05-30,265.0,260.0,241.0,241.0,50.00
4173,SANIMA,2012-05-31,241.0,237.0,217.0,226.0,"9,726.00"
4188,SANIMA,2012-06-03,226.0,248.0,230.0,248.0,"10,550.00"
4205,SANIMA,2012-06-04,248.0,253.0,235.0,241.0,"10,165.00"
4222,SANIMA,2012-06-05,241.0,242.0,226.0,230.0,"4,701.00"
4239,SANIMA,2012-06-06,230.0,226.0,213.0,217.0,"7,159.00"
4256,SANIMA,2012-06-07,217.0,234.0,215.0,231.0,"6,698.00"
4272,SANIMA,2012-06-10,231.0,231.0,219.0,220.0,"1,075.00"
4288,SANIMA,2012-06-11,220.0,239.0,218.0,224.0,"12,237.00"
4305,SANIMA,2012-06-12,224.0,222.0,215.0,222.0,"9,497.00"
