,Symbol,Date,Open,High,Low,Close,Vol
11,SBI,2011-03-20,555.0,560.0,560.0,560.0,104.00
27,SBI,2011-03-24,570.0,565.0,560.0,561.0,640.00
43,SBI,2011-03-25,561.0,561.0,543.0,543.0,961.00
57,SBI,2011-03-27,543.0,540.0,535.0,535.0,245.00
72,SBI,2011-03-28,535.0,539.0,510.0,510.0,687.00
87,SBI,2011-03-29,510.0,510.0,491.0,491.0,311.00
101,SBI,2011-03-30,491.0,510.0,500.0,505.0,532.00
116,SBI,2011-03-31,505.0,530.0,505.0,530.0,318.00
132,SBI,2011-04-04,530.0,539.0,529.0,530.0,872.00
145,SBI,2011-04-05,530.0,534.0,530.0,530.0,207.00
159,SBI,2011-04-06,530.0,531.0,520.0,520.0,876.00
174,SBI,2011-04-07,520.0,531.0,521.0,531.0,20.00
190,SBI,2011-04-10,531.0,535.0,535.0,535.0,66.00
206,SBI,2011-04-11,535.0,531.0,526.0,527.0,500.00
219,SBI,2011-04-13,527.0,525.0,525.0,525.0,267.0
233,SBI,2011-04-17,525.0,540.0,530.0,535.0,156.00
246,SBI,2011-04-18,535.0,535.0,535.0,535.0,153.00
260,SBI,2011-04-19,535.0,536.0,535.0,535.0,73.00
273,SBI,2011-04-20,535.0,535.0,525.0,530.0,766.00
287,SBI,2011-04-21,530.0,525.0,505.0,509.0,981.00
300,SBI,2011-04-25,509.0,500.0,485.0,485.0,581.00
323,SBI,2011-04-27,485.0,499.0,490.0,499.0,255.00
338,SBI,2011-04-28,499.0,501.0,482.0,485.0,840.00
351,SBI,2011-05-02,485.0,480.0,478.0,478.0,134.00
363,SBI,2011-05-03,478.0,495.0,475.0,486.0,613.00
377,SBI,2011-05-04,486.0,495.0,486.0,495.0,211.00
391,SBI,2011-05-05,495.0,502.0,488.0,488.0,838.00
405,SBI,2011-05-08,488.0,490.0,480.0,480.0,"1,262.00"
419,SBI,2011-05-09,480.0,489.0,489.0,489.0,86.00
