,Symbol,Date,Open,High,Low,Close,Vol
13,SCB,2011-03-20,,,,,34.00
29,SCB,2011-03-24,,,,,"1,140.00"
45,SCB,2011-03-25,,,,,"1,252.00"
59,SCB,2011-03-27,,,,,157.00
74,SCB,2011-03-28,,,,,270.00
89,SCB,2011-03-29,,,,,"1,150.00"
103,SCB,2011-03-30,,,,,743.00
118,SCB,2011-03-31,,,,,"1,040.00"
134,SCB,2011-04-04,,,,,504.00
147,SCB,2011-04-05,,,,,969.00
161,SCB,2011-04-06,,,,,328.00
176,SCB,2011-04-07,,,,,263.00
192,SCB,2011-04-10,,,,,325.00
208,SCB,2011-04-11,,,,,"1,891.00"
221,SCB,2011-04-13,,,,,233.0
235,SCB,2011-04-17,,,,,284.00
247,SCB,2011-04-18,,,,,274.00
261,SCB,2011-04-19,,,,,"1,588.00"
275,SCB,2011-04-20,,,,,747.00
289,SCB,2011-04-21,,,,,707.00
301,SCB,2011-04-25,,,,,170.00
310,SCB,2011-04-26,,,,,25.0
325,SCB,2011-04-27,,,,,935.00
340,SCB,2011-04-28,,,,,467.00
353,SCB,2011-05-02,,,,,856.00
365,SCB,2011-05-03,,,,,743.00
379,SCB,2011-05-04,,,,,"1,867.00"
393,SCB,2011-05-05,,,,,"1,143.00"
407,SCB,2011-05-08,,,,,886.00
435,SCB,2011-05-10,,,,,359.00
448,SCB,2011-05-11,,,,,396.00
462,SCB,2011-05-12,,,,,389.00
475,SCB,2011-05-15,,,,,828.00
491,SCB,2011-05-16,,,,,442.00
507,SCB,2011-05-18,,,,,"1,111.00"
522,SCB,2011-05-19,,,,,"1,424.00"
536,SCB,2011-05-22,,,,,208.00
552,SCB,2011-05-23,,,,,795.00
565,SCB,2011-05-24,,,,,"1,151.00"
580,SCB,2011-05-25,,,,,308.00
594,SCB,2011-05-26,,,,,842.00
608,SCB,2011-05-30,,,,,"1,415.00"
624,SCB,2011-05-31,,,,,"1,244.00"
641,SCB,2011-06-01,,,,,388.00
656,SCB,2011-06-02,,,,,"1,379.00"
671,SCB,2011-06-05,,,,,"3,508.00"
686,SCB,2011-06-06,,,,,"1,182.00"
701,SCB,2011-06-07,,,,,420.00
717,SCB,2011-06-08,,,,,"1,764.00"
733,SCB,2011-06-09,,,,,"2,003.00"
747,SCB,2011-06-12,,,,,"1,468.00"
762,SCB,2011-06-13,,,,,"1,453.00"
777,SCB,2011-06-14,,,,,"1,120.00"
792,SCB,2011-06-15,,,,,"1,151.00"
808,SCB,2011-06-16,,,,,"1,596.00"
823,SCB,2011-06-19,,,,,"2,217.00"
838,SCB,2011-06-20,,,,,"2,217.00"
853,SCB,2011-06-21,,,,,"4,412.00"
870,SCB,2011-06-23,,,,,"6,599.00"
886,SCB,2011-06-26,,,,,"4,486.00"
899,SCB,2011-06-27,,,,,"1,941.00"
916,SCB,2011-06-29,,,,,506.00
931,SCB,2011-06-30,,,,,"1,381.00"
946,SCB,2011-07-03,,,,,573.00
962,SCB,2011-07-04,,,,,"1,354.00"
978,SCB,2011-07-05,,,,,"3,419.00"
994,SCB,2011-07-06,,,,,"1,721.00"
1008,SCB,2011-07-07,,,,,"1,477.00"
1024,SCB,2011-07-10,,,,,"1,426.00"
1040,SCB,2011-07-11,,,,,"1,019.00"
1056,SCB,2011-07-12,,,,,"1,431.00"
1072,SCB,2011-07-13,,,,,973.00
1088,SCB,2011-07-14,,,,,999.00
1102,SCB,2011-07-17,,,,,655.00
1119,SCB,2011-07-18,,,,,"1,273.00"
1136,SCB,2011-07-19,,,,,"1,716.00"
1153,SCB,2011-07-20,,,,,"2,432.00"
1170,SCB,2011-07-21,,,,,"1,729.00"
1186,SCB,2011-07-24,,,,,883.00
1201,SCB,2011-07-25,,,,,427.00
1217,SCB,2011-07-26,,,,,"1,638.00"
1234,SCB,2011-07-27,,,,,854.00
1251,SCB,2011-07-28,,,,,569.00
1267,SCB,2011-07-31,,,,,331.00
1283,SCB,2011-08-01,,,,,429.00
1300,SCB,2011-08-02,,,,,540.00
1317,SCB,2011-08-03,,,,,435.00
1334,SCB,2011-08-04,,,,,585.00
1348,SCB,2011-08-07,,,,,30.00
1363,SCB,2011-08-08,,,,,121.00
1380,SCB,2011-08-09,,,,,"1,468.00"
1397,SCB,2011-08-10,,,,,312.00
1414,SCB,2011-08-11,,,,,"1,013.00"
1431,SCB,2011-08-15,,,,,"1,356.00"
1446,SCB,2011-08-16,,,,,395.00
1462,SCB,2011-08-17,,,,,"1,746.00"
1479,SCB,2011-08-18,,,,,"1,061.00"
1494,SCB,2011-08-22,,,,,404.00
1510,SCB,2011-08-23,,,,,586.00
1525,SCB,2011-08-24,,,,,263.00
1541,SCB,2011-08-25,,,,,618.00
1558,SCB,2011-08-28,,,,,"3,311.00"
1574,SCB,2011-08-29,,,,,687.00
1591,SCB,2011-08-30,,,,,"1,331.00"
1606,SCB,2011-09-01,,,,,"1,761.00"
1622,SCB,2011-09-04,,,,,653.00
1637,SCB,2011-09-05,,,,,"1,579.00"
1651,SCB,2011-09-06,,,,,"1,371.00"
1666,SCB,2011-09-07,,,,,"1,132.00"
1680,SCB,2011-09-08,,,,,670.00
1697,SCB,2011-09-12,,,,,724.00
1714,SCB,2011-09-13,,,,,"1,317.00"
1731,SCB,2011-09-14,,,,,"3,561.00"
1746,SCB,2011-09-15,,,,,385.00
1762,SCB,2011-09-18,,,,,698.00
1775,SCB,2011-09-19,,,,,100.00
1792,SCB,2011-09-20,,,,,217.00
1808,SCB,2011-09-21,,,,,409.00
1825,SCB,2011-09-22,,,,,300.00
1842,SCB,2011-09-25,,,,,517.00
1859,SCB,2011-09-26,,,,,160.00
1876,SCB,2011-09-27,,,,,281.00
1891,SCB,2011-09-29,,,,,81.00
1904,SCB,2011-10-02,,,,,286.00
1912,SCB,2011-10-09,,,,,100.00
1938,SCB,2011-10-12,,,,,559.00
1954,SCB,2011-10-13,,,,,43.00
1969,SCB,2011-10-16,,,,,60.00
1984,SCB,2011-10-17,,,,,437.00
2000,SCB,2011-10-18,,,,,316.00
2016,SCB,2011-10-19,,,,,648.00
2032,SCB,2011-10-20,,,,,773.00
2047,SCB,2011-10-23,,,,,385.00
2061,SCB,2011-10-24,,,,,860.00
2077,SCB,2011-10-25,,,,,921.00
2089,SCB,2011-10-30,,,,,381.00
2104,SCB,2011-10-31,,,,,803.00
2119,SCB,2011-11-02,,,,,193.00
2136,SCB,2011-11-03,,,,,"1,320.00"
2151,SCB,2011-11-06,,,,,"1,381.00"
2167,SCB,2011-11-08,,,,,807.00
2183,SCB,2011-11-09,,,,,986.00
2199,SCB,2011-11-10,,,,,886.00
2215,SCB,2011-11-13,,,,,"2,180.00"
2232,SCB,2011-11-14,,,,,712.00
2246,SCB,2011-11-15,,,,,"2,514.00"
2261,SCB,2011-11-16,,,,,"1,415.00"
2278,SCB,2011-11-17,,,,,210.00
2295,SCB,2011-11-20,,,,,755.00
2312,SCB,2011-11-21,,,,,695.00
2328,SCB,2011-11-22,,,,,525.00
2343,SCB,2011-11-23,,,,,358.00
2358,SCB,2011-11-24,,,,,440.00
2374,SCB,2011-11-27,,,,,"1,269.00"
2387,SCB,2011-11-28,,,,,818.00
2404,SCB,2011-12-01,,,,,553.00
2419,SCB,2011-12-04,,,,,947.00
2435,SCB,2011-12-05,,,,,"1,078.00"
2448,SCB,2011-12-06,,,,,690.00
2463,SCB,2011-12-07,,,,,361.00
2477,SCB,2011-12-08,,,,,"1,752.00"
2493,SCB,2011-12-11,,,,,"1,841.00"
2506,SCB,2011-12-12,,,,,"1,126.00"
2520,SCB,2011-12-13,,,,,287.00
2532,SCB,2011-12-14,,,,,163.00
2546,SCB,2011-12-15,,,,,922.00
2556,SCB,2011-12-18,,,,,159.00
2569,SCB,2011-12-19,,,,,322.00
2584,SCB,2011-12-20,,,,,"1,033.00"
2597,SCB,2011-12-21,,,,,375.00
2612,SCB,2011-12-22,,,,,180.00
2627,SCB,2011-12-26,,,,,"1,002.00"
2643,SCB,2011-12-27,,,,,"1,470.00"
2659,SCB,2011-12-28,,,,,466.00
2675,SCB,2011-12-29,,,,,223.00
2690,SCB,2012-01-01,,,,,"1,155.00"
2706,SCB,2012-01-02,,,,,455.00
2722,SCB,2012-01-03,,,,,"1,351.00"
2738,SCB,2012-01-04,,,,,657.00
