,Symbol,Date,Open,High,Low,Close,Vol
14,SRBL,2011-03-20,197.0,207.0,195.0,199.0,665.00
30,SRBL,2011-03-24,198.0,195.0,188.0,188.0,460.00
46,SRBL,2011-03-25,188.0,190.0,183.0,184.0,"1,046.00"
60,SRBL,2011-03-27,184.0,184.0,167.0,171.0,"2,479.00"
75,SRBL,2011-03-28,171.0,176.0,154.0,158.0,"5,607.00"
90,SRBL,2011-03-29,158.0,158.0,151.0,155.0,"2,246.00"
104,SRBL,2011-03-30,155.0,162.0,150.0,158.0,"8,304.00"
119,SRBL,2011-03-31,158.0,165.0,156.0,161.0,"7,571.00"
177,SRBL,2011-04-07,161.0,154.0,147.0,150.0,672.00
193,SRBL,2011-04-10,150.0,147.0,144.0,144.0,561.00
209,SRBL,2011-04-11,144.0,155.0,145.0,145.0,"1,410.00"
222,SRBL,2011-04-13,145.0,147.0,141.0,143.0,666.0
236,SRBL,2011-04-17,143.0,142.0,138.0,138.0,285.00
248,SRBL,2011-04-18,138.0,142.0,138.0,138.0,522.00
262,SRBL,2011-04-19,138.0,137.0,135.0,137.0,772.00
276,SRBL,2011-04-20,137.0,148.0,136.0,148.0,445.00
290,SRBL,2011-04-21,148.0,146.0,134.0,134.0,"1,255.00"
302,SRBL,2011-04-25,134.0,136.0,134.0,134.0,36.00
311,SRBL,2011-04-26,134.0,132.0,128.0,128.0,39.0
326,SRBL,2011-04-27,128.0,132.0,130.0,132.0,352.00
341,SRBL,2011-04-28,132.0,131.0,130.0,130.0,780.00
354,SRBL,2011-05-02,130.0,136.0,132.0,136.0,"2,112.00"
366,SRBL,2011-05-03,136.0,136.0,132.0,132.0,221.00
380,SRBL,2011-05-04,132.0,131.0,128.0,128.0,234.00
394,SRBL,2011-05-05,128.0,137.0,128.0,133.0,"1,784.00"
408,SRBL,2011-05-08,133.0,135.0,132.0,135.0,870.00
421,SRBL,2011-05-09,135.0,135.0,133.0,134.0,"1,417.00"
436,SRBL,2011-05-10,134.0,140.0,135.0,140.0,"1,377.00"
449,SRBL,2011-05-11,140.0,142.0,137.0,137.0,686.00
463,SRBL,2011-05-12,137.0,137.0,131.0,133.0,"2,574.00"
476,SRBL,2011-05-15,133.0,136.0,131.0,136.0,"1,197.00"
492,SRBL,2011-05-16,136.0,137.0,131.0,135.0,"1,952.00"
508,SRBL,2011-05-18,135.0,134.0,131.0,134.0,"1,571.00"
523,SRBL,2011-05-19,134.0,138.0,135.0,135.0,"1,228.00"
537,SRBL,2011-05-22,135.0,134.0,131.0,134.0,"1,560.00"
553,SRBL,2011-05-23,134.0,137.0,128.0,129.0,"1,146.00"
566,SRBL,2011-05-24,129.0,133.0,130.0,133.0,319.00
581,SRBL,2011-05-25,133.0,135.0,129.0,133.0,868.00
595,SRBL,2011-05-26,133.0,133.0,131.0,133.0,395.00
609,SRBL,2011-05-30,133.0,137.0,131.0,131.0,"1,674.00"
625,SRBL,2011-05-31,131.0,135.0,128.0,132.0,"1,532.00"
642,SRBL,2011-06-01,132.0,130.0,127.0,127.0,"1,078.00"
657,SRBL,2011-06-02,127.0,127.0,122.0,123.0,"2,671.00"
672,SRBL,2011-06-05,123.0,128.0,123.0,128.0,"1,366.00"
687,SRBL,2011-06-06,128.0,126.0,121.0,121.0,632.00
702,SRBL,2011-06-07,121.0,119.0,114.0,117.0,908.00
718,SRBL,2011-06-08,117.0,120.0,116.0,118.0,"1,818.00"
734,SRBL,2011-06-09,118.0,122.0,116.0,120.0,"1,754.00"
748,SRBL,2011-06-12,120.0,122.0,118.0,119.0,"2,492.00"
763,SRBL,2011-06-13,119.0,124.0,120.0,121.0,823.00
778,SRBL,2011-06-14,121.0,120.0,116.0,116.0,221.00
793,SRBL,2011-06-15,116.0,115.0,112.0,115.0,"1,241.00"
809,SRBL,2011-06-16,115.0,119.0,113.0,119.0,"1,282.00"
824,SRBL,2011-06-19,119.0,127.0,119.0,127.0,"1,447.00"
