"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CBL","2015-01-01","273","278","270","273","0.00","13291"
"CBL","2015-01-04","273","279","268","278","1.83","44705"
"CBL","2015-01-05","278","282","272","282","1.44","101346"
"CBL","2015-01-06","264","275","259","265","0.38","12366"
"CBL","2015-01-07","265","272","261","269","1.51","8948"
"CBL","2015-01-08","269","276","271","272","1.12","11175"
"CBL","2015-01-11","272","273","267","267","-1.84","5161"
"CBL","2015-01-12","267","272","264","272","1.87","2851"
"CBL","2015-01-13","272","276","269","276","1.47","11553"
"CBL","2015-01-14","276","286","277","280","1.45","17478"
"CBL","2015-01-18","280","306","280","295","5.36","26474"
"CBL","2015-01-19","295","324","300","311","5.42","24911"
"CBL","2015-01-20","311","318","289","306","-1.61","25593"
"CBL","2015-01-22","306","310","296","300","-1.96","12781"
"CBL","2015-01-25","300","312","302","309","3.00","37740"
"CBL","2015-01-26","309","319","305","309","0.00","24053"
"CBL","2015-01-27","309","312","308","312","0.97","11219"
"CBL","2015-01-28","312","321","310","317","1.60","11923"
"CBL","2015-01-29","317","320","310","316","-0.32","18685"
"CBL","2015-02-01","316","320","311","314","-0.63","12247"
"CBL","2015-02-02","314","315","306","309","-1.59","13078"
"CBL","2015-02-03","309","313","301","307","-0.65","20197"
"CBL","2015-02-04","307","310","300","300","-2.28","20375"
"CBL","2015-02-05","300","304","296","300","0.00","16741"
"CBL","2015-02-08","300","305","300","304","1.33","13204"
"CBL","2015-02-09","304","304","300","300","-1.32","5339"
"CBL","2015-02-10","300","301","297","300","0.00","2118"
"CBL","2015-02-11","300","306","296","300","0.00","14401"
"CBL","2015-02-12","300","305","300","305","1.67","9957"
"CBL","2015-02-15","305","310","302","303","-0.66","13506"
"CBL","2015-02-16","303","306","300","300","-0.99","11158"
"CBL","2015-02-19","300","302","295","295","-1.67","6137"
"CBL","2015-02-22","295","299","295","296","0.34","2199"
"CBL","2015-02-23","296","297","291","294","-0.68","14906"
"CBL","2015-02-24","294","297","290","292","-0.68","9793"
"CBL","2015-02-25","292","297","294","295","1.03","5729"
"CBL","2015-03-01","303","303","297","299","-1.32","5078"
"CBL","2015-03-02","299","313","294","313","4.68","13148"
"CBL","2015-03-03","313","307","301","301","-3.83","3930"
"CBL","2015-03-04","301","307","300","303","0.66","7537"
"CBL","2015-03-09","303","312","300","305","0.66","3875"
"CBL","2015-03-10","305","303","300","300","-1.64","17442"
"CBL","2015-03-11","300","305","299","301","0.33","5783"
"CBL","2015-03-12","301","300","296","300","-0.33","6382"
"CBL","2015-03-15","300","296","293","295","-1.67","3461"
"CBL","2015-03-16","295","293","288","292","-1.02","4985"
"CBL","2015-03-17","292","294","288","290","-0.68","3268"
