"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"CCBL","2015-01-01","281","283","277","282","0.36","12928"
"CCBL","2015-01-04","282","290","280","290","2.84","13767"
"CCBL","2015-01-05","290","292","283","289","-0.34","15458"
"CCBL","2015-01-06","289","290","278","287","-0.69","6956"
"CCBL","2015-01-07","287","292","283","288","0.35","6863"
"CCBL","2015-01-08","288","291","285","285","-1.04","9130"
"CCBL","2015-01-11","285","292","285","288","1.05","14912"
"CCBL","2015-01-12","288","289","281","283","-1.74","12402"
"CCBL","2015-01-13","283","289","280","289","2.12","11691"
"CCBL","2015-01-14","289","292","286","290","0.35","17208"
"CCBL","2015-01-18","290","300","290","299","3.10","24144"
"CCBL","2015-01-19","299","322","303","313","4.68","19844"
"CCBL","2015-01-20","313","314","300","305","-2.56","21199"
"CCBL","2015-01-22","305","309","296","305","0.00","17790"
"CCBL","2015-01-25","305","326","300","326","6.89","36140"
"CCBL","2015-01-26","326","325","307","312","-4.29","26297"
"CCBL","2015-01-27","312","321","306","320","2.56","46258"
"CCBL","2015-01-28","320","332","320","328","2.50","30552"
"CCBL","2015-01-29","328","334","319","323","-1.52","37446"
"CCBL","2015-02-01","323","339","325","339","4.95","37727"
"CCBL","2015-02-02","339","350","327","349","2.95","62200"
"CCBL","2015-02-03","349","362","342","344","-1.43","82179"
"CCBL","2015-02-04","344","350","338","346","0.58","65130"
"CCBL","2015-02-05","346","350","338","338","-2.31","44460"
"CCBL","2015-02-08","338","343","336","340","0.59","47388"
"CCBL","2015-02-09","340","346","338","338","-0.59","61071"
"CCBL","2015-02-10","338","345","332","342","1.18","83207"
"CCBL","2015-02-11","323","328","318","328","1.55","803"
"CCBL","2015-02-12","328","328","321","321","-2.13","108"
"CCBL","2015-02-15","321","327","317","318","-0.93","2763"
"CCBL","2015-02-16","318","325","315","322","1.26","23422"
"CCBL","2015-02-19","322","325","322","322","0.00","2020"
"CCBL","2015-02-22","322","324","314","324","0.62","2851"
"CCBL","2015-02-23","324","320","316","318","-1.85","4757"
"CCBL","2015-02-24","318","325","318","325","2.20","3884"
"CCBL","2015-02-25","325","326","322","325","0.00","2519"
"CCBL","2015-02-26","325","325","325","325","0.00","1071"
"CCBL","2015-03-01","322","330","323","330","2.48","4209"
"CCBL","2015-03-02","330","325","317","325","-1.52","1650"
"CCBL","2015-03-03","325","327","319","325","0.00","2025"
"CCBL","2015-03-04","325","326","322","322","-0.92","727"
"CCBL","2015-03-09","322","336","322","327","1.55","5990"
"CCBL","2015-03-10","327","330","317","320","-2.14","8886"
"CCBL","2015-03-11","320","326","319","326","1.87","6070"
"CCBL","2015-03-12","326","325","320","324","-0.61","4865"
"CCBL","2015-03-15","324","327","318","319","-1.54","6479"
"CCBL","2015-03-16","319","320","317","320","0.31","2213"
"CCBL","2015-03-17","320","322","317","318","-0.62","10138"
"CCBL","2015-03-18","318","320","315","315","-0.94","9896"
"CCBL","2015-03-19","315","320","316","319","1.27","12417"
"CCBL","2015-03-22","319","324","317","318","-0.31","9710"
"CCBL","2015-03-23","318","316","312","314","-1.26","9461"
"CCBL","2015-03-24","314","317","310","314","0.00","1156"
"CCBL","2015-03-25","314","314","308","308","-1.91","4594"
"CCBL","2015-03-26","308","308","303","306","-0.65","5529"
"CCBL","2015-03-29","306","307","301","307","0.33","3116"
"CCBL","2015-03-30","307","307","302","307","0.00","5131"
"CCBL","2015-03-31","307","315","301","307","0.00","9200"
"CCBL","2015-04-01","307","312","303","312","1.63","8199"
"CCBL","2015-04-02","312","315","308","310","-0.64","1464"
"CCBL","2015-04-05","310","316","305","312","0.65","3039"
"CCBL","2015-04-06","312","312","308","310","-0.64","1912"
"CCBL","2015-04-07","310","318","308","318","2.58","3282"
"CCBL","2015-04-08","318","320","310","311","-2.20","1726"
"CCBL","2015-04-09","311","315","309","313","0.64","4168"
"CCBL","2015-04-12","313","315","313","313","0.00","6661"
"CCBL","2015-04-13","313","314","310","314","0.32","2319"
"CCBL","2015-04-15","314","311","309","310","-1.27","5064"
"CCBL","2015-04-16","310","314","310","312","0.65","3691"
"CCBL","2015-04-19","312","316","309","310","-0.64","2923"
"CCBL","2015-04-20","310","315","307","308","-0.65","4740"
"CCBL","2015-04-21","308","315","310","315","2.27","10811"
"CCBL","2015-04-22","315","310","307","310","-1.59","1596"
"CCBL","2015-04-23","310","316","307","313","0.97","10229"
"CCBL","2015-05-24","313","307","307","307","-1.92","50"
"CCBL","2015-05-25","307","301","277","277","-9.77","100"
"CCBL","2015-05-26","277","285","258","260","-6.14","12872"
"CCBL","2015-05-27","260","261","252","252","-3.08","9719"
"CCBL","2015-05-28","252","277","250","268","6.35","17075"
"CCBL","2015-05-31","268","285","273","277","3.36","12752"
"CCBL","2015-06-01","277","291","280","288","3.97","15788"
"CCBL","2015-06-02","288","294","283","291","1.04","19856"
"CCBL","2015-06-03","291","310","292","301","3.44","14534"
"CCBL","2015-06-04","301","307","295","303","0.66","19332"
"CCBL","2015-06-07","303","314","303","312","2.97","28210"
"CCBL","2015-06-08","312","326","315","321","2.88","29176"
"CCBL","2015-06-09","321","343","316","323","0.62","47054"
"CCBL","2015-06-10","323","328","315","321","-0.62","12043"
"CCBL","2015-06-11","321","321","309","319","-0.62","11591"
"CCBL","2015-06-14","319","319","310","315","-1.25","8728"
