"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HBL","2015-01-01","765","770","760","760","-0.65","1480"
"HBL","2015-01-04","760","805","768","805","5.92","1146"
"HBL","2015-01-05","805","835","806","815","1.24","4423"
"HBL","2015-01-06","815","816","800","805","-1.23","3183"
"HBL","2015-01-07","805","811","805","805","0.00","884"
"HBL","2015-01-08","805","815","807","815","1.24","409"
"HBL","2015-01-11","815","825","800","815","0.00","732"
"HBL","2015-01-12","815","828","801","828","1.60","1378"
"HBL","2015-01-13","828","830","810","830","0.24","1517"
"HBL","2015-01-14","830","826","825","826","-0.48","361"
"HBL","2015-01-18","826","858","840","858","3.87","756"
"HBL","2015-01-19","858","875","858","873","1.75","3850"
"HBL","2015-01-20","873","905","856","870","-0.34","7171"
"HBL","2015-01-22","870","903","851","903","3.79","6364"
"HBL","2015-01-25","903","954","920","945","4.65","15371"
"HBL","2015-01-26","945","982","942","946","0.11","1906"
"HBL","2015-01-27","946","970","927","968","2.33","10958"
"HBL","2015-01-28","968","974","955","971","0.31","4157"
"HBL","2015-01-29","971","990","948","965","-0.62","2332"
"HBL","2015-02-01","965","964","951","951","-1.45","247"
"HBL","2015-02-02","951","933","926","926","-2.63","721"
"HBL","2015-02-03","926","950","926","942","1.73","1752"
"HBL","2015-02-04","942","944","935","944","0.21","923"
"HBL","2015-02-05","944","926","920","920","-2.54","551"
"HBL","2015-02-08","920","928","900","928","0.87","4161"
"HBL","2015-02-09","928","918","900","918","-1.08","2519"
"HBL","2015-02-10","918","935","900","935","1.85","1499"
"HBL","2015-02-11","935","945","920","945","1.07","596"
"HBL","2015-02-12","945","951","930","951","0.63","3908"
"HBL","2015-02-15","951","952","949","949","-0.21","391"
"HBL","2015-02-16","949","935","906","906","-4.53","1106"
"HBL","2015-02-19","906","910","900","910","0.44","1127"
"HBL","2015-02-22","910","906","880","906","-0.44","1726"
"HBL","2015-02-23","906","906","899","900","-0.66","3205"
"HBL","2015-02-24","900","901","895","895","-0.56","339"
"HBL","2015-02-25","895","900","885","885","-1.12","1282"
"HBL","2015-03-01","885","880","877","880","-0.56","833"
"HBL","2015-03-02","880","904","870","888","0.91","868"
"HBL","2015-03-03","888","905","900","905","1.91","572"
"HBL","2015-03-04","905","933","900","933","3.09","759"
"HBL","2015-03-09","933","935","900","900","-3.54","1398"
"HBL","2015-03-10","900","900","890","900","0.00","262"
"HBL","2015-03-11","900","905","905","905","0.56","25"
"HBL","2015-03-12","905","901","866","880","-2.76","660"
"HBL","2015-03-16","880","871","859","871","-1.02","5589"
"HBL","2015-03-17","871","905","888","905","3.90","71"
"HBL","2015-03-18","905","912","887","912","0.77","65"
"HBL","2015-03-19","912","912","878","890","-2.41","1458"
"HBL","2015-03-22","890","892","875","892","0.22","2004"
"HBL","2015-03-23","892","892","865","865","-3.03","2735"
"HBL","2015-03-24","865","877","860","860","-0.58","3617"
"HBL","2015-03-25","860","860","858","858","-0.23","1085"
"HBL","2015-03-26","858","859","850","853","-0.58","327"
"HBL","2015-03-29","853","844","833","833","-2.34","4665"
"HBL","2015-03-30","833","836","825","836","0.36","1561"
"HBL","2015-03-31","836","841","837","841","0.60","1153"
"HBL","2015-04-01","841","845","828","830","-1.31","2434"
"HBL","2015-04-02","830","855","831","855","3.01","1154"
"HBL","2015-04-05","855","841","838","838","-1.99","400"
"HBL","2015-04-06","838","841","825","841","0.36","1173"
"HBL","2015-04-07","841","853","853","853","1.43","24"
"HBL","2015-04-08","853","845","830","830","-2.70","1672"
"HBL","2015-04-09","830","851","828","840","1.20","1717"
"HBL","2015-04-12","840","856","839","839","-0.12","165"
"HBL","2015-04-13","839","845","832","835","-0.48","2007"
"HBL","2015-04-15","835","835","825","835","0.00","63"
"HBL","2015-04-16","835","867","830","867","3.83","831"
"HBL","2015-04-19","867","860","860","860","-0.81","200"
"HBL","2015-04-20","860","845","827","827","-3.84","1423"
"HBL","2015-04-21","827","850","827","828","0.12","1042"
"HBL","2015-04-22","828","821","820","821","-0.85","219"
"HBL","2015-04-23","838","838","822","830","-0.95","974"
"HBL","2015-05-26","830","814","747","747","-10.00","381"
"HBL","2015-05-27","747","733","733","733","-1.87","20"
"HBL","2015-05-28","733","729","705","718","-2.05","1462"
"HBL","2015-05-31","718","750","732","736","2.51","1627"
"HBL","2015-06-01","736","780","745","750","1.90","1727"
"HBL","2015-06-02","750","763","740","763","1.73","2750"
