"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"KBL","2015-01-01","365","385","370","384","5.21","2293"
"KBL","2015-01-04","384","390","380","387","0.78","2132"
"KBL","2015-01-05","387","396","380","388","0.26","6772"
"KBL","2015-01-06","388","383","375","378","-2.58","6412"
"KBL","2015-01-07","378","385","371","373","-1.32","4210"
"KBL","2015-01-08","373","388","377","377","1.07","2267"
"KBL","2015-01-11","377","383","373","383","1.59","4349"
"KBL","2015-01-12","383","377","371","371","-3.13","3172"
"KBL","2015-01-13","371","382","368","380","2.43","5069"
"KBL","2015-01-14","380","382","369","375","-1.32","2965"
"KBL","2015-01-18","375","377","368","377","0.53","8341"
"KBL","2015-01-19","377","405","384","395","4.77","11395"
"KBL","2015-01-20","395","399","380","380","-3.80","10438"
"KBL","2015-01-22","380","375","373","375","-1.32","858"
"KBL","2015-01-25","375","395","371","375","0.00","14353"
"KBL","2015-01-26","375","401","382","397","5.87","26824"
"KBL","2015-01-27","397","408","400","406","2.27","14381"
"KBL","2015-01-28","406","421","408","417","2.71","4863"
"KBL","2015-01-29","417","437","415","420","0.72","16327"
"KBL","2015-02-01","420","429","420","422","0.48","9650"
"KBL","2015-02-02","422","421","415","417","-1.18","4988"
"KBL","2015-02-03","417","420","410","410","-1.68","10481"
"KBL","2015-02-04","410","418","406","406","-0.98","7476"
"KBL","2015-02-05","406","403","399","401","-1.23","13262"
"KBL","2015-02-08","401","415","399","405","1.00","7867"
"KBL","2015-02-09","405","408","404","404","-0.25","6790"
"KBL","2015-02-10","404","404","400","402","-0.49","5283"
"KBL","2015-02-11","402","408","400","403","0.25","9909"
"KBL","2015-02-12","403","410","392","403","0.00","7096"
"KBL","2015-02-15","403","408","405","405","0.50","6705"
"KBL","2015-02-16","405","405","397","398","-1.73","7869"
"KBL","2015-02-19","398","401","397","397","-0.25","6047"
"KBL","2015-02-22","397","397","388","394","-0.76","8972"
"KBL","2015-02-23","394","395","387","393","-0.25","10737"
"KBL","2015-02-24","393","393","385","392","-0.25","4249"
"KBL","2015-02-25","392","399","389","390","-0.51","1571"
"KBL","2015-03-01","391","392","384","392","0.26","7384"
"KBL","2015-03-02","392","405","391","401","2.30","5729"
"KBL","2015-03-03","401","395","390","390","-2.74","1139"
"KBL","2015-03-04","390","399","388","395","1.28","9278"
"KBL","2015-03-09","395","405","398","400","1.27","8374"
"KBL","2015-03-10","400","402","390","391","-2.25","5286"
"KBL","2015-03-11","391","391","385","388","-0.77","10210"
"KBL","2015-03-12","388","395","381","390","0.52","7225"
"KBL","2015-03-15","390","390","381","385","-1.28","6171"
"KBL","2015-03-16","385","388","378","378","-1.82","12146"
"KBL","2015-03-17","378","385","370","381","0.79","6449"
"KBL","2015-03-18","381","388","374","381","0.00","4936"
"KBL","2015-03-19","381","389","379","389","2.10","10451"
"KBL","2015-03-22","389","394","385","387","-0.51","15271"
"KBL","2015-03-23","387","383","375","377","-2.58","10730"
"KBL","2015-03-24","377","384","377","380","0.80","13842"
"KBL","2015-03-25","380","378","375","376","-1.05","4964"
"KBL","2015-03-26","376","377","370","377","0.27","8052"
"KBL","2015-03-29","377","385","375","385","2.12","7579"
"KBL","2015-03-30","385","385","368","375","-2.60","8277"
"KBL","2015-03-31","375","392","375","385","2.67","9528"
"KBL","2015-04-01","385","383","379","379","-1.56","601"
"KBL","2015-04-02","379","380","370","376","-0.79","8713"
"KBL","2015-04-05","376","375","372","375","-0.27","5081"
"KBL","2015-04-06","375","384","378","378","0.80","1814"
"KBL","2015-04-07","378","379","373","379","0.26","1214"
"KBL","2015-04-08","379","382","377","378","-0.26","4568"
"KBL","2015-04-09","378","394","378","382","1.06","2467"
"KBL","2015-04-12","382","392","380","385","0.79","9353"
"KBL","2015-04-13","385","382","374","380","-1.30","11327"
"KBL","2015-04-15","380","380","370","370","-2.63","4384"
"KBL","2015-04-16","370","403","371","390","5.41","9678"
"KBL","2015-04-19","390","391","380","385","-1.28","4154"
"KBL","2015-04-20","385","390","384","384","-0.26","6440"
"KBL","2015-04-21","384","388","384","384","0.00","2437"
"KBL","2015-04-23","380","385","377","380","0.00","5164"
"KBL","2015-05-26","380","373","342","342","-10.00","825"
"KBL","2015-05-27","342","336","308","308","-9.94","8997"
"KBL","2015-05-28","308","326","295","324","5.19","22946"
"KBL","2015-05-31","324","346","324","346","6.79","20824"
"KBL","2015-06-01","346","360","337","352","1.73","18772"
"KBL","2015-06-02","352","353","331","349","-0.85","7718"
"KBL","2015-06-03","349","370","348","368","5.44","11966"
"KBL","2015-06-04","368","381","361","367","-0.27","12321"
"KBL","2015-06-07","367","384","364","379","3.27","8805"
"KBL","2015-06-08","379","392","378","384","1.32","13049"
"KBL","2015-06-09","384","420","389","399","3.91","23922"
