"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"LBL","2015-01-01","471","480","462","475","0.85","1886"
"LBL","2015-01-04","475","495","484","485","2.11","2453"
"LBL","2015-01-05","485","494","480","480","-1.03","2730"
"LBL","2015-01-06","480","500","480","490","2.08","1853"
"LBL","2015-01-07","490","500","485","497","1.43","2885"
"LBL","2015-01-08","497","510","496","505","1.61","3234"
"LBL","2015-01-11","505","500","495","498","-1.39","3365"
"LBL","2015-01-12","498","504","501","501","0.60","696"
"LBL","2015-01-13","501","499","494","494","-1.40","2003"
"LBL","2015-01-14","494","505","498","501","1.42","1571"
"LBL","2015-01-18","501","507","500","500","-0.20","3210"
"LBL","2015-01-19","500","530","510","523","4.60","4713"
"LBL","2015-01-20","523","528","507","507","-3.06","1636"
"LBL","2015-01-22","507","507","502","505","-0.39","1641"
"LBL","2015-01-25","505","511","496","511","1.19","385"
"LBL","2015-01-26","511","530","510","511","0.00","2463"
"LBL","2015-01-27","511","519","503","519","1.57","4960"
"LBL","2015-01-28","519","530","526","526","1.35","446"
"LBL","2015-01-29","526","535","525","527","0.19","3727"
"LBL","2015-02-01","527","540","529","536","1.71","4101"
"LBL","2015-02-02","536","536","529","529","-1.31","1575"
"LBL","2015-02-03","529","531","527","528","-0.19","13578"
"LBL","2015-02-04","528","537","530","531","0.57","4817"
"LBL","2015-02-05","531","522","521","522","-1.69","260"
"LBL","2015-02-08","522","537","532","534","2.30","2009"
"LBL","2015-02-09","534","545","535","540","1.12","5323"
"LBL","2015-02-10","540","540","534","535","-0.93","2417"
"LBL","2015-02-11","535","537","530","537","0.37","1458"
"LBL","2015-02-12","537","540","530","535","-0.37","4952"
"LBL","2015-02-15","535","538","530","534","-0.19","1491"
"LBL","2015-02-16","534","545","540","541","1.31","4630"
"LBL","2015-02-19","541","541","531","538","-0.55","3499"
"LBL","2015-02-22","538","535","505","515","-4.28","4524"
"LBL","2015-02-23","515","530","508","530","2.91","2537"
"LBL","2015-02-24","530","530","521","530","0.00","2754"
"LBL","2015-02-26","530","530","530","530","0.00","120"
"LBL","2015-03-01","529","543","533","540","2.08","2270"
"LBL","2015-03-02","540","546","540","545","0.93","1725"
"LBL","2015-03-03","545","555","545","545","0.00","360"
"LBL","2015-03-04","545","560","543","560","2.75","6881"
"LBL","2015-03-09","560","581","558","560","0.00","5444"
"LBL","2015-03-10","560","569","563","563","0.54","2118"
"LBL","2015-03-11","563","565","555","556","-1.24","3812"
"LBL","2015-03-12","556","556","555","555","-0.18","1299"
"LBL","2015-03-15","555","556","545","555","0.00","3395"
"LBL","2015-03-16","555","555","544","544","-1.98","4561"
"LBL","2015-03-17","544","550","542","544","0.00","2450"
"LBL","2015-03-18","544","554","545","545","0.18","3040"
"LBL","2015-03-19","545","548","540","547","0.37","3105"
"LBL","2015-03-22","547","546","542","542","-0.91","2800"
"LBL","2015-03-23","542","543","539","539","-0.55","2435"
"LBL","2015-03-24","539","548","531","546","1.30","1613"
"LBL","2015-03-25","546","545","535","539","-1.28","3720"
"LBL","2015-03-26","539","530","520","525","-2.60","3148"
"LBL","2015-03-29","525","521","518","519","-1.14","1837"
"LBL","2015-03-30","519","521","515","520","0.19","1512"
"LBL","2015-03-31","520","539","530","530","1.92","569"
"LBL","2015-04-01","530","530","522","525","-0.94","791"
"LBL","2015-04-02","525","526","519","520","-0.95","2701"
"LBL","2015-04-05","520","522","519","520","0.00","1178"
"LBL","2015-04-06","520","524","515","522","0.38","2858"
"LBL","2015-04-07","522","530","520","530","1.53","2367"
"LBL","2015-04-08","530","534","531","531","0.19","721"
"LBL","2015-04-09","531","537","525","527","-0.75","3452"
"LBL","2015-04-12","527","530","525","527","0.00","446"
"LBL","2015-04-13","527","533","525","525","-0.38","791"
"LBL","2015-04-15","525","532","522","523","-0.38","1499"
"LBL","2015-04-16","523","530","523","530","1.34","771"
"LBL","2015-04-19","530","535","528","528","-0.38","439"
"LBL","2015-04-20","528","538","526","528","0.00","1998"
"LBL","2015-04-21","528","530","520","524","-0.76","1848"
"LBL","2015-04-22","524","530","524","530","1.15","701"
"LBL","2015-04-23","530","533","520","530","0.00","2050"
"LBL","2015-05-26","530","520","477","477","-10.00","181"
"LBL","2015-05-27","477","468","450","455","-4.61","5219"
"LBL","2015-05-28","455","474","437","461","1.32","9786"
"LBL","2015-05-31","461","501","465","498","8.03","9434"
"LBL","2015-06-01","498","527","498","510","2.41","15416"
"LBL","2015-06-02","510","520","505","520","1.96","81150"
"LBL","2015-06-03","423","439","426","439","3.78","4834"
"LBL","2015-06-04","439","440","429","438","-0.23","4111"
"LBL","2015-06-07","438","438","427","430","-2.51","2358"
"LBL","2015-06-08","427","437","429","433","1.41","4553"
"LBL","2015-06-09","433","474","441","458","5.77","6584"
"LBL","2015-06-10","458","467","440","440","-3.93","1139"
"LBL","2015-06-11","440","432","405","425","-3.41","110900"
"LBL","2015-06-14","425","421","417","420","-1.18","2062"
"LBL","2015-06-15","420","428","418","418","-0.48","1586"
"LBL","2015-06-16","418","420","410","413","-1.20","1039"
"LBL","2015-06-17","413","410","405","407","-1.94","1541"
"LBL","2015-06-18","405","409","401","408","0.74","1122"
"LBL","2015-06-21","408","416","416","416","1.96","111"
"LBL","2015-06-22","410","418","408","408","-1.92","761"
"LBL","2015-06-23","410","414","405","409","0.25","2050"
"LBL","2015-06-24","402","410","400","410","0.24","2235"
"LBL","2015-06-25","407","409","405","406","-0.98","1252"
"LBL","2015-06-28","404","407","404","407","0.25","304"
"LBL","2015-06-29","410","417","405","410","0.74","2386"
"LBL","2015-06-30","409","410","404","407","-0.73","1045"
"LBL","2015-07-01","405","409","404","409","0.49","1712"
"LBL","2015-07-02","402","405","402","404","-1.22","1330"
"LBL","2015-07-05","400","400","393","393","-2.72","5862"
"LBL","2015-07-06","390","399","390","399","1.53","2398"
"LBL","2015-07-07","395","412","395","403","1.00","3000"
"LBL","2015-07-08","405","405","400","401","-0.74","410"
"LBL","2015-07-09","405","408","401","401","0.25","3316"
"LBL","2015-07-12","393","401","393","400","-0.25","6133"
"LBL","2015-07-13","402","404","398","399","-0.25","3031"
"LBL","2015-07-14","400","403","397","400","0.25","2381"
"LBL","2015-07-15","400","404","396","400","0.00","2938"
"LBL","2015-07-16","400","405","398","400","0.00","1086"
"LBL","2015-07-22","405","408","405","408","2.00","1134"
"LBL","2015-07-23","408","432","408","432","5.88","1401"
"LBL","2015-07-26","432","448","440","448","3.70","45"
"LBL","2015-07-27","448","482","455","455","1.56","29839"
"LBL","2015-07-28","455","446","417","421","-7.47","37320"
"LBL","2015-07-29","421","421","405","419","-0.48","19730"
"LBL","2015-07-30","419","432","417","420","0.24","5972"
"LBL","2015-08-02","420","419","415","416","-0.95","5441"
"LBL","2015-08-03","416","420","402","418","0.48","5648"
"LBL","2015-08-04","418","420","412","419","0.48","3302"
"LBL","2015-08-05","420","420","411","419","-0.24","3907"
"LBL","2015-08-06","419","417","410","416","-0.72","2327"
"LBL","2015-08-09","416","423","409","415","-0.24","12280"
"LBL","2015-08-10","415","430","412","422","1.69","28586"
"LBL","2015-08-11","422","426","407","416","-1.42","4227"
"LBL","2015-08-12","415","446","415","435","4.57","18696"
"LBL","2015-08-13","430","430","407","418","-3.91","13571"
"LBL","2015-08-16","410","427","410","414","-0.96","9678"
"LBL","2015-08-17","422","443","422","443","7.00","5078"
"LBL","2015-08-18","447","460","447","457","3.16","6520"
"LBL","2015-08-19","452","502","452","502","9.85","11525"
"LBL","2015-08-20","512","540","510","519","2.59","7606"
"LBL","2015-08-23","505","514","485","505","-1.94","5090"
"LBL","2015-08-24","505","505","480","485","-3.96","5033"
"LBL","2015-08-25","476","483","470","481","-0.82","2633"
"LBL","2015-08-26","490","490","480","480","-0.21","2860"
"LBL","2015-08-27","475","475","470","470","-2.08","1831"
"LBL","2015-08-31","470","475","468","473","0.64","3752"
"LBL","2015-09-01","473","480","470","471","-0.42","6144"
"LBL","2015-09-02","463","463","448","448","-4.88","5271"
"LBL","2015-09-03","450","460","450","460","2.68","2836"
"LBL","2015-09-06","456","470","455","460","-0.22","2081"
"LBL","2015-09-07","465","477","465","471","2.61","4689"
"LBL","2015-09-08","471","485","471","476","1.06","7011"
"LBL","2015-09-09","478","484","475","477","0.21","6914"
"LBL","2015-09-10","472","476","470","471","-1.26","6077"
"LBL","2015-09-13","470","480","470","475","0.85","3690"
"LBL","2015-09-14","477","483","476","479","0.84","5079"
"LBL","2015-09-15","488","497","488","490","2.30","3030"
"LBL","2015-09-16","486","511","486","510","4.08","17339"
"LBL","2015-09-17","520","530","513","520","1.96","25325"
"LBL","2015-09-22","512","512","488","490","-5.77","15768"
"LBL","2015-09-23","499","525","499","524","6.94","11729"
"LBL","2015-09-24","530","530","515","521","-0.57","13380"
"LBL","2015-09-28","511","511","500","510","-2.11","5186"
"LBL","2015-09-29","512","520","510","517","1.37","8037"
"LBL","2015-09-30","525","550","511","530","2.51","19712"
"LBL","2015-10-01","535","540","534","540","1.89","10428"
"LBL","2015-10-04","550","570","550","556","2.96","18832"
"LBL","2015-10-05","556","562","550","558","0.36","10321"
"LBL","2015-10-06","551","552","541","550","-1.43","3142"
"LBL","2015-10-07","550","550","530","540","-1.82","5594"
"LBL","2015-10-08","530","533","521","533","-1.30","3418"
"LBL","2015-10-11","530","530","516","516","-3.00","5329"
"LBL","2015-10-14","520","530","517","521","0.00","1871"
"LBL","2015-10-15","509","515","507","510","-1.35","750"
"LBL","2015-10-18","510","519","510","512","0.39","3749"
"LBL","2015-10-19","515","520","511","519","1.37","3958"
"LBL","2015-10-27","522","522","490","491","-5.59","1417"
"LBL","2015-10-28","481","490","475","490","0.00","2372"
"LBL","2015-10-29","490","508","490","496","1.02","2361"
"LBL","2015-11-01","488","495","488","495","0.00","3247"
"LBL","2015-11-02","500","505","490","499","0.81","2325"
"LBL","2015-11-03","491","491","485","486","-2.61","2642"
"LBL","2015-11-04","483","494","483","486","0.00","5154"
"LBL","2015-11-05","490","490","481","485","-0.21","2376"
"LBL","2015-11-08","485","485","484","485","0.00","1266"
"LBL","2015-11-09","494","504","494","501","3.30","4711"
"LBL","2015-11-10","504","504","495","497","-0.80","3908"
"LBL","2015-11-15","493","495","493","495","-0.40","1158"
"LBL","2015-11-16","490","490","480","480","-3.03","4320"
"LBL","2015-11-18","485","490","484","485","1.04","2598"
"LBL","2015-11-19","477","480","472","476","-1.86","1844"
"LBL","2015-11-22","467","467","465","465","-2.31","546"
"LBL","2015-11-23","456","463","447","463","-0.43","3056"
"LBL","2015-11-24","463","463","452","460","-0.65","1512"
"LBL","2015-11-25","465","470","465","470","2.17","390"
"LBL","2015-11-26","465","465","450","460","-2.13","2401"
"LBL","2015-11-29","451","451","445","445","-3.26","1143"
"LBL","2015-11-30","450","460","445","460","3.37","3970"
"LBL","2015-12-01","460","469","460","465","1.09","1700"
"LBL","2015-12-02","470","475","449","449","-3.44","3128"
"LBL","2015-12-03","457","475","453","468","4.23","4937"
"LBL","2015-12-04","472","496","472","495","5.98","5994"
"LBL","2015-12-07","502","505","491","500","1.01","8705"
"LBL","2015-12-08","500","501","496","501","-0.20","2151"
"LBL","2015-12-09","501","502","500","502","0.40","1751"
"LBL","2015-12-10","501","501","498","499","-0.60","1347"
"LBL","2015-12-13","500","500","490","492","-1.40","1155"
"LBL","2015-12-14","500","502","490","499","1.42","12281"
"LBL","2015-12-15","505","505","494","495","-0.80","3894"
"LBL","2015-12-16","494","500","492","496","0.20","3435"
"LBL","2015-12-17","490","492","487","487","-1.81","3610"
"LBL","2015-12-20","487","515","490","510","4.72","8959"
"LBL","2015-12-21","510","561","517","561","10.00","57926"
"LBL","2015-12-22","572","605","555","557","-0.71","49885"
"LBL","2015-12-23","557","560","543","550","-1.26","22048"
"LBL","2015-12-24","551","561","550","560","2.00","9607"
"LBL","2015-12-25","562","568","558","560","-0.18","8762"
"LBL","2015-12-28","560","570","556","560","0.00","10720"
"LBL","2015-12-29","560","561","553","557","-0.54","10385"
"LBL","2015-12-31","560","568","559","560","0.54","13272"
"LBL","2016-01-03","565","570","561","569","1.61","13303"
"LBL","2016-01-04","569","572","555","566","-0.53","8151"
"LBL","2016-01-05","560","569","555","569","0.53","22858"
"LBL","2016-01-06","575","600","565","600","5.45","52930"
"LBL","2016-01-07","588","600","577","598","-0.33","22719"
"LBL","2016-01-10","598","620","567","574","-4.01","47436"
"LBL","2016-01-11","574","574","560","561","-2.26","62109"
"LBL","2016-01-12","562","580","562","580","3.39","19627"
"LBL","2016-01-13","580","581","567","570","-1.72","29780"
"LBL","2016-01-14","580","580","574","575","0.88","23284"
"LBL","2016-01-17","580","590","579","582","1.22","19752"
"LBL","2016-01-18","590","590","574","574","-1.54","22178"
"LBL","2016-01-19","572","577","569","570","-0.70","18051"
"LBL","2016-01-20","570","590","570","580","1.75","17728"
"LBL","2016-01-21","580","590","581","589","1.55","38728"
"LBL","2016-01-24","589","593","585","585","-0.68","57788"
"LBL","2016-01-25","592","592","582","582","-0.51","8935"
"LBL","2016-01-26","582","588","584","585","0.52","4816"
"LBL","2016-01-27","585","591","583","584","-0.17","6531"
"LBL","2016-01-28","590","590","584","584","0.00","13629"
"LBL","2016-01-31","586","589","580","582","-0.34","7914"
"LBL","2016-02-01","582","590","580","585","0.52","12213"
"LBL","2016-02-02","585","590","585","585","0.00","12681"
"LBL","2016-02-03","585","590","585","590","0.85","8270"
"LBL","2016-02-04","590","594","585","588","-0.34","15415"
"LBL","2016-02-07","588","599","590","591","0.51","18240"
"LBL","2016-02-08","591","602","590","595","0.68","7178"
"LBL","2016-02-11","595","607","590","599","0.67","11424"
"LBL","2016-02-14","600","619","600","609","1.67","26337"
"LBL","2016-02-15","610","612","601","611","0.33","15202"
"LBL","2016-02-16","611","616","610","615","0.65","10628"
"LBL","2016-02-17","615","629","615","629","2.28","12573"
"LBL","2016-02-18","629","636","621","625","-0.64","14107"
"LBL","2016-02-21","625","639","625","633","1.28","12986"
"LBL","2016-02-22","635","636","632","633","0.00","13858"
"LBL","2016-02-23","633","644","633","638","0.79","11141"
"LBL","2016-02-24","636","645","630","633","-0.78","6998"
"LBL","2016-02-25","640","640","625","625","-1.26","9300"
"LBL","2016-02-28","625","626","618","618","-1.12","6586"
"LBL","2016-02-29","618","620","608","611","-1.13","7998"
"LBL","2016-03-01","605","630","605","619","1.31","5525"
"LBL","2016-03-02","622","622","617","620","0.16","8083"
"LBL","2016-03-03","620","621","615","616","-0.65","2445"
"LBL","2016-03-06","625","628","612","615","-0.16","9543"
"LBL","2016-03-10","627","630","622","622","1.14","8832"
"LBL","2016-03-13","625","635","622","631","1.45","10493"
"LBL","2016-03-14","635","635","622","623","-1.27","5705"
"LBL","2016-03-15","620","628","618","624","0.16","5960"
"LBL","2016-03-16","620","633","620","633","1.44","4638"
"LBL","2016-03-17","633","635","630","630","-0.47","5846"
"LBL","2016-03-20","634","634","625","630","0.00","4947"
"LBL","2016-03-21","631","640","630","633","0.48","7208"
"LBL","2016-03-23","633","636","630","632","-0.16","5132"
"LBL","2016-03-24","632","636","629","630","-0.32","7595"
"LBL","2016-03-27","630","652","630","650","3.17","19949"
"LBL","2016-03-28","650","649","642","645","-0.77","8363"
"LBL","2016-03-29","635","645","633","643","-0.31","4054"
"LBL","2016-03-30","643","650","640","645","0.31","4468"
"LBL","2016-03-31","645","645","640","641","-0.62","5888"
"LBL","2016-04-03","641","635","622","627","-2.18","4115"
"LBL","2016-04-04","627","636","629","633","0.96","5359"
"LBL","2016-04-05","633","639","628","639","0.95","3493"
"LBL","2016-04-06","639","643","635","640","0.16","13165"
"LBL","2016-04-10","640","640","630","640","0.00","15871"
"LBL","2016-04-11","640","641","636","639","-0.16","4164"
"LBL","2016-04-12","639","641","638","638","-0.16","7484"
"LBL","2016-04-14","638","641","632","640","0.31","1298"
"LBL","2016-04-17","652","658","643","658","2.81","11524"
"LBL","2016-04-18","658","675","657","672","2.13","16841"
"LBL","2016-04-19","672","677","665","670","-0.30","9442"
"LBL","2016-04-20","670","682","670","680","1.49","14455"
"LBL","2016-04-21","680","689","672","681","0.15","34440"
"LBL","2016-04-24","681","690","676","683","0.29","9939"
"LBL","2016-04-25","683","688","674","685","0.29","14338"
"LBL","2016-04-26","685","695","680","680","-0.73","12217"
"LBL","2016-04-27","680","683","674","680","0.00","4870"
"LBL","2016-04-28","680","683","667","667","-1.91","6359"
"LBL","2016-05-02","667","675","668","670","0.45","16920"
"LBL","2016-05-03","670","670","661","663","-1.04","9683"
"LBL","2016-05-04","663","676","660","672","1.36","11932"
"LBL","2016-05-05","672","671","661","671","-0.15","8641"
"LBL","2016-05-08","671","680","670","675","0.60","12972"
"LBL","2016-05-09","685","691","679","691","2.37","13878"
"LBL","2016-05-10","695","708","685","693","0.29","14587"
"LBL","2016-05-11","693","694","681","685","-1.15","9699"
"LBL","2016-05-12","686","690","684","684","-0.15","3156"
"LBL","2016-05-15","682","683","675","677","-1.60","8797"
"LBL","2016-05-16","675","688","680","680","0.74","11309"
"LBL","2016-05-17","690","689","681","688","1.18","10139"
"LBL","2016-05-18","688","713","693","712","3.49","36776"
"LBL","2016-05-19","712","739","715","735","3.23","47972"
"LBL","2016-05-22","735","784","741","775","5.44","47332"
"LBL","2016-05-23","775","785","761","772","-0.39","15357"
"LBL","2016-05-24","772","786","773","775","0.39","22700"
"LBL","2016-05-25","775","775","745","759","-2.06","22101"
"LBL","2016-05-26","759","770","726","750","-1.19","20815"
"LBL","2016-05-29","750","775","745","750","0.00","19737"
"LBL","2016-05-30","750","770","750","758","1.07","12965"
"LBL","2016-05-31","758","770","754","754","-0.53","15262"
"LBL","2016-06-01","754","759","748","753","-0.13","9967"
"LBL","2016-06-02","753","760","747","747","-0.80","20279"
"LBL","2016-06-05","747","747","715","715","-4.28","15022"
"LBL","2016-06-06","715","755","723","740","3.50","10645"
"LBL","2016-06-07","750","765","746","760","2.70","18113"
"LBL","2016-06-08","760","805","760","785","3.29","25072"
"LBL","2016-06-09","791","795","775","779","-0.64","10484"
"LBL","2016-06-12","780","795","784","785","0.64","19520"
"LBL","2016-06-13","785","800","784","789","0.51","18831"
"LBL","2016-06-14","804","804","788","797","1.01","25613"
"LBL","2016-06-15","800","800","777","789","-0.88","18732"
"LBL","2016-06-16","790","790","771","775","-1.90","3765"
"LBL","2016-06-19","775","785","760","779","0.52","9314"
"LBL","2016-06-20","779","777","771","775","-0.51","6224"
"LBL","2016-06-21","775","780","770","780","0.65","14215"
"LBL","2016-06-22","795","800","785","785","0.64","11934"
"LBL","2016-06-23","785","793","783","786","0.13","14321"
"LBL","2016-06-26","786","800","785","800","1.78","21660"
"LBL","2016-06-27","800","830","808","825","3.12","24982"
"LBL","2016-06-28","825","867","834","858","4.00","28081"
"LBL","2016-06-29","858","875","850","850","-0.93","23229"
"LBL","2016-06-30","850","860","835","858","0.94","24619"
"LBL","2016-07-03","858","870","850","855","-0.35","7953"
"LBL","2016-07-04","855","850","820","840","-1.75","7283"
"LBL","2016-07-05","840","840","825","838","-0.24","12434"
"LBL","2016-07-06","844","846","837","842","0.48","5171"
"LBL","2016-07-10","842","860","840","850","0.95","13317"
"LBL","2016-07-11","850","860","821","835","-1.76","20424"
"LBL","2016-07-12","835","835","790","832","-0.36","14992"
"LBL","2016-07-13","832","832","808","822","-1.20","9759"
"LBL","2016-07-14","835","849","825","830","1.22","7398"
"LBL","2016-07-17","832","851","830","842","1.20","25584"
"LBL","2016-07-18","842","880","845","874","3.80","22516"
"LBL","2016-07-19","889","900","884","894","2.29","21168"
"LBL","2016-07-20","905","905","870","870","-2.68","20575"
"LBL","2016-07-21","870","885","871","876","0.69","8321"
"LBL","2016-07-25","876","900","888","895","2.17","17467"
"LBL","2016-07-26","895","915","885","910","1.68","33877"
"LBL","2016-07-27","910","956","910","956","5.05","24705"
"LBL","2016-07-28","956","972","931","963","0.73","21690"
"LBL","2016-07-31","963","960","925","930","-3.43","10855"
"LBL","2016-08-01","930","930","894","910","-2.15","13569"
"LBL","2016-08-02","910","910","882","898","-1.32","19454"
"LBL","2016-08-03","898","905","885","903","0.56","16541"
"LBL","2016-08-04","903","905","871","890","-1.44","22850"
"LBL","2016-08-07","890","906","875","880","-1.12","17341"
"LBL","2016-08-08","880","870","819","835","-5.11","11382"
"LBL","2016-08-10","851","896","851","888","6.35","23642"
"LBL","2016-08-11","900","910","873","877","-1.24","28645"
"LBL","2016-08-14","873","879","870","870","-0.80","10889"
"LBL","2016-08-15","856","865","825","860","-1.15","18137"
"LBL","2016-08-16","851","884","842","860","0.00","18886"
"LBL","2016-08-17","877","878","865","868","0.93","10843"
"LBL","2016-08-21","880","890","867","868","-0.12","18884"
"LBL","2016-08-22","860","865","857","860","-0.81","7782"
"LBL","2016-08-23","850","875","845","852","-0.93","10813"
"LBL","2016-08-24","860","877","850","865","1.53","8185"
"LBL","2016-08-28","875","875","848","848","-1.97","15135"
"LBL","2016-08-29","845","882","845","875","3.18","32961"
"LBL","2016-08-30","875","900","875","885","1.14","19551"
"LBL","2016-08-31","885","900","881","893","0.90","11085"
"LBL","2016-09-01","896","900","885","889","-0.45","11342"
"LBL","2016-09-04","890","900","885","900","1.24","18048"
"LBL","2016-09-05","910","922","900","910","1.11","32975"
"LBL","2016-09-06","928","939","897","930","2.20","24342"
"LBL","2016-09-07","920","920","885","897","-3.55","16644"
"LBL","2016-09-08","905","910","896","903","0.67","10700"
"LBL","2016-09-11","910","910","890","890","-1.44","21663"
"LBL","2016-09-12","895","895","886","891","0.11","6886"
"LBL","2016-09-14","895","895","881","883","-0.90","10911"
"LBL","2016-09-18","883","890","871","882","-0.34","14921"
"LBL","2016-09-20","890","890","872","878","-0.23","8165"
"LBL","2016-09-21","879","879","862","868","-1.14","8995"
"LBL","2016-09-22","865","867","856","863","-0.58","4811"
"LBL","2016-09-25","865","867","856","863","-0.58","4811"
"LBL","2016-09-26","860","910","860","890","1.71","22065"
"LBL","2016-09-27","895","900","870","881","-1.01","12299"
"LBL","2016-09-28","885","885","870","871","-1.14","4011"
"LBL","2016-09-29","875","890","870","890","2.18","10968"
"LBL","2016-10-02","890","893","886","890","0.00","7423"
"LBL","2016-10-03","895","895","880","882","-0.90","8364"
"LBL","2016-10-04","899","904","881","893","1.25","18407"
"LBL","2016-10-05","899","903","892","899","0.67","12261"
"LBL","2016-10-06","910","916","897","901","0.22","11158"
"LBL","2016-10-16","910","910","887","900","-0.67","4819"
"LBL","2016-10-17","890","890","876","876","-2.12","2940"
"LBL","2016-10-18","880","879","868","875","-0.11","6387"
"LBL","2016-10-19","880","885","875","880","0.57","4175"
"LBL","2016-10-20","880","885","880","882","0.23","6286"
"LBL","2016-10-23","884","884","871","878","-0.45","5894"
"LBL","2016-10-24","869","889","869","873","-0.57","11936"
"LBL","2016-10-25","873","873","847","865","-0.92","7061"
"LBL","2016-10-26","852","865","851","860","-0.58","4896"
"LBL","2016-10-27","867","869","855","860","-0.58","3217"
"LBL","2016-11-03","855","874","855","874","2.22","8422"
"LBL","2016-11-07","876","880","855","860","-1.60","6235"
"LBL","2016-11-08","850","851","839","841","-2.21","5062"
"LBL","2016-11-09","825","843","821","825","-1.90","5586"
"LBL","2016-11-10","832","830","812","822","-0.36","9610"
"LBL","2016-11-13","822","832","822","827","0.61","3773"
"LBL","2016-11-14","830","835","825","826","-0.24","3719"
"LBL","2016-11-15","825","832","825","825","0.00","7412"
"LBL","2016-11-16","825","830","820","830","0.61","2249"
"LBL","2016-11-17","815","828","808","810","-2.41","14642"
"LBL","2016-11-20","811","811","770","775","-4.32","5943"
"LBL","2016-11-21","765","775","735","760","-1.93","5067"
"LBL","2016-11-22","745","780","740","750","-1.45","13192"
"LBL","2016-11-23","745","745","716","725","-3.20","14681"
"LBL","2016-11-24","725","740","715","715","-1.38","8868"
"LBL","2016-11-27","715","714","662","662","-7.41","12509"
"LBL","2016-11-28","650","703","608","685","3.47","26400"
"LBL","2016-11-29","675","728","659","728","6.28","21167"
