"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MBL","2015-01-01","540","550","541","550","1.85","18274"
"MBL","2015-01-04","550","567","552","563","2.36","16446"
"MBL","2015-01-05","563","571","552","560","-0.53","19931"
"MBL","2015-01-06","560","556","548","550","-1.79","5892"
"MBL","2015-01-07","550","558","540","554","0.73","12093"
"MBL","2015-01-08","554","557","535","546","-1.44","15036"
"MBL","2015-01-11","546","551","545","550","0.73","12280"
"MBL","2015-01-12","550","550","528","545","-0.91","12500"
"MBL","2015-01-13","545","555","525","555","1.83","13610"
"MBL","2015-01-14","555","559","539","559","0.72","7645"
"MBL","2015-01-18","559","570","550","550","-1.61","7168"
"MBL","2015-01-19","550","600","550","577","4.91","37643"
"MBL","2015-01-20","577","585","550","569","-1.39","8767"
"MBL","2015-01-22","569","568","550","562","-1.23","9920"
"MBL","2015-01-25","562","570","557","566","0.71","10551"
"MBL","2015-01-26","566","587","570","587","3.71","9160"
"MBL","2015-01-27","587","578","572","575","-2.04","5752"
"MBL","2015-01-28","575","582","577","582","1.22","7458"
"MBL","2015-01-29","582","591","576","585","0.52","6342"
"MBL","2015-02-01","585","590","577","585","0.00","9696"
"MBL","2015-02-02","585","596","579","582","-0.51","17893"
"MBL","2015-02-03","582","584","575","575","-1.20","16042"
"MBL","2015-02-04","575","573","560","570","-0.87","11969"
"MBL","2015-02-05","570","575","569","575","0.88","6368"
"MBL","2015-02-08","575","576","566","571","-0.70","11225"
"MBL","2015-02-09","571","578","567","572","0.18","2954"
"MBL","2015-02-10","572","569","563","565","-1.22","7856"
"MBL","2015-02-11","565","570","564","567","0.35","2850"
"MBL","2015-02-12","567","572","550","570","0.53","8434"
"MBL","2015-02-15","570","581","567","569","-0.18","5549"
"MBL","2015-02-16","569","567","548","564","-0.88","10028"
"MBL","2015-02-19","564","571","560","565","0.18","6600"
"MBL","2015-02-22","565","570","550","553","-2.12","11048"
"MBL","2015-02-23","553","560","543","555","0.36","14389"
"MBL","2015-02-24","555","566","550","566","1.98","4300"
"MBL","2015-02-25","566","560","555","557","-1.59","7081"
"MBL","2015-03-01","561","571","561","570","1.60","13199"
"MBL","2015-03-02","570","581","570","581","1.93","27804"
"MBL","2015-03-03","581","576","570","573","-1.38","5669"
"MBL","2015-03-04","573","580","572","578","0.87","10226"
"MBL","2015-03-09","578","589","578","582","0.69","7136"
"MBL","2015-03-10","582","585","568","575","-1.20","9327"
"MBL","2015-03-11","575","580","571","575","0.00","11324"
