"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MEGA","2015-01-01","365","370","360","365","0.00","762"
"MEGA","2015-01-04","365","385","370","376","3.01","1840"
"MEGA","2015-01-05","376","382","379","381","1.33","469"
"MEGA","2015-01-06","381","382","370","370","-2.89","698"
"MEGA","2015-01-07","370","372","365","365","-1.35","740"
"MEGA","2015-01-08","365","379","365","372","1.92","747"
"MEGA","2015-01-11","372","370","366","366","-1.61","115"
"MEGA","2015-01-12","366","365","355","360","-1.64","1047"
"MEGA","2015-01-13","360","367","360","365","1.39","1445"
"MEGA","2015-01-14","365","370","365","366","0.27","244"
"MEGA","2015-01-18","366","375","365","375","2.46","2519"
"MEGA","2015-01-19","375","392","382","392","4.53","863"
"MEGA","2015-01-20","392","390","371","376","-4.08","3144"
"MEGA","2015-01-22","376","375","369","374","-0.53","2637"
"MEGA","2015-01-25","374","381","371","376","0.53","3949"
"MEGA","2015-01-26","376","387","374","375","-0.27","1378"
"MEGA","2015-01-27","375","386","379","386","2.93","5148"
"MEGA","2015-01-28","386","402","380","395","2.33","4762"
"MEGA","2016-05-29","359","394","366","394","9.75","85"
"MEGA","2016-05-30","394","433","413","433","9.90","675"
"MEGA","2016-05-31","433","476","441","476","9.93","539"
"MEGA","2016-06-01","476","523","485","523","9.87","204327"
"MEGA","2016-06-02","523","526","500","508","-2.87","125275"
"MEGA","2016-06-05","508","501","482","487","-4.13","51160"
"MEGA","2016-06-06","487","514","495","505","3.70","49675"
"MEGA","2016-06-07","502","526","502","524","3.76","64356"
"MEGA","2016-06-08","524","525","515","518","-1.15","27579"
"MEGA","2016-06-09","521","522","507","512","-1.16","19533"
"MEGA","2016-06-12","512","520","503","516","0.78","24062"
"MEGA","2016-06-13","516","526","510","517","0.19","17005"
"MEGA","2016-06-14","517","522","510","516","-0.19","30345"
"MEGA","2016-06-15","520","520","510","515","-0.19","14412"
"MEGA","2016-06-16","515","520","501","510","-0.97","24120"
"MEGA","2016-06-19","510","507","497","497","-2.55","18727"
"MEGA","2016-06-20","497","503","490","494","-0.60","13142"
"MEGA","2016-06-21","494","500","491","497","0.61","10068"
"MEGA","2016-06-22","506","519","503","504","1.41","12497"
"MEGA","2016-06-23","504","508","496","508","0.79","31375"
"MEGA","2016-06-26","508","511","500","511","0.59","9229"
"MEGA","2016-06-27","511","540","501","530","3.72","22846"
"MEGA","2016-06-28","530","548","522","528","-0.38","27975"
"MEGA","2016-06-29","528","570","535","555","5.11","82274"
"MEGA","2016-06-30","555","601","555","581","4.68","106725"
"MEGA","2016-07-03","581","612","575","580","-0.17","63719"
"MEGA","2016-07-04","580","590","572","572","-1.38","16977"
"MEGA","2016-07-05","575","574","556","566","-1.05","23695"
"MEGA","2016-07-06","570","568","550","559","-1.24","16834"
"MEGA","2016-07-10","559","580","561","565","1.07","19480"
