"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NCCB","2015-01-01","568","575","561","561","-1.23","3221"
"NCCB","2015-01-04","561","590","560","590","5.17","3811"
"NCCB","2015-01-05","590","596","580","585","-0.85","1621"
"NCCB","2015-01-06","585","575","570","570","-2.56","5054"
"NCCB","2015-01-07","570","585","570","585","2.63","3225"
"NCCB","2015-01-08","585","620","590","620","5.98","3316"
"NCCB","2015-01-11","620","608","585","585","-5.65","705"
"NCCB","2015-01-12","585","585","569","583","-0.34","2447"
"NCCB","2015-01-13","583","586","567","576","-1.20","1666"
"NCCB","2015-01-14","576","591","569","591","2.60","792"
"NCCB","2015-01-18","591","614","591","600","1.52","11152"
"NCCB","2015-01-19","600","636","609","635","5.83","6065"
"NCCB","2015-01-20","635","629","615","617","-2.83","2125"
"NCCB","2015-01-22","617","610","602","602","-2.43","1530"
"NCCB","2015-01-25","602","610","590","605","0.50","2805"
"NCCB","2015-01-26","605","613","600","609","0.66","3195"
"NCCB","2015-01-27","609","621","615","619","1.64","3169"
"NCCB","2015-01-28","619","639","622","635","2.58","7361"
"NCCB","2015-01-29","635","648","623","642","1.10","4516"
"NCCB","2015-02-01","642","645","638","639","-0.47","8373"
"NCCB","2015-02-02","639","652","639","652","2.03","6625"
"NCCB","2015-02-03","652","645","630","635","-2.61","12432"
"NCCB","2015-02-04","635","640","630","630","-0.79","2681"
"NCCB","2015-02-05","630","625","620","624","-0.95","1687"
"NCCB","2015-02-08","624","635","607","630","0.96","7640"
"NCCB","2015-02-09","630","630","625","627","-0.48","1798"
"NCCB","2015-02-10","627","629","625","626","-0.16","2972"
"NCCB","2015-02-11","626","630","625","627","0.16","4007"
"NCCB","2015-02-12","627","635","625","630","0.48","7507"
"NCCB","2015-02-15","630","640","630","633","0.48","5735"
"NCCB","2015-02-16","633","635","631","631","-0.32","1342"
"NCCB","2015-02-19","631","630","623","630","-0.16","5029"
"NCCB","2015-02-22","630","626","618","618","-1.90","4420"
"NCCB","2015-02-23","618","631","614","630","2.10","1775"
"NCCB","2015-02-24","631","640","620","620","-1.74","2251"
"NCCB","2015-02-25","620","620","610","615","-0.81","795"
"NCCB","2015-03-01","617","616","610","614","-0.49","7883"
"NCCB","2015-03-02","614","618","613","613","-0.16","2028"
"NCCB","2015-03-03","613","625","610","625","1.96","5795"
"NCCB","2015-03-04","625","624","615","615","-1.60","1280"
"NCCB","2015-03-09","615","633","620","629","2.28","10390"
"NCCB","2015-03-10","629","629","617","620","-1.43","2345"
"NCCB","2015-03-11","620","630","625","630","1.61","6830"
"NCCB","2015-03-12","630","629","620","626","-0.63","5284"
"NCCB","2015-03-15","626","626","615","620","-0.96","1480"
"NCCB","2015-03-16","620","617","605","610","-1.61","5331"
"NCCB","2015-03-17","610","615","599","615","0.82","11482"
