"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NIB","2015-01-01","709","720","709","718","1.27","849"
"NIB","2015-01-04","718","735","720","735","2.37","6534"
"NIB","2015-01-05","735","760","726","734","-0.14","5637"
"NIB","2015-01-06","734","740","726","735","0.14","3801"
"NIB","2015-01-07","735","741","729","736","0.14","3351"
"NIB","2015-01-08","736","750","734","735","-0.14","3454"
"NIB","2015-01-11","735","732","709","715","-2.72","5430"
"NIB","2015-01-12","715","726","710","720","0.70","5958"
"NIB","2015-01-13","720","728","710","728","1.11","3106"
"NIB","2015-01-14","728","730","729","730","0.27","2906"
"NIB","2015-01-18","730","735","721","735","0.68","2154"
"NIB","2015-01-19","735","793","739","750","2.04","11456"
"NIB","2015-01-20","750","768","725","733","-2.27","2582"
"NIB","2015-01-22","733","745","719","745","1.64","2753"
"NIB","2015-01-25","745","760","745","755","1.34","4286"
"NIB","2015-01-26","755","770","750","750","-0.66","6670"
"NIB","2015-01-27","750","770","750","770","2.67","2180"
"NIB","2015-01-28","770","785","772","780","1.30","6670"
"NIB","2015-01-29","780","790","760","781","0.13","8230"
"NIB","2015-02-01","781","790","770","774","-0.90","2882"
"NIB","2015-02-02","774","787","772","772","-0.26","3549"
"NIB","2015-02-03","772","779","774","774","0.26","1504"
"NIB","2015-02-04","774","772","760","760","-1.81","5369"
"NIB","2015-02-05","760","770","764","765","0.66","3637"
"NIB","2015-02-08","765","775","758","770","0.65","3400"
"NIB","2015-02-09","770","780","749","761","-1.17","3123"
"NIB","2015-02-10","761","760","750","751","-1.44","4498"
"NIB","2015-02-11","750","754","750","754","0.53","594"
"NIB","2015-02-12","754","753","745","750","-0.53","4285"
"NIB","2015-02-15","750","760","750","750","0.00","3875"
"NIB","2015-02-16","750","755","746","748","-0.27","825"
"NIB","2015-02-19","748","751","741","741","-0.94","2737"
"NIB","2015-02-22","741","742","735","739","-0.27","3703"
"NIB","2015-02-23","739","739","725","734","-0.68","3181"
"NIB","2015-02-24","734","733","727","730","-0.54","2939"
"NIB","2015-02-25","730","730","725","726","-0.55","1966"
"NIB","2015-03-01","727","741","713","732","0.69","5248"
