"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PCBL","2015-01-01","440","442","434","434","-1.36","4721"
"PCBL","2015-01-04","434","447","427","447","3.00","3416"
"PCBL","2015-01-05","447","453","440","441","-1.34","5703"
"PCBL","2015-01-06","441","447","434","443","0.45","5515"
"PCBL","2015-01-07","443","447","440","441","-0.45","1815"
"PCBL","2015-01-08","441","453","442","442","0.23","3344"
"PCBL","2015-01-11","442","446","438","446","0.90","4699"
"PCBL","2015-01-12","446","450","440","445","-0.22","1535"
"PCBL","2015-01-13","445","448","441","445","0.00","3496"
"PCBL","2015-01-14","445","451","442","449","0.90","2935"
"PCBL","2015-01-18","449","457","440","454","1.11","12325"
"PCBL","2015-01-19","454","499","463","479","5.51","8284"
"PCBL","2015-01-20","479","483","462","470","-1.88","5749"
"PCBL","2015-01-22","470","469","458","461","-1.91","2243"
"PCBL","2015-01-25","461","481","460","468","1.52","3011"
"PCBL","2015-01-26","468","481","471","479","2.35","8925"
"PCBL","2015-01-27","479","481","475","481","0.42","4340"
"PCBL","2015-01-28","481","489","481","489","1.66","2932"
"PCBL","2015-01-29","489","495","482","483","-1.23","7572"
"PCBL","2015-02-01","483","500","484","494","2.28","4773"
"PCBL","2015-02-02","494","503","487","495","0.20","4650"
"PCBL","2015-02-03","495","504","484","485","-2.02","2048"
"PCBL","2015-02-04","485","490","480","480","-1.03","4879"
"PCBL","2015-02-05","480","480","470","475","-1.04","2925"
"PCBL","2015-02-08","475","484","469","478","0.63","2095"
"PCBL","2015-02-09","478","481","470","472","-1.26","2713"
"PCBL","2015-02-10","472","468","460","466","-1.27","2717"
"PCBL","2015-02-11","466","470","466","468","0.43","1289"
"PCBL","2015-02-12","468","470","462","470","0.43","4129"
"PCBL","2015-02-15","470","466","461","465","-1.06","1876"
"PCBL","2015-02-16","465","466","461","464","-0.22","4009"
"PCBL","2015-02-19","464","468","460","464","0.00","9157"
"PCBL","2015-02-22","464","461","455","457","-1.51","6574"
"PCBL","2015-02-23","457","464","448","464","1.53","7936"
"PCBL","2015-02-24","464","460","454","457","-1.51","3729"
"PCBL","2015-02-25","457","458","449","455","-0.44","7295"
"PCBL","2015-02-26","455","452","452","452","-0.66","215"
"PCBL","2015-03-01","459","455","450","450","-1.96","4985"
"PCBL","2015-03-02","450","465","452","461","2.44","2623"
"PCBL","2015-03-03","461","460","455","460","-0.22","1714"
"PCBL","2015-03-04","460","467","455","460","0.00","3315"
"PCBL","2015-03-09","460","467","458","460","0.00","4109"
"PCBL","2015-03-10","460","460","445","448","-2.61","6338"
"PCBL","2015-03-11","448","449","442","448","0.00","18473"
"PCBL","2015-03-12","448","454","447","449","0.22","4955"
"PCBL","2015-03-15","449","447","442","444","-1.11","4475"
"PCBL","2015-03-16","444","444","438","440","-0.90","2866"
"PCBL","2015-03-17","440","445","439","440","0.00","5029"
"PCBL","2015-03-18","440","438","422","435","-1.14","22265"
"PCBL","2015-03-19","435","445","435","442","1.61","9180"
"PCBL","2015-03-22","442","450","440","446","0.90","6721"
"PCBL","2015-03-23","446","441","437","439","-1.57","5368"
"PCBL","2015-03-24","439","439","430","430","-2.05","9231"
"PCBL","2015-03-25","430","435","415","429","-0.23","18119"
"PCBL","2015-03-26","429","432","420","432","0.70","31606"
"PCBL","2015-03-29","432","433","416","432","0.00","11593"
"PCBL","2015-03-30","432","432","423","432","0.00","5642"
"PCBL","2015-03-31","432","443","430","436","0.93","7398"
