"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"PRVU","2015-01-04","207","227","211","227","9.66","50"
"PRVU","2015-01-05","227","249","231","249","9.69","102303"
"PRVU","2015-01-06","249","273","253","273","9.64","170924"
"PRVU","2015-01-07","273","288","268","271","-0.73","199210"
"PRVU","2015-01-08","271","276","268","271","0.00","52836"
"PRVU","2015-01-11","271","271","263","265","-2.21","45356"
"PRVU","2015-01-12","265","267","261","267","0.75","39542"
"PRVU","2015-01-13","267","268","257","265","-0.75","27085"
"PRVU","2015-01-14","265","271","263","269","1.51","17178"
"PRVU","2015-01-18","269","294","271","294","9.29","189547"
"PRVU","2015-01-19","294","323","294","303","3.06","95482"
"PRVU","2015-01-20","303","311","285","299","-1.32","54658"
"PRVU","2015-01-22","299","299","290","297","-0.67","31974"
"PRVU","2015-01-25","297","302","295","300","1.01","32235"
"PRVU","2015-01-26","300","315","297","304","1.33","108179"
"PRVU","2015-01-27","304","306","300","302","-0.66","138206"
"PRVU","2015-01-28","302","312","300","307","1.66","70550"
"PRVU","2015-01-29","307","313","299","304","-0.98","113634"
"PRVU","2015-02-01","304","334","306","326","7.24","177083"
"PRVU","2015-02-02","326","328","314","317","-2.76","87493"
"PRVU","2015-02-03","317","320","314","315","-0.63","27634"
"PRVU","2015-02-04","315","315","309","313","-0.63","34499"
"PRVU","2015-02-05","313","314","306","314","0.32","29629"
"PRVU","2015-02-08","314","319","310","313","-0.32","63109"
"PRVU","2015-02-09","313","315","310","313","0.00","63959"
"PRVU","2015-02-10","313","316","309","312","-0.32","49865"
"PRVU","2015-02-11","312","315","303","311","-0.32","47362"
"PRVU","2015-02-12","311","312","308","311","0.00","28198"
"PRVU","2015-02-15","311","315","310","315","1.29","44909"
"PRVU","2015-02-16","315","323","310","323","2.54","88333"
"PRVU","2015-02-19","323","335","321","335","3.72","134332"
"PRVU","2015-02-22","335","343","327","330","-1.49","94575"
"PRVU","2015-02-23","330","331","315","330","0.00","77796"
"PRVU","2015-02-24","330","335","323","332","0.61","48684"
"PRVU","2015-02-25","332","335","328","335","0.90","37210"
"PRVU","2015-02-26","335","343","335","340","1.49","27430"
"PRVU","2015-03-01","349","360","346","350","0.29","92783"
"PRVU","2015-03-02","350","350","345","349","-0.29","30148"
"PRVU","2015-03-03","349","348","342","343","-1.72","25611"
"PRVU","2015-03-04","343","354","338","341","-0.58","42694"
"PRVU","2015-03-09","341","353","344","347","1.76","73654"
"PRVU","2015-03-10","347","348","339","340","-2.02","79413"
"PRVU","2015-03-11","340","345","341","343","0.59","20898"
"PRVU","2015-03-12","342","348","340","342","0.00","26536"
"PRVU","2015-03-15","342","342","335","340","-0.58","13347"
"PRVU","2015-03-16","340","340","332","334","-1.76","7644"
"PRVU","2015-03-17","334","341","329","340","1.80","14725"
"PRVU","2015-03-18","340","340","335","336","-1.18","5868"
"PRVU","2015-03-19","336","344","338","339","0.89","14209"
"PRVU","2015-03-22","339","346","332","332","-2.06","8570"
"PRVU","2015-03-23","332","340","329","330","-0.60","20269"
"PRVU","2015-03-24","330","330","326","328","-0.61","67872"
"PRVU","2015-03-25","328","330","325","329","0.30","9668"
"PRVU","2015-03-26","329","331","324","331","0.61","43881"
"PRVU","2015-03-29","331","333","325","330","-0.30","9720"
"PRVU","2015-03-30","330","335","325","328","-0.61","13795"
"PRVU","2015-03-31","328","336","325","332","1.22","21375"
"PRVU","2015-04-01","332","333","327","328","-1.20","7796"
"PRVU","2015-04-02","328","336","328","331","0.91","82404"
"PRVU","2015-04-05","331","336","329","335","1.21","9048"
"PRVU","2015-04-06","335","335","330","334","-0.30","8859"
"PRVU","2015-04-07","334","340","331","336","0.60","12508"
"PRVU","2015-04-08","336","343","332","342","1.79","22579"
"PRVU","2015-04-09","342","352","339","352","2.92","35860"
"PRVU","2015-04-12","352","362","348","361","2.56","34519"
"PRVU","2015-04-13","361","357","347","353","-2.22","18412"
"PRVU","2015-04-15","353","360","347","348","-1.42","5182"
"PRVU","2015-04-16","348","351","345","350","0.57","5886"
"PRVU","2015-04-19","350","358","344","344","-1.71","15309"
"PRVU","2015-04-20","344","350","344","348","1.16","25947"
"PRVU","2015-04-21","348","357","346","350","0.57","69861"
"PRVU","2015-04-22","350","356","346","349","-0.29","4108"
"PRVU","2015-04-23","352","355","345","345","-1.99","15828"
"PRVU","2015-05-24","345","339","311","311","-9.86","110"
"PRVU","2015-05-25","311","305","280","280","-9.97","3527"
"PRVU","2015-05-26","280","304","270","287","2.50","33239"
"PRVU","2015-05-27","287","286","275","280","-2.44","9613"
"PRVU","2015-05-28","280","300","275","295","5.36","25968"
"PRVU","2015-05-31","295","311","297","310","5.08","28021"
"PRVU","2015-06-01","310","326","308","315","1.61","25940"
"PRVU","2015-06-02","315","321","310","321","1.90","14742"
"PRVU","2015-06-03","321","332","320","327","1.87","16535"
"PRVU","2015-06-04","327","337","321","321","-1.83","23373"
"PRVU","2015-06-07","321","332","321","331","3.12","40127"
"PRVU","2015-06-08","331","349","332","340","2.72","44051"
"PRVU","2015-06-09","340","359","340","346","1.76","40846"
"PRVU","2015-06-10","346","345","336","339","-2.02","28548"
"PRVU","2015-06-11","339","340","330","334","-1.47","14059"
"PRVU","2015-06-14","334","339","325","329","-1.50","7684"
"PRVU","2015-06-15","329","335","323","328","-0.30","14482"
"PRVU","2015-06-16","328","330","325","327","-0.30","12651"
"PRVU","2015-06-17","327","334","324","329","0.61","41105"
"PRVU","2015-06-18","329","335","324","324","-1.52","14249"
"PRVU","2015-06-21","324","326","320","323","-0.31","5825"
"PRVU","2015-06-23","324","327","323","325","-0.31","7229"
"PRVU","2015-06-24","321","329","321","327","0.62","14749"
"PRVU","2015-06-25","329","332","323","327","0.00","15304"
"PRVU","2015-06-28","333","333","324","324","-0.92","23180"
