"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SANIMA","2015-01-01","536","538","526","526","-1.87","5190"
"SANIMA","2015-01-04","526","545","529","540","2.66","14625"
"SANIMA","2015-01-05","540","550","535","539","-0.19","17418"
"SANIMA","2015-01-06","539","544","537","539","0.00","13664"
"SANIMA","2015-01-07","539","541","529","535","-0.74","6958"
"SANIMA","2015-01-08","535","570","535","545","1.87","8924"
"SANIMA","2015-01-11","545","546","532","542","-0.55","13750"
"SANIMA","2015-01-12","542","545","530","538","-0.74","14054"
"SANIMA","2015-01-13","538","546","530","546","1.49","5686"
"SANIMA","2015-01-14","546","548","539","539","-1.28","10127"
"SANIMA","2015-01-18","539","550","538","538","-0.19","4639"
"SANIMA","2015-01-19","538","580","548","574","6.69","26124"
"SANIMA","2015-01-20","574","593","544","560","-2.44","14741"
"SANIMA","2015-01-22","560","560","549","555","-0.89","12624"
"SANIMA","2015-01-25","555","562","550","558","0.54","6297"
"SANIMA","2015-01-26","558","596","560","565","1.25","15315"
"SANIMA","2015-01-27","565","570","565","565","0.00","8996"
"SANIMA","2015-01-28","565","578","570","577","2.12","8090"
"SANIMA","2015-01-29","577","582","570","578","0.17","13152"
"SANIMA","2015-02-01","578","586","578","583","0.87","13089"
"SANIMA","2015-02-02","583","583","573","573","-1.72","11400"
"SANIMA","2015-02-03","573","570","562","570","-0.52","12760"
"SANIMA","2015-02-04","570","570","560","563","-1.23","10226"
"SANIMA","2015-02-05","563","559","550","557","-1.07","15878"
"SANIMA","2015-02-08","557","568","559","564","1.26","15291"
"SANIMA","2015-02-09","564","565","550","560","-0.71","5979"
"SANIMA","2015-02-10","560","558","551","558","-0.36","6485"
"SANIMA","2015-02-11","558","565","555","562","0.72","6122"
"SANIMA","2015-02-12","562","565","560","565","0.53","7578"
"SANIMA","2015-02-15","565","569","559","568","0.53","14431"
"SANIMA","2015-02-16","568","565","557","562","-1.06","10074"
"SANIMA","2015-02-19","562","563","556","558","-0.71","3291"
"SANIMA","2015-02-22","558","562","544","546","-2.15","10381"
"SANIMA","2015-02-23","546","555","540","550","0.73","12571"
"SANIMA","2015-02-24","550","553","544","547","-0.54","11372"
"SANIMA","2015-02-25","547","550","543","548","0.37","3954"
"SANIMA","2015-02-26","549","550","549","550","0.18","3745"
"SANIMA","2015-03-01","550","552","543","547","-0.54","4037"
"SANIMA","2015-03-02","547","560","550","560","2.38","5659"
"SANIMA","2015-03-03","560","561","552","556","-0.71","10004"
"SANIMA","2015-03-04","556","571","552","560","0.72","9559"
"SANIMA","2015-03-09","560","564","555","560","0.00","6824"
"SANIMA","2015-03-10","560","561","555","556","-0.71","5802"
"SANIMA","2015-03-11","556","560","545","559","0.54","6140"
"SANIMA","2015-03-12","559","558","550","554","-0.89","6095"
"SANIMA","2015-03-15","554","553","548","553","-0.18","2940"
"SANIMA","2015-03-16","553","560","543","545","-1.45","11106"
"SANIMA","2015-03-17","545","555","537","547","0.37","9531"
"SANIMA","2015-03-18","547","549","542","547","0.00","6626"
"SANIMA","2015-03-19","547","561","550","553","1.10","10169"
"SANIMA","2015-03-22","553","564","550","554","0.18","11020"
"SANIMA","2015-03-23","554","551","543","548","-1.08","5016"
"SANIMA","2015-03-24","548","549","543","548","0.00","14741"
"SANIMA","2015-03-25","548","550","540","550","0.36","2095"
"SANIMA","2015-03-26","550","559","548","550","0.00","8132"
"SANIMA","2015-03-29","550","549","544","546","-0.73","3486"
"SANIMA","2015-03-30","546","549","540","542","-0.73","3248"
"SANIMA","2015-03-31","542","552","540","550","1.48","6290"
