"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"SBI","2015-01-01","930","960","914","960","3.23","838"
"SBI","2015-01-04","960","960","950","950","-1.04","668"
"SBI","2015-01-05","950","956","951","951","0.11","1041"
"SBI","2015-01-06","951","955","945","950","-0.11","3244"
"SBI","2015-01-07","950","942","906","934","-1.68","1066"
"SBI","2015-01-08","934","954","950","954","2.14","1471"
"SBI","2015-01-11","954","950","941","946","-0.84","2009"
"SBI","2015-01-12","946","935","932","932","-1.48","670"
"SBI","2015-01-13","932","944","935","944","1.29","1024"
"SBI","2015-01-14","944","960","950","950","0.64","988"
"SBI","2015-01-18","950","969","952","952","0.21","1267"
"SBI","2015-01-19","952","991","971","989","3.89","1691"
"SBI","2015-01-20","989","975","951","953","-3.64","1350"
"SBI","2015-01-22","953","955","936","955","0.21","953"
"SBI","2015-01-25","955","975","955","975","2.09","1520"
"SBI","2015-01-26","975","976","976","976","0.10","54"
"SBI","2015-01-27","976","999","982","982","0.61","1487"
"SBI","2015-01-28","982","1002","1000","1000","1.83","193"
"SBI","2015-01-29","1000","1005","996","997","-0.30","2417"
"SBI","2015-02-01","997","1008","995","1000","0.30","1717"
"SBI","2015-02-02","1000","1009","995","999","-0.10","5332"
"SBI","2015-02-03","999","1000","980","981","-1.80","667"
"SBI","2015-02-04","981","1000","981","997","1.63","1327"
"SBI","2015-02-05","997","1000","984","984","-1.30","1636"
"SBI","2015-02-08","984","994","980","994","1.02","1512"
"SBI","2015-02-09","994","1004","988","989","-0.50","1128"
"SBI","2015-02-10","989","983","975","980","-0.91","4832"
"SBI","2015-02-11","980","980","980","980","0.00","110"
"SBI","2015-02-12","980","990","972","980","0.00","2032"
"SBI","2015-02-15","980","981","975","975","-0.51","1223"
"SBI","2015-02-16","975","980","970","977","0.21","2771"
"SBI","2015-02-19","977","975","964","965","-1.23","1867"
"SBI","2015-02-22","965","950","950","950","-1.55","22"
"SBI","2015-02-23","950","952","930","952","0.21","4454"
"SBI","2015-02-24","952","965","945","960","-0.63","2248"
"SBI","2015-02-25","946","950","950","950","0.42","45"
"SBI","2015-02-26","950","950","950","950","0.00","200"
"SBI","2015-03-01","940","935","913","935","-0.53","2129"
"SBI","2015-03-02","935","950","925","950","1.60","7682"
"SBI","2015-03-03","950","942","931","940","-1.05","242"
"SBI","2015-03-04","940","945","940","940","0.00","545"
"SBI","2015-03-09","940","940","924","940","0.00","1645"
"SBI","2015-03-10","940","950","940","940","0.00","439"
"SBI","2015-03-12","940","932","932","932","-0.85","100"
"SBI","2015-03-15","932","930","922","922","-1.07","2858"
"SBI","2015-03-16","922","921","920","920","-0.22","477"
"SBI","2015-03-17","920","928","918","921","0.11","2112"
"SBI","2015-03-18","921","923","905","923","0.22","514"
"SBI","2015-03-19","923","928","921","927","0.43","2109"
"SBI","2015-03-22","927","925","910","910","-1.83","798"
"SBI","2015-03-23","910","921","915","921","1.21","320"
"SBI","2015-03-24","921","920","911","920","-0.11","3920"
"SBI","2015-03-25","920","916","906","909","-1.20","2106"
"SBI","2015-03-26","909","912","911","912","0.33","110"
"SBI","2015-03-29","912","915","900","900","-1.32","12965"
"SBI","2015-03-30","900","905","900","900","0.00","1045"
"SBI","2015-03-31","900","916","900","902","0.22","1413"
"SBI","2015-04-02","902","901","900","901","-0.11","1029"
"SBI","2015-04-05","901","901","890","890","-1.22","2120"
"SBI","2015-04-06","890","907","895","900","1.12","8752"
"SBI","2015-04-07","900","904","900","904","0.44","936"
"SBI","2015-04-08","904","922","915","920","1.77","829"
"SBI","2015-04-09","920","925","920","920","0.00","768"
"SBI","2015-04-12","920","915","905","913","-0.76","1133"
"SBI","2015-04-13","913","906","900","901","-1.31","2137"
"SBI","2015-04-15","901","925","900","900","-0.11","739"
"SBI","2015-04-16","900","906","873","906","0.67","332"
"SBI","2015-04-19","906","910","900","904","-0.22","2209"
"SBI","2015-04-20","904","915","891","900","-0.44","4424"
"SBI","2015-04-21","900","915","900","900","0.00","2631"
"SBI","2015-04-22","900","890","886","890","-1.11","412"
"SBI","2015-04-23","890","907","890","890","0.00","560"
"SBI","2015-05-25","890","873","801","801","-10.00","110"
"SBI","2015-05-26","801","816","784","788","-1.62","4099"
"SBI","2015-05-27","788","790","765","765","-2.92","3304"
"SBI","2015-05-28","765","778","740","770","0.65","2877"
"SBI","2015-05-31","770","840","785","820","6.49","2854"
"SBI","2015-06-01","820","873","820","849","3.54","2183"
"SBI","2015-06-02","849","855","817","825","-2.83","4168"
"SBI","2015-06-03","825","885","840","880","6.67","3467"
"SBI","2015-06-04","880","897","860","879","-0.11","11213"
"SBI","2015-06-07","879","896","870","890","1.25","2499"
"SBI","2015-06-08","890","918","895","910","2.25","3447"
"SBI","2015-06-09","910","946","915","920","1.10","3872"
"SBI","2015-06-10","920","920","895","915","-0.54","4499"
"SBI","2015-06-11","915","932","890","900","-1.64","1793"
"SBI","2015-06-14","900","890","882","883","-1.89","364"
"SBI","2015-06-16","883","900","870","900","1.93","5060"
"SBI","2015-06-17","900","895","885","890","-1.11","3852"
"SBI","2015-06-18","890","893","880","893","0.34","758"
"SBI","2015-06-21","893","880","875","880","-1.46","2701"
"SBI","2015-06-22","880","897","878","890","1.14","710"
"SBI","2015-06-23","888","889","885","885","-0.56","2563"
"SBI","2015-06-24","886","891","886","891","0.68","1620"
"SBI","2015-06-25","895","903","891","891","0.00","3155"
"SBI","2015-06-28","890","896","890","891","0.00","1399"
"SBI","2015-06-29","908","908","895","896","0.56","1720"
"SBI","2015-06-30","898","898","890","891","-0.56","451"
"SBI","2015-07-01","908","912","896","900","1.01","1974"
"SBI","2015-07-02","899","899","891","895","-0.56","2546"
"SBI","2015-07-05","899","900","895","900","0.56","2707"
"SBI","2015-07-06","891","903","890","901","0.11","8839"
"SBI","2015-07-07","890","902","890","902","0.11","5313"
"SBI","2015-07-08","905","905","895","895","-0.78","5840"
"SBI","2015-07-09","900","900","890","893","-0.22","2346"
"SBI","2015-07-12","894","894","890","891","-0.34","520"
"SBI","2015-07-13","880","894","879","890","0.00","9353"
"SBI","2015-07-14","890","895","885","885","-0.56","1926"
"SBI","2015-07-15","890","890","890","890","0.56","1800"
"SBI","2015-07-16","890","890","885","887","-0.34","2715"
"SBI","2015-07-22","900","910","899","910","2.59","888"
"SBI","2015-07-23","910","992","900","988","8.57","4996"
"SBI","2015-07-26","988","1047","1007","1047","5.97","30"
"SBI","2015-07-27","1047","1151","1067","1110","6.02","42756"
"SBI","2015-07-28","1110","1122","1050","1088","-1.98","9775"
"SBI","2015-07-29","1088","1122","1067","1102","1.29","10439"
"SBI","2015-07-30","1102","1145","1101","1130","2.54","17289"
"SBI","2015-08-02","1130","1150","1131","1142","1.06","7405"
"SBI","2015-08-03","1142","1144","1120","1137","-0.44","7820"
"SBI","2015-08-04","1137","1160","1124","1130","-0.62","9155"
"SBI","2015-08-05","1130","1130","1115","1130","0.00","4699"
"SBI","2015-08-06","1130","1171","1130","1139","0.80","11276"
"SBI","2015-08-09","1139","1215","1161","1200","5.36","26597"
"SBI","2015-08-10","1200","1256","1180","1250","4.17","30762"
"SBI","2015-08-11","1250","1290","1250","1257","0.56","18681"
"SBI","2015-08-12","1250","1257","1225","1257","0.00","19602"
"SBI","2015-08-13","1257","1277","1248","1267","0.79","19312"
"SBI","2015-08-16","1270","1351","1260","1315","3.79","18004"
"SBI","2015-08-17","1341","1446","1341","1446","9.96","14219"
"SBI","2015-08-18","1435","1475","1400","1461","1.04","13436"
"SBI","2015-08-19","1470","1525","1470","1525","4.38","14336"
"SBI","2015-08-20","1550","1642","1550","1602","5.05","16133"
"SBI","2015-08-23","1582","1620","1530","1590","-0.75","7310"
"SBI","2015-08-24","1595","1595","1576","1580","-0.63","3584"
"SBI","2015-08-25","1568","1575","1525","1559","-1.33","2568"
"SBI","2015-08-26","1550","1555","1536","1554","-0.32","3781"
"SBI","2015-08-27","1544","1544","1492","1492","-3.99","4962"
"SBI","2015-08-31","1470","1570","1470","1570","5.23","7363"
"SBI","2015-09-01","1570","1565","1520","1520","-3.18","6882"
"SBI","2015-09-02","1510","1525","1503","1525","0.33","5465"
"SBI","2015-09-03","1505","1515","1491","1514","-0.66","8541"
"SBI","2015-09-06","1515","1535","1472","1518","0.20","13866"
"SBI","2015-09-07","1525","1530","1511","1520","0.13","2495"
"SBI","2015-09-08","1520","1530","1500","1515","-0.33","712"
"SBI","2015-09-09","1529","1544","1513","1544","1.91","3664"
"SBI","2015-09-10","1525","1525","1501","1523","-1.36","2537"
"SBI","2015-09-13","1520","1555","1520","1555","2.10","10708"
"SBI","2015-09-14","1580","1580","1549","1550","-0.32","3682"
"SBI","2015-09-15","1535","1565","1535","1565","0.97","3539"
"SBI","2015-09-16","1565","1575","1540","1541","-1.53","2656"
"SBI","2015-09-17","1540","1540","1525","1530","-0.71","2229"
"SBI","2015-09-22","1500","1501","1470","1480","-3.27","8459"
"SBI","2015-09-23","1509","1509","1499","1505","1.69","3646"
"SBI","2015-09-24","1500","1510","1490","1500","-0.33","3578"
"SBI","2015-09-28","1480","1488","1410","1469","-2.07","6291"
"SBI","2015-09-29","1460","1498","1460","1488","1.29","941"
"SBI","2015-09-30","1499","1520","1499","1510","1.48","3312"
"SBI","2015-10-01","1515","1570","1511","1515","0.33","6184"
"SBI","2015-10-04","1500","1525","1500","1520","0.33","6174"
"SBI","2015-10-05","1500","1515","1490","1500","-1.32","2989"
"SBI","2015-10-06","1500","1501","1483","1487","-0.87","7809"
"SBI","2015-10-07","1466","1481","1460","1479","-0.40","6190"
"SBI","2015-10-08","1471","1500","1465","1500","1.28","1900"
"SBI","2015-10-11","1500","1500","1450","1454","-3.07","3199"
"SBI","2015-10-14","1432","1432","1410","1410","-3.03","3826"
"SBI","2015-10-15","1385","1400","1360","1400","-0.71","2171"
"SBI","2015-10-18","1399","1400","1345","1350","-3.93","1369"
"SBI","2015-10-19","1345","1350","1334","1335","-0.74","4551"
"SBI","2015-10-25","1315","1340","1309","1340","0.37","2778"
"SBI","2015-10-27","1340","1340","1280","1280","-4.48","2945"
"SBI","2015-10-28","1260","1298","1203","1298","1.41","4408"
"SBI","2015-10-29","1295","1315","1270","1302","0.31","3633"
"SBI","2015-11-01","1281","1290","1270","1285","-1.31","1834"
"SBI","2015-11-02","1285","1310","1281","1281","-0.31","2504"
"SBI","2015-11-03","1268","1300","1268","1295","1.48","2463"
"SBI","2015-11-04","1295","1340","1290","1337","2.85","5045"
"SBI","2015-11-05","1330","1340","1325","1331","-0.45","2378"
"SBI","2015-11-08","1310","1312","1305","1305","-1.95","2564"
"SBI","2015-11-09","1330","1350","1330","1350","3.45","1941"
"SBI","2015-11-10","1324","1350","1324","1350","0.00","1646"
"SBI","2015-11-15","1345","1375","1325","1354","0.30","1527"
"SBI","2015-11-16","1335","1335","1320","1320","-2.51","1036"
"SBI","2015-11-18","1340","1360","1330","1339","1.44","3688"
"SBI","2015-11-19","1330","1362","1322","1362","1.72","1179"
"SBI","2015-11-22","1340","1340","1280","1300","-4.55","3362"
"SBI","2015-11-23","1280","1301","1240","1301","0.08","3839"
"SBI","2015-11-24","1300","1302","1283","1300","-0.08","5684"
"SBI","2015-11-25","1300","1303","1280","1282","-1.38","9201"
"SBI","2015-11-26","1270","1270","1250","1265","-1.33","13116"
"SBI","2015-11-29","1260","1260","1205","1221","-3.48","8120"
"SBI","2015-11-30","1245","1265","1220","1235","1.15","3730"
"SBI","2015-12-01","1235","1290","1250","1290","4.45","2427"
"SBI","2015-12-02","1310","1310","1231","1256","-2.64","6739"
"SBI","2015-12-03","1256","1305","1256","1303","3.74","6105"
"SBI","2015-12-04","1325","1377","1310","1370","5.14","5641"
"SBI","2015-12-07","1390","1410","1376","1398","2.04","8794"
